#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.LNA2.fb9bdf80-e01b-4119-82cd-9d5a43b3ba67_Trajectory.txt
# RunID         : sara
# ObjectID      : fb9bdf80-e01b-4119-82cd-9d5a43b3ba67
# ObjectName    : LNA2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   903.200          76.419     72.580    178.974            7.546         6903.219      1.522      0.000      0.000    0.01890   26.24982           -1.00219      175.26341         3.219e-05 
   903.300          76.406     72.573    178.976            7.542         6903.962      1.522      0.000      0.000    0.01887   26.23630           -1.00278      175.26596         3.224e-05 
   903.750          76.347     72.544    178.984            7.524         6907.303      1.521      0.000      0.000    0.01872   26.17343           -1.00551      175.27738         3.251e-05 
   904.750          76.214     72.477    179.002            7.484         6914.699      1.520      0.000      0.000    0.01837   26.02869           -1.01213      175.30258         3.312e-05 
   905.750          76.082     72.411    179.020            7.443         6922.056      1.518      0.000      0.000    0.01800   25.87231           -1.01950      175.32753         3.380e-05 
   906.750          75.950     72.346    179.038            7.403         6929.373      1.517      0.000      0.000    0.01764   25.71493           -1.02763      175.35222         3.449e-05 
   907.750          75.817     72.281    179.055            7.362         6936.649      1.516      0.000      0.000    0.01729   25.55654           -1.03654      175.37667         3.519e-05 
   908.750          75.683     72.216    179.072            7.320         6943.885      1.514      0.000      0.000    0.01694   25.39714           -1.04623      175.40087         3.591e-05 
   909.750          75.549     72.152    179.089            7.274         6951.078      1.513      0.000      0.000    0.01660   25.22300           -1.05676      175.42483         3.665e-05 
   910.750          75.415     72.088    179.106            7.208         6958.217      1.512      0.000      0.000    0.01627   24.98733           -1.06837      175.44851         3.740e-05 
   911.750          75.281     72.025    179.122            7.097         6965.267      1.511      0.000      0.000    0.01594   24.60561           -1.08172      175.47184         3.817e-05 
   912.750          75.149     71.963    179.138            6.772         6972.101      1.510      0.000      0.000    0.01563   23.55475           -1.09946      175.49449         3.894e-05 
