#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.MHS-MPU.71468af4-a456-44d2-960c-c3b22e2dabdf_Trajectory.txt
# RunID         : sara
# ObjectID      : 71468af4-a456-44d2-960c-c3b22e2dabdf
# ObjectName    : MHS-MPU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   903.200          76.419     72.580    178.974            7.546         6903.219      1.364      0.000      0.000    0.00886   26.24982           -1.00219      175.26341         3.219e-05 
   903.300          76.406     72.573    178.976            7.544         6903.962      1.364      0.000      0.000    0.00884   26.24502           -1.00278      175.26596         3.224e-05 
   903.750          76.347     72.544    178.984            7.540         6907.308      1.364      0.000      0.000    0.00877   26.22270           -1.00543      175.27741         3.251e-05 
   904.750          76.214     72.477    179.002            7.528         6914.733      1.364      0.000      0.000    0.00861   26.17110           -1.01149      175.30270         3.313e-05 
   905.750          76.081     72.411    179.020            7.517         6922.148      1.364      0.000      0.000    0.00844   26.11503           -1.01776      175.32780         3.381e-05 
   906.750          75.947     72.344    179.038            7.505         6929.552      1.364      0.000      0.000    0.00827   26.05827           -1.02424      175.35271         3.450e-05 
   907.750          75.812     72.278    179.056            7.493         6936.944      1.364      0.000      0.000    0.00810   26.00080           -1.03095      175.37743         3.521e-05 
   908.750          75.677     72.212    179.073            7.481         6944.324      1.364      0.000      0.000    0.00793   25.94261           -1.03787      175.40197         3.594e-05 
   909.750          75.541     72.146    179.091            7.469         6951.693      1.364      0.000      0.000    0.00777   25.88368           -1.04503      175.42633         3.669e-05 
   910.750          75.405     72.080    179.108            7.457         6959.050      1.364      0.000      0.000    0.00761   25.82400           -1.05242      175.45050         3.746e-05 
   911.750          75.267     72.014    179.125            7.444         6966.395      1.364      0.000      0.000    0.00746   25.76355           -1.06004      175.47450         3.824e-05 
   912.750          75.129     71.949    179.141            7.431         6973.727      1.364      0.000      0.000    0.00730   25.70232           -1.06791      175.49832         3.905e-05 
   913.750          74.990     71.883    179.158            7.418         6981.047      1.364      0.000      0.000    0.00715   25.64029           -1.07602      175.52196         3.987e-05 
   914.750          74.851     71.818    179.174            7.405         6988.353      1.364      0.000      0.000    0.00700   25.57746           -1.08439      175.54544         4.072e-05 
   915.750          74.710     71.752    179.191            7.391         6995.647      1.364      0.000      0.000    0.00686   25.51379           -1.09301      175.56874         4.159e-05 
   916.750          74.569     71.687    179.207            7.377         7002.927      1.364      0.000      0.000    0.00671   25.44928           -1.10189      175.59187         4.248e-05 
   917.750          74.426     71.622    179.222            7.363         7010.194      1.364      0.000      0.000    0.00657   25.38390           -1.11104      175.61484         4.340e-05 
   918.750          74.283     71.557    179.238            7.349         7017.447      1.364      0.000      0.000    0.00643   25.31765           -1.12046      175.63763         4.434e-05 
   919.750          74.139     71.492    179.254            7.334         7024.686      1.364      0.000      0.000    0.00629   25.25051           -1.13015      175.66027         4.531e-05 
   920.750          73.994     71.428    179.269            7.319         7031.910      1.364      0.000      0.000    0.00616   25.18246           -1.14013      175.68274         4.630e-05 
   921.750          73.848     71.363    179.284            7.304         7039.120      1.364      0.000      0.000    0.00603   25.11347           -1.15040      175.70506         4.732e-05 
   922.750          73.701     71.299    179.299            7.289         7046.315      1.364      0.000      0.000    0.00590   25.04354           -1.16096      175.72721         4.837e-05 
   923.750          73.552     71.234    179.314            7.273         7053.495      1.364      0.000      0.000    0.00577   24.97265           -1.17182      175.74921         4.945e-05 
   924.750          73.403     71.170    179.329            7.257         7060.659      1.364      0.000      0.000    0.00564   24.89948           -1.18299      175.77105         5.056e-05 
   925.750          73.253     71.106    179.344            7.239         7067.807      1.364      0.000      0.000    0.00552   24.82215           -1.19450      175.79274         5.170e-05 
   926.750          73.101     71.042    179.358            7.220         7074.936      1.364      0.000      0.000    0.00539   24.73995           -1.20636      175.81427         5.287e-05 
   927.750          72.949     70.979    179.372            7.199         7082.047      1.364      0.000      0.000    0.00527   24.65224           -1.21861      175.83565         5.408e-05 
   928.750          72.795     70.915    179.387            7.177         7089.136      1.364      0.000      0.000    0.00516   24.55822           -1.23128      175.85688         5.532e-05 
   929.750          72.640     70.852    179.401            7.152         7096.201      1.364      0.000      0.000    0.00504   24.45696           -1.24442      175.87795         5.660e-05 
   930.750          72.484     70.789    179.414            7.124         7103.242      1.364      0.000      0.000    0.00492   24.34728           -1.25807      175.89887         5.792e-05 
   931.750          72.327     70.726    179.428            7.094         7110.254      1.364      0.000      0.000    0.00481   24.22774           -1.27229      175.91963         5.927e-05 
   932.750          72.169     70.663    179.441            7.060         7117.234      1.364      0.000      0.000    0.00470   24.09644           -1.28715      175.94024         6.066e-05 
   933.750          72.010     70.601    179.455            7.022         7124.180      1.364      0.000      0.000    0.00459   23.95098           -1.30272      175.96069         6.210e-05 
   934.750          71.850     70.539    179.468            6.979         7131.085      1.364      0.000      0.000    0.00449   23.78809           -1.31911      175.98098         6.357e-05 
   935.750          71.689     70.478    179.481            6.929         7137.945      1.364      0.000      0.000    0.00438   23.59943           -1.33645      176.00112         6.507e-05 
   936.750          71.527     70.417    179.493            6.870         7144.751      1.364      0.000      0.000    0.00428   23.37984           -1.35489      176.02110         6.659e-05 
