#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.PCU-internal.25d4c5dd-be9f-44b8-9620-4258c3b44b3f_Trajectory.txt
# RunID         : sara
# ObjectID      : 25d4c5dd-be9f-44b8-9620-4258c3b44b3f
# ObjectName    : PCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   941.750          70.694     70.093    179.559            6.895         7180.861      1.372      0.000      0.000    0.00227   23.31348           -1.40573      176.12232         7.514e-05 
   941.850          70.677     70.087    179.560            6.891         7181.541      1.372      0.000      0.000    0.00226   23.29832           -1.40759      176.12426         7.530e-05 
   942.300          70.601     70.060    179.566            6.871         7184.596      1.372      0.000      0.000    0.00224   23.22777           -1.41606      176.13297         7.603e-05 
   943.300          70.431     69.999    179.578            6.827         7191.354      1.372      0.000      0.000    0.00219   23.06519           -1.43556      176.15220         7.775e-05 
   944.300          70.259     69.939    179.590            6.782         7198.067      1.372      0.000      0.000    0.00214   22.88923           -1.45598      176.17129         7.964e-05 
   945.300          70.086     69.879    179.601            6.736         7204.736      1.372      0.000      0.000    0.00209   22.71186           -1.47735      176.19022         8.159e-05 
   946.300          69.912     69.820    179.613            6.691         7211.361      1.372      0.000      0.000    0.00204   22.53307           -1.49968      176.20901         8.360e-05 
   947.300          69.736     69.761    179.624            6.644         7217.939      1.372      0.000      0.000    0.00199   22.35286           -1.52299      176.22765         8.568e-05 
   948.300          69.558     69.702    179.635            6.597         7224.472      1.372      0.000      0.000    0.00194   22.17122           -1.54729      176.24615         8.781e-05 
   949.300          69.379     69.644    179.646            6.550         7230.959      1.372      0.000      0.000    0.00189   21.98815           -1.57262      176.26451         9.002e-05 
   950.300          69.200     69.586    179.657            6.451         7237.374      1.372      0.000      0.000    0.00184   21.65443           -1.59955      176.28308         9.229e-05 
