#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.PDU1-internal.b518d4fd-73f0-47f8-86c4-86e6cd94d59a_Trajectory.txt
# RunID         : sara
# ObjectID      : b518d4fd-73f0-47f8-86c4-86e6cd94d59a
# ObjectName    : PDU1-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   942.750          70.520     70.036    179.570            6.825         7187.214      1.577      0.000      0.000    0.00280   23.04889           -1.43321      176.14097         7.700e-05 
   942.850          70.503     70.030    179.572            6.820         7187.887      1.577      0.000      0.000    0.00280   23.03181           -1.43522      176.14289         7.716e-05 
   943.300          70.426     70.003    179.577            6.797         7190.910      1.577      0.000      0.000    0.00277   22.95241           -1.44437      176.15153         7.792e-05 
   944.300          70.255     69.943    179.589            6.746         7197.591      1.577      0.000      0.000    0.00271   22.76961           -1.46548      176.17060         7.969e-05 
   945.300          70.081     69.884    179.600            6.694         7204.221      1.577      0.000      0.000    0.00264   22.57210           -1.48767      176.18951         8.164e-05 
   946.300          69.907     69.825    179.612            6.643         7210.801      1.577      0.000      0.000    0.00258   22.37333           -1.51096      176.20827         8.366e-05 
   947.300          69.731     69.766    179.623            6.590         7217.330      1.577      0.000      0.000    0.00252   22.17331           -1.53535      176.22688         8.573e-05 
   948.300          69.554     69.708    179.634            6.537         7223.806      1.577      0.000      0.000    0.00246   21.97204           -1.56089      176.24534         8.787e-05 
   949.300          69.375     69.651    179.645            6.484         7230.231      1.577      0.000      0.000    0.00240   21.76954           -1.58758      176.26366         9.008e-05 
   950.300          69.195     69.593    179.655            6.421         7236.598      1.577      0.000      0.000    0.00234   21.53649           -1.61555      176.28190         9.236e-05 
   950.500          69.160     69.583    179.657            5.904         7237.813      1.577      0.000      0.000    0.00232   19.97417           -1.62262      176.28978         9.304e-05 
