#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.PropStr.8973f917-99c6-4f74-9548-8e41755684bf_Trajectory.txt
# RunID         : sara
# ObjectID      : 8973f917-99c6-4f74-9548-8e41755684bf
# ObjectName    : PropStr
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      0.616      0.000      0.000    0.03044   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      0.616      0.000      0.000    0.03039   28.37723           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.781         5889.307      0.615      0.000      0.000    0.03020   28.37501           -0.64225      168.58008         3.162e-06 
   770.650          90.343     81.542    173.342            7.780         5896.954      0.614      0.000      0.000    0.02977   28.36993           -0.64369      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.778         5904.600      0.612      0.000      0.000    0.02932   28.36432           -0.64517      168.77795         3.259e-06 
   772.650          90.167     81.407    173.522            7.776         5912.244      0.611      0.000      0.000    0.02886   28.35848           -0.64668      168.87462         3.310e-06 
   773.650          90.079     81.339    173.610            7.774         5919.887      0.610      0.000      0.000    0.02842   28.35261           -0.64822      168.96983         3.362e-06 
   774.650          89.991     81.272    173.697            7.772         5927.528      0.608      0.000      0.000    0.02798   28.34662           -0.64980      169.06360         3.415e-06 
   775.650          89.903     81.205    173.782            7.770         5935.167      0.607      0.000      0.000    0.02755   28.34050           -0.65142      169.15597         3.469e-06 
   776.650          89.815     81.137    173.866            7.768         5942.804      0.606      0.000      0.000    0.02712   28.33427           -0.65306      169.24698         3.524e-06 
   777.650          89.726     81.070    173.948            7.766         5950.439      0.605      0.000      0.000    0.02670   28.32790           -0.65475      169.33664         3.580e-06 
   778.650          89.637     81.003    174.029            7.764         5958.073      0.604      0.000      0.000    0.02628   28.32141           -0.65647      169.42501         3.637e-06 
   779.650          89.548     80.935    174.109            7.762         5965.705      0.602      0.000      0.000    0.02587   28.31479           -0.65823      169.51209         3.695e-06 
   780.650          89.459     80.868    174.188            7.760         5973.335      0.601      0.000      0.000    0.02546   28.30804           -0.66002      169.59793         3.754e-06 
   781.650          89.369     80.800    174.265            7.758         5980.963      0.600      0.000      0.000    0.02506   28.30115           -0.66185      169.68254         3.814e-06 
   782.650          89.280     80.733    174.341            7.756         5988.589      0.599      0.000      0.000    0.02467   28.29413           -0.66372      169.76596         3.875e-06 
   783.650          89.190     80.665    174.416            7.754         5996.213      0.598      0.000      0.000    0.02428   28.28698           -0.66563      169.84821         3.938e-06 
   784.650          89.100     80.598    174.490            7.752         6003.835      0.597      0.000      0.000    0.02389   28.27957           -0.66758      169.92931         4.001e-06 
   785.650          89.009     80.531    174.563            7.750         6011.455      0.596      0.000      0.000    0.02351   28.27221           -0.66957      170.00929         4.066e-06 
   786.650          88.918     80.463    174.634            7.747         6019.073      0.595      0.000      0.000    0.02314   28.26466           -0.67160      170.08817         4.132e-06 
   787.650          88.827     80.396    174.705            7.745         6026.689      0.595      0.000      0.000    0.02277   28.25693           -0.67367      170.16599         4.200e-06 
   788.650          88.736     80.328    174.774            7.743         6034.303      0.594      0.000      0.000    0.02240   28.24906           -0.67579      170.24274         4.268e-06 
   789.650          88.645     80.261    174.843            7.740         6041.915      0.593      0.000      0.000    0.02204   28.24103           -0.67794      170.31847         4.338e-06 
   790.650          88.553     80.194    174.910            7.738         6049.524      0.592      0.000      0.000    0.02169   28.23286           -0.68014      170.39319         4.409e-06 
   791.650          88.461     80.126    174.977            7.736         6057.131      0.591      0.000      0.000    0.02133   28.22453           -0.68239      170.46692         4.482e-06 
   792.650          88.369     80.059    175.042            7.733         6064.737      0.591      0.000      0.000    0.02099   28.21605           -0.68467      170.53969         4.556e-06 
   793.650          88.276     79.992    175.107            7.731         6072.339      0.590      0.000      0.000    0.02065   28.20741           -0.68701      170.61150         4.632e-06 
   794.650          88.183     79.924    175.170            7.728         6079.940      0.589      0.000      0.000    0.02031   28.19860           -0.68938      170.68239         4.709e-06 
   795.650          88.090     79.857    175.233            7.726         6087.538      0.589      0.000      0.000    0.01998   28.18963           -0.69181      170.75236         4.788e-06 
   796.650          87.997     79.789    175.295            7.723         6095.133      0.588      0.000      0.000    0.01965   28.18050           -0.69428      170.82144         4.868e-06 
   797.650          87.903     79.722    175.356            7.720         6102.727      0.587      0.000      0.000    0.01932   28.17120           -0.69680      170.88964         4.950e-06 
   798.650          87.809     79.655    175.416            7.718         6110.318      0.587      0.000      0.000    0.01900   28.16173           -0.69937      170.95699         5.033e-06 
   799.650          87.715     79.587    175.475            7.715         6117.906      0.586      0.000      0.000    0.01869   28.15208           -0.70199      171.02349         5.118e-06 
   800.650          87.620     79.520    175.533            7.712         6125.491      0.586      0.000      0.000    0.01838   28.14226           -0.70466      171.08916         5.205e-06 
