#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.RSJD.a084c8b2-97ee-470d-951a-1bebe0e2085c_Trajectory.txt
# RunID         : sara
# ObjectID      : a084c8b2-97ee-470d-951a-1bebe0e2085c
# ObjectName    : RSJD
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      1.823      0.000      0.000    0.03777   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      1.822      0.000      0.000    0.03772   28.37751           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.782         5889.307      1.820      0.000      0.000    0.03748   28.37664           -0.64225      168.58008         3.162e-06 
   770.650          90.342     81.542    173.342            7.781         5896.955      1.815      0.000      0.000    0.03695   28.37465           -0.64367      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.780         5904.603      1.810      0.000      0.000    0.03638   28.37242           -0.64512      168.77797         3.259e-06 
   772.650          90.167     81.407    173.522            7.779         5912.250      1.804      0.000      0.000    0.03582   28.36999           -0.64658      168.87465         3.310e-06 
   773.650          90.079     81.339    173.610            7.778         5919.896      1.799      0.000      0.000    0.03527   28.36759           -0.64805      168.96989         3.362e-06 
   774.650          89.991     81.272    173.697            7.777         5927.542      1.794      0.000      0.000    0.03472   28.36511           -0.64955      169.06370         3.415e-06 
   775.650          89.903     81.205    173.782            7.776         5935.186      1.789      0.000      0.000    0.03418   28.36255           -0.65106      169.15612         3.469e-06 
   776.650          89.815     81.137    173.866            7.775         5942.830      1.784      0.000      0.000    0.03365   28.35992           -0.65259      169.24718         3.524e-06 
   777.650          89.726     81.070    173.948            7.774         5950.473      1.780      0.000      0.000    0.03313   28.35721           -0.65413      169.33692         3.580e-06 
   778.650          89.637     81.002    174.030            7.774         5958.115      1.775      0.000      0.000    0.03261   28.35443           -0.65570      169.42536         3.637e-06 
   779.650          89.548     80.935    174.110            7.773         5965.756      1.770      0.000      0.000    0.03210   28.35157           -0.65728      169.51252         3.695e-06 
   780.650          89.459     80.867    174.188            7.772         5973.397      1.766      0.000      0.000    0.03160   28.34863           -0.65889      169.59845         3.754e-06 
   781.650          89.369     80.800    174.266            7.770         5981.036      1.762      0.000      0.000    0.03110   28.34561           -0.66051      169.68316         3.814e-06 
   782.650          89.280     80.732    174.342            7.769         5988.675      1.757      0.000      0.000    0.03061   28.34252           -0.66215      169.76668         3.875e-06 
   783.650          89.190     80.665    174.417            7.768         5996.313      1.753      0.000      0.000    0.03013   28.33934           -0.66381      169.84903         3.938e-06 
   784.650          89.100     80.597    174.491            7.767         6003.950      1.749      0.000      0.000    0.02965   28.33597           -0.66549      169.93025         4.001e-06 
   785.650          89.009     80.530    174.564            7.766         6011.586      1.745      0.000      0.000    0.02918   28.33270           -0.66719      170.01036         4.066e-06 
   786.650          88.919     80.462    174.636            7.765         6019.221      1.741      0.000      0.000    0.02871   28.32930           -0.66890      170.08937         4.132e-06 
   787.650          88.828     80.394    174.706            7.764         6026.855      1.737      0.000      0.000    0.02825   28.32579           -0.67065      170.16731         4.199e-06 
   788.650          88.737     80.327    174.776            7.763         6034.488      1.733      0.000      0.000    0.02780   28.32219           -0.67241      170.24421         4.268e-06 
   789.650          88.646     80.259    174.845            7.762         6042.120      1.730      0.000      0.000    0.02736   28.31851           -0.67419      170.32009         4.337e-06 
   790.650          88.554     80.192    174.912            7.761         6049.752      1.726      0.000      0.000    0.02692   28.31474           -0.67599      170.39496         4.409e-06 
   791.650          88.463     80.124    174.979            7.759         6057.382      1.723      0.000      0.000    0.02648   28.31088           -0.67782      170.46885         4.481e-06 
   792.650          88.371     80.056    175.044            7.758         6065.011      1.719      0.000      0.000    0.02605   28.30693           -0.67967      170.54178         4.555e-06 
   793.650          88.279     79.989    175.109            7.757         6072.639      1.716      0.000      0.000    0.02563   28.30289           -0.68154      170.61376         4.630e-06 
   794.650          88.186     79.921    175.173            7.756         6080.266      1.713      0.000      0.000    0.02521   28.29876           -0.68343      170.68481         4.707e-06 
   795.650          88.094     79.854    175.236            7.755         6087.892      1.710      0.000      0.000    0.02480   28.29454           -0.68535      170.75496         4.785e-06 
   796.650          88.001     79.786    175.298            7.753         6095.517      1.707      0.000      0.000    0.02440   28.29023           -0.68729      170.82423         4.865e-06 
   797.650          87.908     79.718    175.359            7.752         6103.140      1.704      0.000      0.000    0.02400   28.28582           -0.68925      170.89262         4.946e-06 
   798.650          87.814     79.651    175.419            7.751         6110.763      1.701      0.000      0.000    0.02360   28.28132           -0.69124      170.96015         5.029e-06 
   799.650          87.721     79.583    175.479            7.749         6118.384      1.699      0.000      0.000    0.02321   28.27672           -0.69325      171.02685         5.113e-06 
   800.650          87.627     79.516    175.537            7.748         6126.004      1.696      0.000      0.000    0.02283   28.27202           -0.69529      171.09273         5.199e-06 
   801.650          87.533     79.448    175.595            7.747         6133.623      1.693      0.000      0.000    0.02245   28.26723           -0.69735      171.15779         5.287e-06 
   802.650          87.438     79.380    175.652            7.745         6141.241      1.691      0.000      0.000    0.02208   28.26234           -0.69944      171.22207         5.376e-06 
   803.650          87.343     79.313    175.709            7.744         6148.857      1.689      0.000      0.000    0.02171   28.25735           -0.70156      171.28558         5.467e-06 
   804.650          87.248     79.245    175.764            7.742         6156.473      1.686      0.000      0.000    0.02135   28.25226           -0.70370      171.34832         5.560e-06 
   805.650          87.153     79.177    175.819            7.741         6164.087      1.684      0.000      0.000    0.02099   28.24708           -0.70587      171.41031         5.655e-06 
   806.650          87.058     79.110    175.873            7.739         6171.699      1.682      0.000      0.000    0.02064   28.24179           -0.70806      171.47157         5.752e-06 
   807.650          86.962     79.042    175.926            7.738         6179.310      1.680      0.000      0.000    0.02029   28.23639           -0.71029      171.53211         5.851e-06 
   808.650          86.866     78.975    175.979            7.736         6186.920      1.678      0.000      0.000    0.01995   28.23090           -0.71254      171.59194         5.952e-06 
   809.650          86.770     78.907    176.031            7.735         6194.529      1.676      0.000      0.000    0.01961   28.22530           -0.71482      171.65108         6.054e-06 
   810.650          86.673     78.839    176.082            7.733         6202.136      1.675      0.000      0.000    0.01928   28.21960           -0.71713      171.70954         6.159e-06 
   811.650          86.576     78.772    176.132            7.731         6209.742      1.673      0.000      0.000    0.01895   28.21379           -0.71947      171.76733         6.266e-06 
   812.650          86.479     78.704    176.182            7.730         6217.346      1.671      0.000      0.000    0.01862   28.20788           -0.72185      171.82445         6.376e-06 
   813.650          86.381     78.637    176.232            7.728         6224.949      1.670      0.000      0.000    0.01830   28.20186           -0.72425      171.88094         6.487e-06 
   814.650          86.283     78.569    176.280            7.726         6232.550      1.668      0.000      0.000    0.01799   28.19574           -0.72668      171.93679         6.601e-06 
   815.650          86.185     78.501    176.328            7.725         6240.149      1.667      0.000      0.000    0.01767   28.18951           -0.72915      171.99201         6.718e-06 
   816.650          86.087     78.434    176.376            7.723         6247.747      1.666      0.000      0.000    0.01737   28.18317           -0.73164      172.04663         6.837e-06 
   817.650          85.988     78.366    176.422            7.721         6255.344      1.665      0.000      0.000    0.01706   28.17672           -0.73417      172.10064         6.958e-06 
   818.650          85.889     78.299    176.469            7.719         6262.939      1.663      0.000      0.000    0.01679   28.15539           -0.73674      172.15406         7.074e-06 
   819.650          85.790     78.231    176.514            7.717         6270.532      1.662      0.000      0.000    0.01651   28.13393           -0.73934      172.20690         7.192e-06 
   820.650          85.690     78.163    176.559            7.716         6278.123      1.661      0.000      0.000    0.01624   28.11234           -0.74197      172.25916         7.313e-06 
   821.650          85.590     78.096    176.604            7.714         6285.713      1.661      0.000      0.000    0.01597   28.09062           -0.74464      172.31087         7.436e-06 
   822.650          85.489     78.028    176.648            7.712         6293.301      1.660      0.000      0.000    0.01570   28.06880           -0.74734      172.36202         7.562e-06 
   823.650          85.389     77.961    176.691            7.710         6300.887      1.659      0.000      0.000    0.01544   28.04674           -0.75008      172.41263         7.690e-06 
   824.650          85.287     77.893    176.734            7.708         6308.471      1.658      0.000      0.000    0.01518   28.02464           -0.75286      172.46270         7.820e-06 
   825.650          85.186     77.826    176.776            7.706         6316.054      1.658      0.000      0.000    0.01493   28.00236           -0.75568      172.51225         7.953e-06 
   826.650          85.084     77.758    176.818            7.704         6323.635      1.657      0.000      0.000    0.01468   27.97995           -0.75853      172.56128         8.088e-06 
   827.650          84.982     77.691    176.859            7.701         6331.213      1.656      0.000      0.000    0.01443   27.95738           -0.76142      172.60980         8.227e-06 
   828.650          84.879     77.623    176.900            7.699         6338.790      1.656      0.000      0.000    0.01419   27.93467           -0.76436      172.65782         8.368e-06 
   829.650          84.777     77.556    176.941            7.697         6346.365      1.655      0.000      0.000    0.01395   27.91180           -0.76733      172.70535         8.511e-06 
   830.650          84.673     77.488    176.980            7.695         6353.938      1.655      0.000      0.000    0.01372   27.88879           -0.77034      172.75240         8.658e-06 
   831.650          84.570     77.421    177.020            7.693         6361.508      1.655      0.000      0.000    0.01348   27.86564           -0.77340      172.79897         8.807e-06 
