#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SADM2-internal.bd3ebba8-c7d0-464c-b530-c81afac9f233_Trajectory.txt
# RunID         : sara
# ObjectID      : bd3ebba8-c7d0-464c-b530-c81afac9f233
# ObjectName    : SADM2-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   862.650          81.212     75.326    178.045            7.623         6596.249      1.270      0.000      0.000    0.01325   27.14401           -0.86917      174.04631         1.523e-05 
   862.750          81.201     75.319    178.047            7.623         6597.000      1.270      0.000      0.000    0.01323   27.14121           -0.86961      174.04978         1.525e-05 
   863.200          81.148     75.289    178.060            7.621         6600.377      1.270      0.000      0.000    0.01313   27.12817           -0.87158      174.06538         1.536e-05 
   864.200          81.032     75.222    178.087            7.616         6607.879      1.270      0.000      0.000    0.01291   27.09810           -0.87604      174.09982         1.563e-05 
   865.200          80.916     75.155    178.114            7.611         6615.376      1.270      0.000      0.000    0.01267   27.06550           -0.88059      174.13397         1.593e-05 
   866.200          80.798     75.088    178.141            7.606         6622.868      1.270      0.000      0.000    0.01244   27.03257           -0.88523      174.16783         1.623e-05 
   867.200          80.681     75.021    178.167            7.601         6630.356      1.269      0.000      0.000    0.01221   26.99932           -0.88996      174.20140         1.653e-05 
   868.200          80.562     74.954    178.193            7.596         6637.840      1.269      0.000      0.000    0.01198   26.96573           -0.89478      174.23468         1.685e-05 
   869.200          80.443     74.887    178.219            7.591         6645.318      1.269      0.000      0.000    0.01175   26.93181           -0.89969      174.26768         1.717e-05 
   870.200          80.324     74.820    178.245            7.586         6652.792      1.269      0.000      0.000    0.01153   26.89753           -0.90470      174.30041         1.749e-05 
   871.200          80.204     74.754    178.270            7.581         6660.260      1.269      0.000      0.000    0.01132   26.86289           -0.90981      174.33286         1.783e-05 
   872.200          80.083     74.687    178.295            7.575         6667.723      1.269      0.000      0.000    0.01110   26.82789           -0.91501      174.36505         1.817e-05 
   873.200          79.962     74.620    178.320            7.570         6675.182      1.269      0.000      0.000    0.01089   26.79251           -0.92032      174.39697         1.853e-05 
   874.200          79.840     74.554    178.344            7.564         6682.635      1.269      0.000      0.000    0.01069   26.75678           -0.92573      174.42862         1.888e-05 
   875.200          79.717     74.487    178.369            7.559         6690.082      1.269      0.000      0.000    0.01048   26.72064           -0.93125      174.46002         1.925e-05 
   876.200          79.594     74.421    178.393            7.553         6697.524      1.269      0.000      0.000    0.01028   26.68411           -0.93687      174.49116         1.963e-05 
   877.200          79.470     74.354    178.416            7.547         6704.961      1.269      0.000      0.000    0.01008   26.64718           -0.94260      174.52204         2.002e-05 
   878.200          79.346     74.288    178.440            7.541         6712.392      1.269      0.000      0.000    0.00989   26.60983           -0.94845      174.55268         2.041e-05 
   879.200          79.221     74.221    178.463            7.535         6719.817      1.269      0.000      0.000    0.00969   26.57207           -0.95441      174.58307         2.081e-05 
   880.200          79.095     74.155    178.486            7.529         6727.236      1.269      0.000      0.000    0.00951   26.53388           -0.96048      174.61321         2.123e-05 
   881.200          78.968     74.089    178.509            7.522         6734.649      1.269      0.000      0.000    0.00932   26.49525           -0.96667      174.64311         2.165e-05 
   882.200          78.841     74.022    178.532            7.516         6742.056      1.269      0.000      0.000    0.00914   26.45617           -0.97298      174.67278         2.209e-05 
   883.200          78.713     73.956    178.554            7.509         6749.456      1.269      0.000      0.000    0.00896   26.41664           -0.97942      174.70221         2.253e-05 
   884.200          78.584     73.890    178.576            7.502         6756.851      1.269      0.000      0.000    0.00878   26.37663           -0.98597      174.73141         2.299e-05 
   885.200          78.455     73.824    178.598            7.496         6764.239      1.269      0.000      0.000    0.00860   26.33616           -0.99266      174.76038         2.346e-05 
   886.200          78.325     73.758    178.619            7.489         6771.620      1.269      0.000      0.000    0.00843   26.29520           -0.99948      174.78912         2.394e-05 
   887.200          78.194     73.692    178.641            7.481         6778.994      1.269      0.000      0.000    0.00826   26.25374           -1.00643      174.81763         2.443e-05 
   888.200          78.062     73.626    178.662            7.473         6786.361      1.269      0.000      0.000    0.00809   26.20659           -1.01352      174.84593         2.493e-05 
   889.200          77.929     73.560    178.683            7.459         6793.717      1.269      0.000      0.000    0.00793   26.14519           -1.02083      174.87398         2.545e-05 
   890.200          77.796     73.495    178.704            7.434         6801.054      1.269      0.000      0.000    0.00777   26.04577           -1.02850      174.90179         2.598e-05 
   891.200          77.664     73.430    178.724            7.271         6808.298      1.269      0.000      0.000    0.00761   25.51740           -1.03796      174.92903         2.652e-05 
