#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SADM2.4254b2b9-f0f4-417f-bf3d-c6698423b687_Trajectory.txt
# RunID         : sara
# ObjectID      : 4254b2b9-f0f4-417f-bf3d-c6698423b687
# ObjectName    : SADM2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      1.580      0.000      0.000    0.06154   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      1.579      0.000      0.000    0.06146   28.37757           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.782         5889.307      1.577      0.000      0.000    0.06107   28.37694           -0.64225      168.58008         3.162e-06 
   770.650          90.342     81.542    173.342            7.781         5896.956      1.570      0.000      0.000    0.06020   28.37552           -0.64367      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.780         5904.604      1.564      0.000      0.000    0.05928   28.37391           -0.64511      168.77797         3.259e-06 
   772.650          90.167     81.407    173.522            7.780         5912.251      1.557      0.000      0.000    0.05836   28.37212           -0.64656      168.87466         3.310e-06 
   773.650          90.079     81.339    173.610            7.779         5919.898      1.551      0.000      0.000    0.05746   28.37036           -0.64802      168.96990         3.362e-06 
   774.650          89.991     81.272    173.697            7.778         5927.544      1.544      0.000      0.000    0.05657   28.36854           -0.64950      169.06372         3.415e-06 
   775.650          89.903     81.205    173.782            7.778         5935.190      1.538      0.000      0.000    0.05570   28.36666           -0.65099      169.15615         3.469e-06 
   776.650          89.815     81.137    173.866            7.777         5942.835      1.531      0.000      0.000    0.05483   28.36472           -0.65250      169.24722         3.524e-06 
   777.650          89.726     81.070    173.948            7.776         5950.479      1.525      0.000      0.000    0.05398   28.36271           -0.65402      169.33697         3.580e-06 
   778.650          89.637     81.002    174.030            7.775         5958.123      1.519      0.000      0.000    0.05313   28.36063           -0.65556      169.42542         3.637e-06 
   779.650          89.548     80.935    174.110            7.774         5965.766      1.513      0.000      0.000    0.05230   28.35850           -0.65711      169.51260         3.695e-06 
   780.650          89.459     80.867    174.188            7.774         5973.408      1.507      0.000      0.000    0.05148   28.35630           -0.65867      169.59854         3.754e-06 
   781.650          89.369     80.800    174.266            7.773         5981.050      1.501      0.000      0.000    0.05067   28.35404           -0.66025      169.68327         3.814e-06 
   782.650          89.280     80.732    174.342            7.772         5988.691      1.495      0.000      0.000    0.04987   28.35171           -0.66185      169.76681         3.875e-06 
