#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SADME.dc7dacaf-0684-4bc3-b79b-30d22b334b96_Trajectory.txt
# RunID         : sara
# ObjectID      : dc7dacaf-0684-4bc3-b79b-30d22b334b96
# ObjectName    : SADME
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      3.333      0.000      0.000    0.09536   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      3.331      0.000      0.000    0.09524   28.37717           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.781         5889.307      3.325      0.000      0.000    0.09464   28.37470           -0.64225      168.58008         3.162e-06 
   770.650          90.343     81.542    173.342            7.779         5896.954      3.310      0.000      0.000    0.09329   28.36902           -0.64370      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.777         5904.600      3.295      0.000      0.000    0.09185   28.36279           -0.64518      168.77795         3.259e-06 
   772.650          90.167     81.407    173.522            7.775         5912.243      3.279      0.000      0.000    0.09044   28.35634           -0.64670      168.87462         3.310e-06 
   773.650          90.080     81.339    173.610            7.773         5919.885      3.263      0.000      0.000    0.08904   28.34988           -0.64826      168.96981         3.362e-06 
   774.650          89.991     81.272    173.697            7.771         5927.525      3.248      0.000      0.000    0.08767   28.34331           -0.64985      169.06358         3.415e-06 
   775.650          89.903     81.205    173.782            7.769         5935.163      3.232      0.000      0.000    0.08631   28.33662           -0.65148      169.15594         3.469e-06 
   776.650          89.815     81.137    173.866            7.767         5942.799      3.217      0.000      0.000    0.08497   28.32984           -0.65315      169.24694         3.524e-06 
