#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.STD2.84d8e60a-8888-4008-98ee-97f86e72405d_Trajectory.txt
# RunID         : sara
# ObjectID      : 84d8e60a-8888-4008-98ee-97f86e72405d
# ObjectName    : STD2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      1.441      0.000      0.000    0.05986   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      1.440      0.000      0.000    0.05978   28.37621           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.780         5889.306      1.438      0.000      0.000    0.05941   28.36925           -0.64226      168.58010         3.162e-06 
   770.650          90.343     81.542    173.342            7.775         5896.951      1.432      0.000      0.000    0.05856   28.35322           -0.64376      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.769         5904.590      1.426      0.000      0.000    0.05766   28.33577           -0.64536      168.77792         3.259e-06 
   772.650          90.168     81.407    173.522            7.764         5912.224      1.420      0.000      0.000    0.05677   28.31798           -0.64705      168.87451         3.310e-06 
   773.650          90.080     81.340    173.610            7.759         5919.854      1.415      0.000      0.000    0.05590   28.30007           -0.64883      168.96960         3.362e-06 
   774.650          89.992     81.273    173.696            7.754         5927.478      1.409      0.000      0.000    0.05503   28.28193           -0.65070      169.06323         3.415e-06 
   775.650          89.904     81.205    173.781            7.749         5935.098      1.403      0.000      0.000    0.05418   28.26356           -0.65267      169.15543         3.469e-06 
   776.650          89.815     81.138    173.865            7.743         5942.712      1.397      0.000      0.000    0.05334   28.24497           -0.65473      169.24624         3.523e-06 
   777.650          89.727     81.071    173.947            7.738         5950.322      1.392      0.000      0.000    0.05251   28.22614           -0.65690      169.33568         3.579e-06 
   778.650          89.638     81.004    174.028            7.733         5957.926      1.386      0.000      0.000    0.05169   28.20707           -0.65916      169.42379         3.636e-06 
   779.650          89.549     80.937    174.107            7.727         5965.524      1.381      0.000      0.000    0.05088   28.18777           -0.66152      169.51059         3.694e-06 
   780.650          89.459     80.870    174.185            7.721         5973.118      1.375      0.000      0.000    0.05008   28.16824           -0.66398      169.59612         3.753e-06 
   781.650          89.370     80.803    174.262            7.716         5980.706      1.370      0.000      0.000    0.04929   28.14845           -0.66654      169.68040         3.814e-06 
   782.650          89.280     80.736    174.338            7.710         5988.289      1.364      0.000      0.000    0.04851   28.12843           -0.66920      169.76347         3.875e-06 
   783.650          89.190     80.669    174.413            7.704         5995.866      1.359      0.000      0.000    0.04775   28.10815           -0.67197      169.84534         3.938e-06 
   784.650          89.099     80.602    174.486            7.699         6003.438      1.354      0.000      0.000    0.04699   28.08750           -0.67485      169.92605         4.002e-06 
   785.650          89.008     80.535    174.558            7.693         6011.004      1.349      0.000      0.000    0.04624   28.06679           -0.67783      170.00561         4.067e-06 
   786.650          88.917     80.468    174.629            7.687         6018.564      1.344      0.000      0.000    0.04549   28.04576           -0.68091      170.08406         4.133e-06 
   787.650          88.826     80.401    174.699            7.681         6026.119      1.339      0.000      0.000    0.04476   28.02444           -0.68411      170.16141         4.201e-06 
   788.650          88.734     80.334    174.768            7.675         6033.668      1.334      0.000      0.000    0.04404   28.00285           -0.68742      170.23770         4.270e-06 
   789.650          88.641     80.267    174.836            7.669         6041.211      1.329      0.000      0.000    0.04332   27.98099           -0.69084      170.31293         4.341e-06 
   790.650          88.549     80.201    174.903            7.662         6048.748      1.324      0.000      0.000    0.04262   27.95885           -0.69437      170.38715         4.413e-06 
   791.650          88.456     80.134    174.969            7.656         6056.279      1.319      0.000      0.000    0.04192   27.93643           -0.69801      170.46035         4.486e-06 
   792.650          88.362     80.067    175.034            7.650         6063.804      1.315      0.000      0.000    0.04123   27.91372           -0.70177      170.53257         4.562e-06 
   793.650          88.268     80.001    175.098            7.643         6071.323      1.310      0.000      0.000    0.04055   27.89071           -0.70565      170.60383         4.638e-06 
   794.650          88.174     79.934    175.161            7.637         6078.835      1.305      0.000      0.000    0.03988   27.86742           -0.70965      170.67414         4.717e-06 
   795.650          88.079     79.867    175.223            7.630         6086.341      1.301      0.000      0.000    0.03921   27.84382           -0.71377      170.74353         4.797e-06 
   796.650          87.984     79.801    175.284            7.624         6093.841      1.296      0.000      0.000    0.03855   27.81991           -0.71801      170.81201         4.879e-06 
   797.650          87.888     79.734    175.344            7.617         6101.335      1.292      0.000      0.000    0.03791   27.79569           -0.72237      170.87960         4.963e-06 
   798.650          87.792     79.668    175.404            7.610         6108.822      1.288      0.000      0.000    0.03726   27.77115           -0.72685      170.94632         5.048e-06 
   799.650          87.695     79.602    175.462            7.603         6116.302      1.284      0.000      0.000    0.03663   27.74579           -0.73147      171.01218         5.136e-06 
   800.650          87.598     79.535    175.520            7.595         6123.775      1.279      0.000      0.000    0.03600   27.71871           -0.73622      171.07721         5.225e-06 
   801.650          87.500     79.469    175.577            7.587         6131.241      1.275      0.000      0.000    0.03538   27.68957           -0.74111      171.14141         5.317e-06 
   802.650          87.401     79.403    175.633            7.579         6138.698      1.271      0.000      0.000    0.03477   27.65811           -0.74616      171.20480         5.411e-06 
   803.650          87.302     79.337    175.688            7.569         6146.147      1.267      0.000      0.000    0.03416   27.62398           -0.75138      171.26739         5.507e-06 
   804.650          87.203     79.271    175.743            7.559         6153.586      1.263      0.000      0.000    0.03357   27.58675           -0.75678      171.32920         5.605e-06 
   805.650          87.103     79.205    175.796            7.547         6161.014      1.260      0.000      0.000    0.03298   27.54590           -0.76239      171.39023         5.706e-06 
   806.650          87.002     79.139    175.849            7.535         6168.431      1.256      0.000      0.000    0.03239   27.50075           -0.76821      171.45049         5.809e-06 
   807.650          86.901     79.073    175.901            7.521         6175.835      1.252      0.000      0.000    0.03181   27.45041           -0.77428      171.51000         5.914e-06 
   808.650          86.799     79.007    175.953            7.505         6183.225      1.249      0.000      0.000    0.03124   27.39371           -0.78064      171.56875         6.022e-06 
   809.650          86.696     78.942    176.003            7.487         6190.597      1.245      0.000      0.000    0.03068   27.32900           -0.78730      171.62676         6.133e-06 
   810.650          86.593     78.877    176.053            7.466         6197.951      1.242      0.000      0.000    0.03012   27.25395           -0.79433      171.68404         6.246e-06 
   811.650          86.489     78.811    176.102            7.441         6205.283      1.238      0.000      0.000    0.02957   27.16503           -0.80179      171.74057         6.363e-06 
   812.650          86.385     78.746    176.151            7.411         6212.587      1.235      0.000      0.000    0.02903   27.05655           -0.80977      171.79637         6.482e-06 
   813.650          86.280     78.682    176.198            7.372         6219.857      1.232      0.000      0.000    0.02849   26.91845           -0.81841      171.85144         6.604e-06 
   814.650          86.174     78.618    176.245            7.318         6227.082      1.229      0.000      0.000    0.02796   26.73038           -0.82792      171.90577         6.730e-06 
   815.650          86.068     78.554    176.290            7.235         6234.240      1.226      0.000      0.000    0.02744   26.44013           -0.83875      171.95940         6.858e-06 
   816.650          85.963     78.491    176.334            7.054         6241.268      1.223      0.000      0.000    0.02694   25.82066           -0.85216      172.01262         6.986e-06 
