#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.T4S-internal.355d25f9-3965-425f-9261-2577f7f8cb4c_Trajectory.txt
# RunID         : sara
# ObjectID      : 355d25f9-3965-425f-9261-2577f7f8cb4c
# ObjectName    : T4S-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   857.650          81.680     75.682    177.894            7.554         6556.394      1.128      0.000      0.000    0.01591   26.96120           -0.89026      173.86027         1.413e-05 
   857.750          81.668     75.675    177.897            7.553         6557.137      1.128      0.000      0.000    0.01588   26.95728           -0.89083      173.86387         1.415e-05 
   858.200          81.615     75.645    177.910            7.550         6560.483      1.128      0.000      0.000    0.01576   26.93901           -0.89338      173.88006         1.426e-05 
   859.200          81.497     75.579    177.938            7.541         6567.912      1.127      0.000      0.000    0.01549   26.89682           -0.89918      173.91578         1.451e-05 
   860.200          81.379     75.513    177.966            7.533         6575.333      1.127      0.000      0.000    0.01520   26.85103           -0.90513      173.95118         1.479e-05 
   861.200          81.259     75.446    177.994            7.524         6582.746      1.126      0.000      0.000    0.01491   26.80472           -0.91124      173.98625         1.508e-05 
   862.200          81.139     75.380    178.022            7.516         6590.151      1.126      0.000      0.000    0.01463   26.75788           -0.91750      174.02101         1.537e-05 
   863.200          81.018     75.314    178.049            7.507         6597.547      1.125      0.000      0.000    0.01435   26.71051           -0.92394      174.05546         1.567e-05 
   864.200          80.897     75.248    178.076            7.498         6604.935      1.125      0.000      0.000    0.01407   26.66258           -0.93053      174.08960         1.597e-05 
   865.200          80.775     75.182    178.103            7.489         6612.314      1.125      0.000      0.000    0.01380   26.61408           -0.93730      174.12344         1.628e-05 
   866.200          80.652     75.116    178.129            7.480         6619.684      1.124      0.000      0.000    0.01354   26.56502           -0.94424      174.15697         1.661e-05 
   867.200          80.528     75.051    178.155            7.470         6627.045      1.124      0.000      0.000    0.01327   26.51536           -0.95136      174.19021         1.693e-05 
   868.200          80.404     74.985    178.181            7.461         6634.397      1.124      0.000      0.000    0.01301   26.46509           -0.95866      174.22315         1.727e-05 
   869.200          80.279     74.919    178.206            7.451         6641.739      1.124      0.000      0.000    0.01276   26.41421           -0.96613      174.25580         1.762e-05 
   870.200          80.153     74.854    178.232            7.441         6649.072      1.123      0.000      0.000    0.01251   26.36271           -0.97380      174.28817         1.797e-05 
   871.200          80.026     74.788    178.256            7.431         6656.395      1.123      0.000      0.000    0.01226   26.31054           -0.98165      174.32026         1.834e-05 
   872.200          79.898     74.723    178.281            7.414         6663.705      1.123      0.000      0.000    0.01201   26.23773           -0.98976      174.35206         1.871e-05 
   873.200          79.770     74.658    178.305            7.350         6670.976      1.123      0.000      0.000    0.01177   26.01460           -0.99863      174.38350         1.909e-05 
