#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.TCU.ec89d4c6-20df-4070-b733-9f1552d41c7e_Trajectory.txt
# RunID         : sara
# ObjectID      : ec89d4c6-20df-4070-b733-9f1552d41c7e
# ObjectName    : TCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   903.200          76.419     72.580    178.974            7.546         6903.219      1.905      0.000      0.000    0.00563   26.24982           -1.00219      175.26341         3.219e-05 
   903.300          76.406     72.573    178.976            7.545         6903.962      1.905      0.000      0.000    0.00562   26.24574           -1.00278      175.26596         3.224e-05 
   903.750          76.347     72.544    178.984            7.541         6907.308      1.905      0.000      0.000    0.00558   26.22673           -1.00543      175.27741         3.251e-05 
   904.750          76.214     72.477    179.002            7.532         6914.736      1.905      0.000      0.000    0.00547   26.18279           -1.01144      175.30271         3.313e-05 
   905.750          76.081     72.411    179.020            7.523         6922.156      1.905      0.000      0.000    0.00536   26.13506           -1.01762      175.32782         3.381e-05 
   906.750          75.947     72.344    179.038            7.514         6929.566      1.905      0.000      0.000    0.00525   26.08675           -1.02397      175.35275         3.450e-05 
   907.750          75.812     72.278    179.056            7.504         6936.968      1.905      0.000      0.000    0.00515   26.03784           -1.03049      175.37749         3.521e-05 
   908.750          75.677     72.212    179.073            7.495         6944.361      1.905      0.000      0.000    0.00504   25.98832           -1.03719      175.40206         3.595e-05 
   909.750          75.541     72.146    179.091            7.485         6951.744      1.905      0.000      0.000    0.00494   25.93818           -1.04407      175.42645         3.669e-05 
   910.750          75.404     72.080    179.108            7.475         6959.118      1.905      0.000      0.000    0.00484   25.88740           -1.05113      175.45066         3.746e-05 
