#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.UDAFilt.2ef56939-a9fc-4def-8d3d-5b6385a5e759_Trajectory.txt
# RunID         : sara
# ObjectID      : 2ef56939-a9fc-4def-8d3d-5b6385a5e759
# ObjectName    : UDAFilt
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   903.200          76.419     72.580    178.974            7.546         6903.219      2.495      0.000      0.000    0.01186   26.24982           -1.00219      175.26341         3.219e-05 
   903.300          76.406     72.573    178.976            7.542         6903.962      2.495      0.000      0.000    0.01184   26.23817           -1.00278      175.26596         3.224e-05 
   903.750          76.347     72.544    178.984            7.527         6907.304      2.494      0.000      0.000    0.01175   26.18397           -1.00550      175.27739         3.251e-05 
   904.750          76.214     72.477    179.002            7.493         6914.707      2.494      0.000      0.000    0.01153   26.05901           -1.01200      175.30261         3.313e-05 
   905.750          76.082     72.411    179.020            7.459         6922.075      2.494      0.000      0.000    0.01130   25.92369           -1.01913      175.32759         3.380e-05 
   906.750          75.949     72.346    179.038            7.424         6929.410      2.494      0.000      0.000    0.01107   25.78720           -1.02691      175.35233         3.449e-05 
   907.750          75.816     72.280    179.055            7.389         6936.711      2.494      0.000      0.000    0.01085   25.64953           -1.03536      175.37683         3.520e-05 
   908.750          75.682     72.215    179.072            7.354         6943.978      2.494      0.000      0.000    0.01063   25.51066           -1.04446      175.40110         3.592e-05 
   909.750          75.548     72.150    179.089            7.318         6951.209      2.494      0.000      0.000    0.01042   25.37060           -1.05425      175.42515         3.666e-05 
   910.750          75.413     72.086    179.106            7.282         6958.405      2.494      0.000      0.000    0.01021   25.22934           -1.06473      175.44897         3.741e-05 
   911.750          75.277     72.022    179.123            7.245         6965.565      2.494      0.000      0.000    0.01000   25.08685           -1.07591      175.47256         3.819e-05 
   912.750          75.141     71.958    179.139            7.201         6972.686      2.494      0.000      0.000    0.00979   24.92022           -1.08788      175.49593         3.898e-05 
   913.750          75.004     71.895    179.155            7.143         6979.756      2.494      0.000      0.000    0.00959   24.71176           -1.10084      175.51904         3.980e-05 
   914.750          74.866     71.832    179.171            7.064         6986.760      2.494      0.000      0.000    0.00940   24.43254           -1.11514      175.54188         4.063e-05 
   915.750          74.729     71.770    179.186            6.941         6993.664      2.494      0.000      0.000    0.00921   24.00928           -1.13146      175.56438         4.148e-05 
   916.750          74.594     71.710    179.201            6.674         7000.374      2.494      0.000      0.000    0.00902   23.13436           -1.15179      175.58636         4.233e-05 
