Altitude (km),Knudsen
122.0,16.52975
121.999,16.52774
121.993,16.51843
121.98,16.4971
121.967,16.47422
121.954,16.45138
121.941,16.42856
121.928,16.40577
121.915,16.38301
121.902,16.36027
121.889,16.33752
121.876,16.31478
121.864,16.29207
121.851,16.26939
121.838,16.24674
121.825,16.22411
121.812,16.20152
121.799,16.17895
121.786,16.15635
121.773,16.13378
121.76,16.11123
121.747,16.08871
121.734,16.06623
121.721,16.04377
121.708,16.02134
121.695,15.99892
121.682,15.97648
121.669,15.95408
121.657,15.9317
121.644,15.90935
121.631,15.88703
121.618,15.86473
121.605,15.84247
121.592,15.8202
121.579,15.79793
121.566,15.77569
121.553,15.75348
121.54,15.7313
121.527,15.70914
121.514,15.68701
121.501,15.66492
121.488,15.6428
121.475,15.62069
121.462,15.59862
121.45,15.57657
121.437,15.55456
121.424,15.53257
121.411,15.51061
121.398,15.48867
121.385,15.46671
121.372,15.44477
121.359,15.42286
121.346,15.40098
121.333,15.37913
121.32,15.35731
121.307,15.33552
121.294,15.31373
121.281,15.29193
121.268,15.27016
121.255,15.24842
121.242,15.22671
121.23,15.20502
121.217,15.18337
121.204,15.16174
121.191,15.1401
121.178,15.11847
121.165,15.09687
121.152,15.07529
121.139,15.05375
121.126,15.03223
121.113,15.01074
121.1,14.98928
121.087,14.96779
121.074,14.94633
121.061,14.92489
121.048,14.90348
121.035,14.8821
121.022,14.86075
121.01,14.83942
120.997,14.81812
120.984,14.79679
120.971,14.77549
120.958,14.75422
120.945,14.73298
120.932,14.71176
120.919,14.69058
120.906,14.66942
120.893,14.64826
120.88,14.6271
120.867,14.60597
120.854,14.58486
120.841,14.56379
120.828,14.54274
120.815,14.52172
120.803,14.50072
120.79,14.47972
120.777,14.45872
120.764,14.43775
120.751,14.41681
120.738,14.3959
120.725,14.37502
120.712,14.35416
120.699,14.33334
120.686,14.31248
120.673,14.29165
120.66,14.27085
120.647,14.25007
120.634,14.22932
120.621,14.20861
120.609,14.18791
120.596,14.16724
120.583,14.14654
120.57,14.12588
120.557,14.10524
120.544,14.08463
120.531,14.06405
120.518,14.04349
120.505,14.02297
120.492,14.00244
120.479,13.98191
120.466,13.96141
120.453,13.94093
120.44,13.92048
120.427,13.90007
120.415,13.87968
120.402,13.85931
120.389,13.83893
120.376,13.81857
120.363,13.79823
120.35,13.77792
120.337,13.75763
120.324,13.73738
120.311,13.71715
120.298,13.69695
120.285,13.67672
120.272,13.65652
120.259,13.63634
120.246,13.61619
120.233,13.59607
120.221,13.57598
120.208,13.55592
120.195,13.53586
120.182,13.51579
120.169,13.49575
120.156,13.47574
120.143,13.45576
120.13,13.4358
120.117,13.41587
120.104,13.39596
120.091,13.37606
120.078,13.35615
120.065,13.33627
120.052,13.31642
120.04,13.2966
120.027,13.2768
120.014,13.25703
120.001,13.23729
119.988,13.21753
119.975,13.19778
119.962,13.17806
119.949,13.15837
119.936,13.13871
119.923,13.11907
119.91,13.09947
119.897,13.07988
119.884,13.06027
119.871,13.04068
119.859,13.02113
119.846,13.00159
119.833,12.98209
119.82,12.96262
119.807,12.94317
119.794,12.92372
119.781,12.90427
119.768,12.88485
119.755,12.86545
119.742,12.84608
119.729,12.82673
119.716,12.80742
119.703,12.78813
119.691,12.76883
119.678,12.74954
119.665,12.73027
119.652,12.71103
119.639,12.69182
119.626,12.67263
119.613,12.65347
119.6,12.63434
119.587,12.61518
119.574,12.59605
119.561,12.57694
119.548,12.55786
119.535,12.5388
119.523,12.51977
119.51,12.50077
119.497,12.48179
119.484,12.46278
119.471,12.44381
119.458,12.42485
119.445,12.40593
119.432,12.38703
119.419,12.36816
119.406,12.34931
119.393,12.33047
119.38,12.31162
119.367,12.2928
119.354,12.274
119.342,12.25523
119.329,12.23649
119.316,12.21777
119.303,12.19908
119.29,12.18038
119.277,12.16169
119.264,12.14302
119.251,12.12438
119.238,12.10576
119.225,12.08717
119.212,12.06861
119.199,12.05008
119.186,12.03151
119.174,12.01297
119.161,11.99446
119.148,11.97597
119.135,11.95751
119.122,11.93908
119.109,11.92067
119.096,11.90227
119.083,11.88386
119.07,11.86547
119.057,11.84711
119.044,11.82878
119.031,11.81047
119.018,11.79219
119.006,11.77393
118.993,11.75567
118.98,11.73741
118.967,11.71918
118.954,11.70097
118.941,11.68278
118.928,11.66463
118.915,11.6465
118.902,11.62839
118.889,11.61027
118.876,11.59216
118.863,11.57408
118.85,11.55602
118.837,11.53798
118.824,11.51998
118.812,11.50199
118.799,11.48404
118.786,11.46605
118.773,11.44809
118.76,11.43016
118.747,11.41225
118.734,11.39437
118.721,11.37651
118.708,11.35868
118.695,11.34085
118.682,11.32302
118.669,11.30521
118.656,11.28742
118.643,11.26966
118.63,11.25193
118.618,11.23422
118.605,11.21653
118.592,11.19884
118.579,11.18115
118.566,11.16349
118.553,11.14585
118.54,11.12824
118.527,11.11065
118.514,11.09309
118.501,11.07555
118.488,11.05799
118.475,11.04045
118.462,11.02293
118.449,11.00544
118.436,10.98797
118.423,10.97053
118.41,10.95311
118.398,10.93571
118.385,10.91829
118.372,10.90089
118.359,10.88352
118.346,10.86617
118.333,10.84885
118.32,10.83155
118.307,10.81428
118.294,10.79701
118.281,10.77973
118.268,10.76248
118.255,10.74525
118.242,10.72805
118.229,10.71087
118.216,10.69371
118.203,10.67658
118.19,10.65944
118.177,10.64231
118.164,10.6252
118.151,10.60811
118.138,10.59105
118.125,10.57401
118.113,10.557
118.1,10.54001
118.087,10.523
118.074,10.50601
118.061,10.48904
118.048,10.47209
118.035,10.45517
118.022,10.43828
118.009,10.4214
117.996,10.40454
117.983,10.38767
117.97,10.37082
117.957,10.35399
117.944,10.33718
117.931,10.3204
117.918,10.30364
117.905,10.28691
117.892,10.27018
117.879,10.25344
117.866,10.23673
117.853,10.22004
117.84,10.20337
117.827,10.18673
117.814,10.17011
117.801,10.15352
117.788,10.1369
117.775,10.1203
117.762,10.10373
117.749,10.08718
117.736,10.07065
117.723,10.05414
117.71,10.03766
117.697,10.0212
117.684,10.00471
117.671,9.98825
117.658,9.97181
117.645,9.9554
117.632,9.93901
117.619,9.92264
117.606,9.90629
117.593,9.88995
117.58,9.8736
117.567,9.85727
117.554,9.84097
117.541,9.82469
117.528,9.80843
117.515,9.7922
117.502,9.77599
117.489,9.75976
117.476,9.74355
117.463,9.72735
117.45,9.71118
117.437,9.69504
117.424,9.67891
117.411,9.66281
117.398,9.64673
117.385,9.63063
117.372,9.61455
117.359,9.59849
117.346,9.58245
117.333,9.56644
117.32,9.55044
117.307,9.53447
117.294,9.51851
117.281,9.50254
117.268,9.48659
117.255,9.47066
117.242,9.45475
117.229,9.43887
117.215,9.42301
117.202,9.40717
117.189,9.39132
117.176,9.37548
117.163,9.35966
117.15,9.34386
117.137,9.32809
117.124,9.31233
117.111,9.2966
117.098,9.28089
117.085,9.26516
117.072,9.24945
117.059,9.23376
117.046,9.21809
117.033,9.20244
