Temps (s),Altitude (km)
0.0,122.0
0.1,121.999
0.55,121.993
1.55,121.98
2.55,121.967
3.55,121.954
4.55,121.941
5.55,121.928
6.55,121.915
7.55,121.902
8.55,121.889
9.55,121.876
10.55,121.864
11.55,121.851
12.55,121.838
13.55,121.825
14.55,121.812
15.55,121.799
16.55,121.786
17.55,121.773
18.55,121.76
19.55,121.747
20.55,121.734
21.55,121.721
22.55,121.708
23.55,121.695
24.55,121.682
25.55,121.669
26.55,121.657
27.55,121.644
28.55,121.631
29.55,121.618
30.55,121.605
31.55,121.592
32.55,121.579
33.55,121.566
34.55,121.553
35.55,121.54
36.55,121.527
37.55,121.514
38.55,121.501
39.55,121.488
40.55,121.475
41.55,121.462
42.55,121.45
43.55,121.437
44.55,121.424
45.55,121.411
46.55,121.398
47.55,121.385
48.55,121.372
49.55,121.359
50.55,121.346
51.55,121.333
52.55,121.32
53.55,121.307
54.55,121.294
55.55,121.281
56.55,121.268
57.55,121.255
58.55,121.242
59.55,121.23
60.55,121.217
61.55,121.204
62.55,121.191
63.55,121.178
64.55,121.165
65.55,121.152
66.55,121.139
67.55,121.126
68.55,121.113
69.55,121.1
70.55,121.087
71.55,121.074
72.55,121.061
73.55,121.048
74.55,121.035
75.55,121.022
76.55,121.01
77.55,120.997
78.55,120.984
79.55,120.971
80.55,120.958
81.55,120.945
82.55,120.932
83.55,120.919
84.55,120.906
85.55,120.893
86.55,120.88
87.55,120.867
88.55,120.854
89.55,120.841
90.55,120.828
91.55,120.815
92.55,120.803
93.55,120.79
94.55,120.777
95.55,120.764
96.55,120.751
97.55,120.738
98.55,120.725
99.55,120.712
100.55,120.699
101.55,120.686
102.55,120.673
103.55,120.66
104.55,120.647
105.55,120.634
106.55,120.621
107.55,120.609
108.55,120.596
109.55,120.583
110.55,120.57
111.55,120.557
112.55,120.544
113.55,120.531
114.55,120.518
115.55,120.505
116.55,120.492
117.55,120.479
118.55,120.466
119.55,120.453
120.55,120.44
121.55,120.427
122.55,120.415
123.55,120.402
124.55,120.389
125.55,120.376
126.55,120.363
127.55,120.35
128.55,120.337
129.55,120.324
130.55,120.311
131.55,120.298
132.55,120.285
133.55,120.272
134.55,120.259
135.55,120.246
136.55,120.233
137.55,120.221
138.55,120.208
139.55,120.195
140.55,120.182
141.55,120.169
142.55,120.156
143.55,120.143
144.55,120.13
145.55,120.117
146.55,120.104
147.55,120.091
148.55,120.078
149.55,120.065
150.55,120.052
151.55,120.04
152.55,120.027
153.55,120.014
154.55,120.001
155.55,119.988
156.55,119.975
157.55,119.962
158.55,119.949
159.55,119.936
160.55,119.923
161.55,119.91
162.55,119.897
163.55,119.884
164.55,119.871
165.55,119.859
166.55,119.846
167.55,119.833
168.55,119.82
169.55,119.807
170.55,119.794
171.55,119.781
172.55,119.768
173.55,119.755
174.55,119.742
175.55,119.729
176.55,119.716
177.55,119.703
178.55,119.691
179.55,119.678
180.55,119.665
181.55,119.652
182.55,119.639
183.55,119.626
184.55,119.613
185.55,119.6
186.55,119.587
187.55,119.574
188.55,119.561
189.55,119.548
190.55,119.535
191.55,119.523
192.55,119.51
193.55,119.497
194.55,119.484
195.55,119.471
196.55,119.458
197.55,119.445
198.55,119.432
199.55,119.419
200.55,119.406
201.55,119.393
202.55,119.38
203.55,119.367
204.55,119.354
205.55,119.342
206.55,119.329
207.55,119.316
208.55,119.303
209.55,119.29
210.55,119.277
211.55,119.264
212.55,119.251
213.55,119.238
214.55,119.225
215.55,119.212
216.55,119.199
217.55,119.186
218.55,119.174
219.55,119.161
220.55,119.148
221.55,119.135
222.55,119.122
223.55,119.109
224.55,119.096
225.55,119.083
226.55,119.07
227.55,119.057
228.55,119.044
229.55,119.031
230.55,119.018
231.55,119.006
232.55,118.993
233.55,118.98
234.55,118.967
235.55,118.954
236.55,118.941
237.55,118.928
238.55,118.915
239.55,118.902
240.55,118.889
241.55,118.876
242.55,118.863
243.55,118.85
244.55,118.837
245.55,118.824
246.55,118.812
247.55,118.799
248.55,118.786
249.55,118.773
250.55,118.76
251.55,118.747
252.55,118.734
253.55,118.721
254.55,118.708
255.55,118.695
256.55,118.682
257.55,118.669
258.55,118.656
259.55,118.643
260.55,118.63
261.55,118.618
262.55,118.605
263.55,118.592
264.55,118.579
265.55,118.566
266.55,118.553
267.55,118.54
268.55,118.527
269.55,118.514
270.55,118.501
271.55,118.488
272.55,118.475
273.55,118.462
274.55,118.449
275.55,118.436
276.55,118.423
277.55,118.41
278.55,118.398
279.55,118.385
280.55,118.372
281.55,118.359
282.55,118.346
283.55,118.333
284.55,118.32
285.55,118.307
286.55,118.294
287.55,118.281
288.55,118.268
289.55,118.255
290.55,118.242
291.55,118.229
292.55,118.216
293.55,118.203
