# Material: drama-A316
# Columns: SatelliteMass [kg]	Altitude [km]	NormalizedLossRate [1/km]
67	27.39	0.000000e+00
67	28.11	0.000000e+00
67	28.83	0.000000e+00
67	29.55	0.000000e+00
67	30.27	0.000000e+00
67	30.99	0.000000e+00
67	31.71	0.000000e+00
67	32.43	0.000000e+00
67	33.15	0.000000e+00
67	33.87	0.000000e+00
67	34.59	0.000000e+00
67	35.31	0.000000e+00
67	36.03	0.000000e+00
67	36.75	0.000000e+00
67	37.47	0.000000e+00
67	38.19	0.000000e+00
67	38.91	0.000000e+00
67	39.63	0.000000e+00
67	40.35	0.000000e+00
67	41.07	0.000000e+00
67	41.78	0.000000e+00
67	42.50	0.000000e+00
67	43.22	0.000000e+00
67	43.94	0.000000e+00
67	44.66	0.000000e+00
67	45.38	0.000000e+00
67	46.10	0.000000e+00
67	46.82	0.000000e+00
67	47.54	0.000000e+00
67	48.26	0.000000e+00
67	48.98	0.000000e+00
67	49.70	0.000000e+00
67	50.42	0.000000e+00
67	51.14	0.000000e+00
67	51.86	0.000000e+00
67	52.58	0.000000e+00
67	53.30	0.000000e+00
67	54.02	0.000000e+00
67	54.74	0.000000e+00
67	55.46	0.000000e+00
67	56.18	0.000000e+00
67	56.90	0.000000e+00
67	57.62	0.000000e+00
67	58.34	0.000000e+00
67	59.06	0.000000e+00
67	59.78	0.000000e+00
67	60.50	0.000000e+00
67	61.22	0.000000e+00
67	61.94	0.000000e+00
67	62.66	0.000000e+00
67	63.38	0.000000e+00
67	64.10	0.000000e+00
67	64.82	0.000000e+00
67	65.54	0.000000e+00
67	66.26	0.000000e+00
67	66.98	0.000000e+00
67	67.70	0.000000e+00
67	68.42	0.000000e+00
67	69.14	0.000000e+00
67	69.86	0.000000e+00
67	70.58	0.000000e+00
67	71.29	2.071732e-03
67	72.01	5.149476e-03
67	72.73	5.889962e-03
67	73.45	6.167706e-03
67	74.17	5.486253e-03
67	74.89	3.907614e-03
67	75.61	1.003377e-05
