# Material: Unknown
# Columns: SatelliteMass [kg]	Altitude [km]	NormalizedLossRate [1/km]
67	97.69	4.380920e-04
67	97.69	4.380920e-04
67	97.69	4.380920e-04
67	97.69	4.380920e-04
67	97.70	4.380920e-04
67	97.70	4.380920e-04
67	97.70	4.380920e-04
67	97.70	4.380920e-04
67	97.71	4.380920e-04
67	97.71	4.380920e-04
67	97.71	4.380920e-04
67	97.71	4.380920e-04
67	97.72	4.380920e-04
67	97.72	4.380920e-04
67	97.72	4.380920e-04
67	97.72	4.380920e-04
67	97.73	4.380920e-04
67	97.73	4.380920e-04
67	97.73	4.380920e-04
67	97.73	4.380920e-04
67	97.74	4.380920e-04
67	97.74	4.380920e-04
67	97.74	4.380920e-04
67	97.74	4.380920e-04
67	97.75	4.380920e-04
67	97.75	4.380920e-04
67	97.75	4.380920e-04
67	97.75	1.035490e-03
67	97.75	3.723782e-03
67	97.76	3.723782e-03
67	97.76	3.723782e-03
67	97.76	3.723782e-03
67	97.76	3.723782e-03
67	97.77	3.723782e-03
67	97.77	3.723782e-03
67	97.77	3.723782e-03
67	97.77	3.723782e-03
67	97.78	3.723782e-03
67	97.78	3.723782e-03
67	97.78	3.723782e-03
67	97.78	3.723782e-03
67	97.79	3.723782e-03
67	97.79	3.723782e-03
67	97.79	3.723782e-03
67	97.79	3.723782e-03
67	97.80	3.723782e-03
67	97.80	3.723782e-03
67	97.80	3.723782e-03
67	97.80	3.723782e-03
67	97.81	3.723782e-03
67	97.81	3.723782e-03
67	97.81	3.723782e-03
67	97.81	3.723782e-03
67	97.82	3.723782e-03
67	97.82	3.723782e-03
67	97.82	3.803435e-03
67	97.82	3.942828e-03
67	97.83	3.942828e-03
67	97.83	3.942828e-03
67	97.83	3.942828e-03
67	97.83	3.942828e-03
67	97.84	3.942828e-03
67	97.84	3.942828e-03
67	97.84	3.942828e-03
67	97.84	3.942828e-03
67	97.85	3.942828e-03
67	97.85	3.942828e-03
67	97.85	3.942828e-03
67	97.85	3.942828e-03
67	97.86	3.942828e-03
67	97.86	3.942828e-03
67	97.86	3.942828e-03
67	97.86	3.942828e-03
67	97.86	3.942828e-03
67	97.87	3.942828e-03
67	97.87	3.942828e-03
67	97.87	3.942828e-03
67	97.87	3.942828e-03
67	97.88	3.942828e-03
67	97.88	3.942828e-03
67	97.88	3.942828e-03
67	97.88	3.942828e-03
67	97.89	3.942828e-03
67	97.89	3.626785e-03
67	97.89	3.363416e-03
67	97.89	3.363416e-03
67	97.90	3.363416e-03
67	97.90	3.363416e-03
67	97.90	3.363416e-03
67	97.90	3.363416e-03
67	97.91	3.363416e-03
67	97.91	3.363416e-03
67	97.91	3.363416e-03
67	97.91	3.363416e-03
67	97.92	3.363416e-03
67	97.92	3.363416e-03
67	97.92	4.134068e-03
67	97.92	4.255750e-03
67	97.93	4.255750e-03
1292	90.09	1.342466e-03
1292	90.18	1.345163e-03
1292	90.28	1.325477e-03
1292	90.38	1.308217e-03
1292	90.48	1.306940e-03
1292	90.58	1.288909e-03
1292	90.68	1.290418e-03
1292	90.78	1.271347e-03
1292	90.88	1.272307e-03
1292	90.98	1.242876e-03
1292	91.08	1.250477e-03
1292	91.17	1.238466e-03
1292	91.27	1.218635e-03
1292	91.37	1.210159e-03
1292	91.47	1.203395e-03
1292	91.57	1.196570e-03
1292	91.67	1.178226e-03
1292	91.77	1.168415e-03
1292	91.87	1.159528e-03
1292	91.97	1.159243e-03
1292	92.06	1.129475e-03
1292	92.16	1.132700e-03
1292	92.26	1.115611e-03
1292	92.36	1.111700e-03
1292	92.46	1.101655e-03
1292	92.56	1.076750e-03
1292	92.66	1.079702e-03
1292	92.76	1.076157e-03
1292	92.86	4.459312e-04
1292	92.96	0.000000e+00
1292	93.06	0.000000e+00
1292	93.15	0.000000e+00
1292	93.25	0.000000e+00
1292	93.35	0.000000e+00
1292	93.45	0.000000e+00
1292	93.55	0.000000e+00
1292	93.65	0.000000e+00
1292	93.75	0.000000e+00
1292	93.85	0.000000e+00
1292	93.95	0.000000e+00
1292	94.05	0.000000e+00
1292	94.14	0.000000e+00
1292	94.24	0.000000e+00
1292	94.34	0.000000e+00
1292	94.44	0.000000e+00
1292	94.54	0.000000e+00
1292	94.64	0.000000e+00
