# Material: drama-El-Mat
# Columns: SatelliteMass [kg]	Altitude [km]	NormalizedLossRate [1/km]
67	83.20	7.390717e-03
67	83.25	1.227338e-02
67	83.29	2.240900e-02
67	83.33	8.534480e-02
67	83.38	9.141310e-02
67	83.42	7.920631e-02
67	83.47	3.068453e-02
67	83.51	2.657521e-02
67	83.55	2.161960e-02
67	83.60	3.010165e-02
67	83.64	3.775939e-02
67	83.68	4.310864e-02
67	83.73	3.275279e-02
67	83.77	3.956727e-02
67	83.81	4.852907e-02
67	83.86	4.656425e-02
67	83.90	2.429264e-02
67	83.95	4.410230e-03
67	83.99	5.610498e-05
67	84.03	3.685112e-03
67	84.08	4.818430e-03
67	84.12	5.436322e-03
67	84.16	3.387420e-03
67	84.21	3.052280e-03
67	84.25	2.149314e-03
67	84.29	0.000000e+00
67	84.34	9.873664e-05
67	84.38	4.967930e-03
67	84.43	1.132328e-02
67	84.47	1.091705e-02
67	84.51	1.362772e-02
67	84.56	1.806181e-02
67	84.60	1.806181e-02
67	84.64	1.801139e-02
67	84.69	1.796872e-02
67	84.73	1.796872e-02
67	84.77	9.955840e-03
67	84.82	7.113898e-03
67	84.86	7.878443e-03
67	84.91	3.435629e-03
67	84.95	5.047504e-03
67	84.99	6.740860e-03
67	85.04	6.740860e-03
67	85.08	1.683176e-02
67	85.12	1.435151e-02
67	85.17	1.435151e-02
67	85.21	4.901360e-03
67	85.25	2.190460e-03
67	85.30	2.190460e-03
67	85.34	9.155819e-03
67	85.39	2.265091e-02
67	85.43	2.265091e-02
67	85.47	3.604569e-02
67	85.52	5.304665e-02
67	85.56	5.440090e-02
67	85.60	5.331886e-02
67	85.65	5.472344e-02
67	85.69	6.103833e-02
67	85.73	6.715804e-02
67	85.78	5.577206e-02
67	85.82	5.425241e-02
67	85.87	3.535601e-02
67	85.91	3.521211e-02
67	85.95	2.520916e-02
67	86.00	1.628066e-02
67	86.04	2.866881e-02
67	86.08	3.323706e-02
67	86.13	3.323706e-02
67	86.17	1.384775e-02
67	86.21	1.304862e-02
67	86.26	1.060201e-02
67	86.30	0.000000e+00
67	86.35	0.000000e+00
67	86.39	0.000000e+00
67	86.43	0.000000e+00
67	86.48	0.000000e+00
67	86.52	0.000000e+00
67	86.56	0.000000e+00
67	86.61	0.000000e+00
67	86.65	0.000000e+00
67	86.69	0.000000e+00
67	86.74	0.000000e+00
67	86.78	0.000000e+00
67	86.83	0.000000e+00
67	86.87	0.000000e+00
67	86.91	0.000000e+00
67	86.96	0.000000e+00
67	87.00	0.000000e+00
67	87.04	0.000000e+00
67	87.09	0.000000e+00
67	87.13	0.000000e+00
67	87.17	0.000000e+00
67	87.22	0.000000e+00
67	87.26	0.000000e+00
67	87.31	0.000000e+00
67	87.35	0.000000e+00
67	87.39	0.000000e+00
67	87.44	0.000000e+00
67	87.48	0.000000e+00
525	74.12	2.373855e-03
525	74.23	1.152159e-02
525	74.34	1.375862e-02
525	74.45	1.181084e-02
525	74.57	3.375734e-02
525	74.68	3.763869e-02
525	74.79	1.871779e-02
525	74.90	4.961814e-03
525	75.02	1.753081e-02
525	75.13	3.393363e-02
525	75.24	2.534893e-02
525	75.36	6.887591e-03
525	75.47	4.412582e-03
525	75.58	1.578159e-02
525	75.69	2.390331e-03
525	75.81	3.692946e-03
525	75.92	3.034519e-03
525	76.03	1.025623e-03
525	76.14	1.233008e-04
525	76.26	3.640309e-03
525	76.37	3.123364e-03
525	76.48	9.838208e-03
525	76.60	1.103420e-02
525	76.71	3.386807e-03
525	76.82	6.977616e-05
525	76.93	0.000000e+00
525	77.05	1.256704e-03
525	77.16	2.635543e-04
525	77.27	0.000000e+00
525	77.38	0.000000e+00
525	77.50	0.000000e+00
525	77.61	0.000000e+00
525	77.72	0.000000e+00
525	77.84	0.000000e+00
525	77.95	0.000000e+00
525	78.06	0.000000e+00
525	78.17	0.000000e+00
525	78.29	0.000000e+00
525	78.40	0.000000e+00
525	78.51	0.000000e+00
525	78.62	0.000000e+00
525	78.74	0.000000e+00
525	78.85	0.000000e+00
525	78.96	0.000000e+00
525	79.08	0.000000e+00
525	79.19	0.000000e+00
525	79.30	0.000000e+00
525	79.41	0.000000e+00
525	79.53	0.000000e+00
525	79.64	0.000000e+00
525	79.75	0.000000e+00
525	79.86	0.000000e+00
525	79.98	0.000000e+00
525	80.09	0.000000e+00
525	80.20	0.000000e+00
525	80.32	0.000000e+00
525	80.43	0.000000e+00
525	80.54	0.000000e+00
525	80.65	2.365922e-03
525	80.77	1.069658e-02
525	80.88	1.376124e-02
525	80.99	2.249988e-02
525	81.10	4.138179e-02
525	81.22	4.958905e-02
525	81.33	4.738919e-02
525	81.44	3.174438e-02
525	81.56	1.588625e-02
525	81.67	7.332852e-03
525	81.78	7.645262e-03
525	81.89	1.692484e-02
525	82.01	1.333568e-02
525	82.12	4.681280e-03
525	82.23	0.000000e+00
525	82.34	1.207235e-03
525	82.46	1.106587e-02
525	82.57	2.672235e-02
525	82.68	2.288644e-02
525	82.80	4.874327e-03
525	82.91	1.654346e-03
525	83.02	7.554313e-03
525	83.13	1.073056e-02
525	83.25	5.932189e-03
525	83.36	1.020273e-03
525	83.47	0.000000e+00
525	83.58	0.000000e+00
525	83.70	0.000000e+00
525	83.81	0.000000e+00
525	83.92	0.000000e+00
525	84.04	1.061507e-02
525	84.15	1.016233e-02
525	84.26	1.384589e-03
525	84.37	1.138070e-03
525	84.49	6.186727e-04
525	84.60	0.000000e+00
525	84.71	0.000000e+00
525	84.82	0.000000e+00
525	84.94	0.000000e+00
525	85.05	0.000000e+00
525	85.16	0.000000e+00
1292	64.04	4.053839e-03
1292	64.23	8.629129e-03
1292	64.41	7.270797e-03
1292	64.60	5.569606e-03
1292	64.78	2.332108e-02
1292	64.96	2.196991e-02
1292	65.15	8.681162e-03
1292	65.33	3.567440e-03
1292	65.52	4.096808e-04
1292	65.70	1.028674e-02
1292	65.89	2.360936e-02
1292	66.07	1.559989e-02
1292	66.26	8.808303e-03
1292	66.44	7.956380e-03
1292	66.63	0.000000e+00
1292	66.81	0.000000e+00
1292	67.00	3.041378e-03
1292	67.18	1.466261e-03
1292	67.37	3.212062e-04
1292	67.55	2.779214e-03
1292	67.73	1.721706e-03
1292	67.92	3.730952e-04
1292	68.10	4.915940e-03
1292	68.29	7.947984e-03
1292	68.47	1.313223e-03
1292	68.66	7.669121e-04
1292	68.84	1.765474e-04
1292	69.03	0.000000e+00
1292	69.21	0.000000e+00
1292	69.40	0.000000e+00
1292	69.58	0.000000e+00
1292	69.77	0.000000e+00
1292	69.95	0.000000e+00
1292	70.13	0.000000e+00
1292	70.32	0.000000e+00
1292	70.50	0.000000e+00
1292	70.69	0.000000e+00
1292	70.87	0.000000e+00
1292	71.06	0.000000e+00
1292	71.24	0.000000e+00
1292	71.43	0.000000e+00
1292	71.61	0.000000e+00
1292	71.80	0.000000e+00
1292	71.98	0.000000e+00
1292	72.17	0.000000e+00
1292	72.35	0.000000e+00
1292	72.54	0.000000e+00
1292	72.72	0.000000e+00
1292	72.90	0.000000e+00
1292	73.09	0.000000e+00
1292	73.27	0.000000e+00
1292	73.46	0.000000e+00
1292	73.64	0.000000e+00
1292	73.83	0.000000e+00
1292	74.01	0.000000e+00
1292	74.20	0.000000e+00
1292	74.38	0.000000e+00
1292	74.57	0.000000e+00
1292	74.75	0.000000e+00
1292	74.94	0.000000e+00
1292	75.12	0.000000e+00
1292	75.31	1.442827e-02
1292	75.49	3.756382e-02
1292	75.67	3.773643e-02
1292	75.86	2.630731e-02
1292	76.04	2.073081e-02
1292	76.23	1.124911e-02
1292	76.41	2.434579e-03
1292	76.60	1.787181e-03
1292	76.78	1.013645e-02
1292	76.97	1.124405e-02
1292	77.15	3.395948e-03
1292	77.34	0.000000e+00
1292	77.52	0.000000e+00
1292	77.71	7.249446e-04
1292	77.89	7.475128e-03
1292	78.07	1.819369e-02
1292	78.26	1.332775e-02
1292	78.44	2.449911e-03
1292	78.63	6.394351e-03
1292	78.81	3.659950e-03
1292	79.00	0.000000e+00
1292	79.18	3.166838e-03
1292	79.37	2.637651e-03
1292	79.55	8.689108e-05
1292	79.74	0.000000e+00
1292	79.92	0.000000e+00
1292	80.11	0.000000e+00
1292	80.29	0.000000e+00
1292	80.48	0.000000e+00
1292	80.66	1.086721e-03
1292	80.84	8.816878e-03
1292	81.03	4.853052e-03
1292	81.21	8.711162e-05
1292	81.40	0.000000e+00
1292	81.58	0.000000e+00
1292	81.77	0.000000e+00
1292	81.95	0.000000e+00
1292	82.14	0.000000e+00
2583	0.81	0.000000e+00
2583	1.62	0.000000e+00
2583	2.44	0.000000e+00
2583	3.25	0.000000e+00
2583	4.06	0.000000e+00
2583	4.87	0.000000e+00
2583	5.68	0.000000e+00
2583	6.49	0.000000e+00
2583	7.31	0.000000e+00
2583	8.12	0.000000e+00
2583	8.93	0.000000e+00
2583	9.74	0.000000e+00
2583	10.55	0.000000e+00
2583	11.36	0.000000e+00
2583	12.18	0.000000e+00
2583	12.99	0.000000e+00
2583	13.80	0.000000e+00
2583	14.61	0.000000e+00
2583	15.42	0.000000e+00
2583	16.23	0.000000e+00
2583	17.05	0.000000e+00
2583	17.86	0.000000e+00
2583	18.67	0.000000e+00
2583	19.48	0.000000e+00
2583	20.29	0.000000e+00
2583	21.10	0.000000e+00
2583	21.92	0.000000e+00
2583	22.73	0.000000e+00
2583	23.54	0.000000e+00
2583	24.35	0.000000e+00
2583	25.16	0.000000e+00
2583	25.97	0.000000e+00
2583	26.79	0.000000e+00
2583	27.60	0.000000e+00
2583	28.41	0.000000e+00
2583	29.22	0.000000e+00
2583	30.03	0.000000e+00
2583	30.84	0.000000e+00
2583	31.66	0.000000e+00
2583	32.47	0.000000e+00
2583	33.28	0.000000e+00
2583	34.09	0.000000e+00
2583	34.90	0.000000e+00
2583	35.72	0.000000e+00
2583	36.53	0.000000e+00
2583	37.34	0.000000e+00
2583	38.15	0.000000e+00
2583	38.96	0.000000e+00
2583	39.77	0.000000e+00
2583	40.59	0.000000e+00
2583	41.40	0.000000e+00
2583	42.21	0.000000e+00
2583	43.02	0.000000e+00
2583	43.83	0.000000e+00
2583	44.64	0.000000e+00
2583	45.46	0.000000e+00
2583	46.27	0.000000e+00
2583	47.08	0.000000e+00
2583	47.89	0.000000e+00
2583	48.70	0.000000e+00
2583	49.51	0.000000e+00
2583	50.33	1.489621e-05
2583	51.14	5.102571e-05
2583	51.95	1.009868e-04
2583	52.76	4.577299e-04
2583	53.57	3.082665e-03
2583	54.38	5.700698e-03
2583	55.20	5.535129e-03
2583	56.01	2.684446e-03
2583	56.82	2.203944e-03
2583	57.63	2.699221e-03
2583	58.44	8.780067e-03
2583	59.25	9.074203e-04
2583	60.07	5.868558e-04
2583	60.88	6.129938e-04
2583	61.69	3.118662e-03
2583	62.50	2.531919e-04
2583	63.31	0.000000e+00
2583	64.12	0.000000e+00
2583	64.94	0.000000e+00
2583	65.75	0.000000e+00
2583	66.56	0.000000e+00
2583	67.37	0.000000e+00
2583	68.18	0.000000e+00
2583	69.00	0.000000e+00
2583	69.81	0.000000e+00
2583	70.62	0.000000e+00
2583	71.43	2.119496e-03
2583	72.24	1.684540e-02
2583	73.05	1.525918e-02
2583	73.87	6.042630e-03
2583	74.68	1.800511e-04
2583	75.49	9.356838e-03
2583	76.30	2.343293e-03
2583	77.11	1.340157e-03
2583	77.92	0.000000e+00
2583	78.74	2.480006e-04
2583	79.55	3.128623e-03
2583	80.36	0.000000e+00
