# Material: drama-HC-AA7075
# Columns: SatelliteMass [kg]	Altitude [km]	NormalizedLossRate [1/km]
67	81.68	1.561232e-02
67	82.12	1.951907e-02
67	82.57	2.050647e-02
67	83.01	2.101157e-02
67	83.45	2.127730e-02
67	83.89	2.138480e-02
67	84.33	2.141331e-02
67	84.78	1.604537e-02
67	85.22	0.000000e+00
67	85.66	0.000000e+00
67	86.10	0.000000e+00
67	86.54	8.701601e-03
67	86.98	1.704114e-02
67	87.43	2.240224e-02
67	87.87	2.129684e-02
67	88.31	3.231079e-02
67	88.75	2.361778e-02
67	89.19	8.827068e-03
67	89.64	2.679696e-02
67	90.08	3.572623e-02
67	90.52	3.456915e-02
67	90.96	3.336298e-02
67	91.40	2.726291e-02
67	91.84	2.322337e-02
67	92.29	2.217370e-02
67	92.73	2.114817e-02
67	93.17	2.010046e-02
67	93.61	1.903107e-02
67	94.05	1.802007e-02
67	94.50	1.698767e-02
67	94.94	1.629548e-02
67	95.38	1.872740e-02
67	95.82	1.841055e-02
67	96.26	1.733026e-02
67	96.70	9.089226e-03
67	97.15	0.000000e+00
67	97.59	0.000000e+00
67	98.03	0.000000e+00
67	98.47	0.000000e+00
67	98.91	6.016556e-03
67	99.36	1.146689e-02
67	99.80	1.058773e-02
67	100.24	9.719145e-03
67	100.68	8.834418e-03
67	101.12	7.972736e-03
67	101.56	7.115725e-03
67	102.01	6.195455e-03
67	102.45	5.253329e-03
67	102.89	1.986564e-03
67	103.33	0.000000e+00
67	103.77	0.000000e+00
67	104.22	0.000000e+00
67	104.66	0.000000e+00
67	105.10	0.000000e+00
67	105.54	0.000000e+00
67	105.98	0.000000e+00
67	106.42	0.000000e+00
67	106.87	0.000000e+00
67	107.31	0.000000e+00
67	107.75	0.000000e+00
67	108.19	0.000000e+00
67	108.63	0.000000e+00
67	109.07	0.000000e+00
67	109.52	0.000000e+00
67	109.96	0.000000e+00
67	110.40	0.000000e+00
67	110.84	0.000000e+00
67	111.28	0.000000e+00
67	111.73	0.000000e+00
67	112.17	0.000000e+00
67	112.61	0.000000e+00
67	113.05	0.000000e+00
67	113.49	0.000000e+00
67	113.93	0.000000e+00
67	114.38	0.000000e+00
67	114.82	0.000000e+00
67	115.26	0.000000e+00
67	115.70	0.000000e+00
67	116.14	0.000000e+00
67	116.59	0.000000e+00
67	117.03	0.000000e+00
