# object name: IFring
-3.141593 -1.570796 1.000000
-2.879793 -1.570796 1.000000
-2.617994 -1.570796 1.000000
-2.356194 -1.570796 1.000000
-2.094395 -1.570796 1.000000
-1.832596 -1.570796 1.000000
-1.570796 -1.570796 1.000000
-1.308997 -1.570796 1.000000
-1.047198 -1.570796 1.000000
-0.785398 -1.570796 1.000000
-0.523599 -1.570796 1.000000
-0.261799 -1.570796 1.000000
0.000000 -1.570796 1.000000
0.261799 -1.570796 1.000000
0.523599 -1.570796 1.000000
0.785398 -1.570796 1.000000
1.047198 -1.570796 1.000000
1.308997 -1.570796 1.000000
1.570796 -1.570796 1.000000
1.832596 -1.570796 1.000000
2.094395 -1.570796 1.000000
2.356194 -1.570796 1.000000
2.617994 -1.570796 1.000000
2.879793 -1.570796 1.000000
3.141593 -1.570796 1.000000

-3.141593 -1.308997 0.269663
-2.879793 -1.308997 0.282609
-2.617994 -1.308997 0.287356
-2.356194 -1.308997 0.349398
-2.094395 -1.308997 0.448718
-1.832596 -1.308997 0.579710
-1.570796 -1.308997 1.000000
-1.308997 -1.308997 0.797101
-1.047198 -1.308997 0.833333
-0.785398 -1.308997 0.843373
-0.523599 -1.308997 0.839080
-0.261799 -1.308997 0.880435
0.000000 -1.308997 0.910112
0.261799 -1.308997 0.880435
0.523599 -1.308997 0.839080
0.785398 -1.308997 0.843373
1.047198 -1.308997 0.833333
1.308997 -1.308997 0.797101
1.570796 -1.308997 1.000000
1.832596 -1.308997 0.579710
2.094395 -1.308997 0.448718
2.356194 -1.308997 0.349398
2.617994 -1.308997 0.287356
2.879793 -1.308997 0.282609
3.141593 -1.308997 0.269663

-3.141593 -1.047198 0.073770
-2.879793 -1.047198 0.042735
-2.617994 -1.047198 0.081818
-2.356194 -1.047198 0.148515
-2.094395 -1.047198 0.250000
-1.832596 -1.047198 0.441558
-1.570796 -1.047198 1.000000
-1.308997 -1.047198 0.818182
-1.047198 -1.047198 0.875000
-0.785398 -1.047198 0.811881
-0.523599 -1.047198 0.709091
-0.261799 -1.047198 0.666667
0.000000 -1.047198 0.663934
0.261799 -1.047198 0.666667
0.523599 -1.047198 0.709091
0.785398 -1.047198 0.811881
1.047198 -1.047198 0.875000
1.308997 -1.047198 0.818182
1.570796 -1.047198 1.000000
1.832596 -1.047198 0.441558
2.094395 -1.047198 0.250000
2.356194 -1.047198 0.148515
2.617994 -1.047198 0.081818
2.879793 -1.047198 0.042735
3.141593 -1.047198 0.073770

-3.141593 -0.785398 0.000000
-2.879793 -0.785398 0.000000
-2.617994 -0.785398 0.000000
-2.356194 -0.785398 0.016949
-2.094395 -0.785398 0.093458
-1.832596 -0.785398 0.349398
-1.570796 -0.785398 1.000000
-1.308997 -0.785398 0.891566
-1.047198 -0.785398 0.775701
-0.785398 -0.785398 0.644068
-0.523599 -0.785398 0.511811
-0.261799 -0.785398 0.446043
0.000000 -0.785398 0.441860
0.261799 -0.785398 0.446043
0.523599 -0.785398 0.511811
0.785398 -0.785398 0.644068
1.047198 -0.785398 0.775701
1.308997 -0.785398 0.891566
1.570796 -0.785398 1.000000
1.832596 -0.785398 0.349398
2.094395 -0.785398 0.093458
2.356194 -0.785398 0.016949
2.617994 -0.785398 0.000000
2.879793 -0.785398 0.000000
3.141593 -0.785398 0.000000

-3.141593 -0.523599 0.000000
