#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ADCS-TXU.42ac1896-26e7-4c09-a918-9352b410a3d4_Trajectory.txt
# RunID         : sara
# ObjectID      : 42ac1896-26e7-4c09-a918-9352b410a3d4
# ObjectName    : ADCS-TXU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   903.200          76.419     72.580    178.974            7.546         6903.219      2.440      0.000      0.000    0.00816   26.24982           -1.00219      175.26341         3.219e-05 
   903.300          76.406     72.573    178.976            7.544         6903.962      2.440      0.000      0.000    0.00815   26.24478           -1.00278      175.26596         3.224e-05 
   903.750          76.347     72.544    178.984            7.539         6907.307      2.440      0.000      0.000    0.00808   26.22130           -1.00544      175.27741         3.251e-05 
   904.750          76.214     72.477    179.002            7.527         6914.732      2.440      0.000      0.000    0.00793   26.16703           -1.01151      175.30269         3.313e-05 
   905.750          76.081     72.411    179.020            7.515         6922.145      2.440      0.000      0.000    0.00777   26.10806           -1.01781      175.32779         3.381e-05 
   906.750          75.947     72.344    179.038            7.502         6929.546      2.440      0.000      0.000    0.00761   26.04836           -1.02434      175.35269         3.450e-05 
   907.750          75.813     72.278    179.056            7.490         6936.935      2.440      0.000      0.000    0.00746   25.98792           -1.03111      175.37741         3.521e-05 
   908.750          75.677     72.212    179.073            7.477         6944.312      2.440      0.000      0.000    0.00731   25.92672           -1.03811      175.40194         3.594e-05 
   909.750          75.542     72.146    179.091            7.464         6951.676      2.440      0.000      0.000    0.00716   25.86475           -1.04537      175.42628         3.669e-05 
   910.750          75.405     72.080    179.108            7.450         6959.027      2.440      0.000      0.000    0.00701   25.80198           -1.05287      175.45044         3.745e-05 
   911.750          75.268     72.015    179.125            7.437         6966.364      2.440      0.000      0.000    0.00687   25.73842           -1.06062      175.47443         3.824e-05 
   912.750          75.130     71.949    179.141            7.423         6973.689      2.440      0.000      0.000    0.00673   25.67403           -1.06864      175.49823         3.905e-05 
   913.750          74.991     71.884    179.158            7.409         6981.000      2.440      0.000      0.000    0.00659   25.60881           -1.07691      175.52186         3.987e-05 
   914.750          74.851     71.818    179.174            7.394         6988.297      2.440      0.000      0.000    0.00645   25.54274           -1.08546      175.54531         4.072e-05 
   915.750          74.711     71.753    179.190            7.380         6995.580      2.440      0.000      0.000    0.00632   25.47579           -1.09428      175.56859         4.159e-05 
   916.750          74.569     71.688    179.206            7.365         7002.849      2.440      0.000      0.000    0.00618   25.40796           -1.10339      175.59170         4.248e-05 
   917.750          74.427     71.623    179.222            7.350         7010.103      2.440      0.000      0.000    0.00605   25.33923           -1.11277      175.61464         4.340e-05 
   918.750          74.284     71.558    179.238            7.335         7017.343      2.440      0.000      0.000    0.00592   25.26958           -1.12245      175.63741         4.434e-05 
   919.750          74.140     71.493    179.254            7.319         7024.567      2.440      0.000      0.000    0.00580   25.19900           -1.13243      175.66002         4.530e-05 
   920.750          73.995     71.429    179.269            7.303         7031.776      2.440      0.000      0.000    0.00567   25.12746           -1.14271      175.68247         4.630e-05 
   921.750          73.848     71.364    179.284            7.287         7038.969      2.440      0.000      0.000    0.00555   25.05495           -1.15329      175.70475         4.732e-05 
   922.750          73.701     71.300    179.299            7.270         7046.147      2.440      0.000      0.000    0.00543   24.98145           -1.16419      175.72687         4.837e-05 
   923.750          73.553     71.236    179.314            7.253         7053.308      2.440      0.000      0.000    0.00531   24.90550           -1.17542      175.74884         4.945e-05 
   924.750          73.404     71.172    179.329            7.235         7060.452      2.440      0.000      0.000    0.00520   24.82483           -1.18700      175.77064         5.055e-05 
