#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EAIM.4cc46603-5b27-46f7-8342-2ca543cd9976_Trajectory.txt
# RunID         : sara
# ObjectID      : 4cc46603-5b27-46f7-8342-2ca543cd9976
# ObjectName    : EAIM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      1.308      0.000      0.000    0.05035   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      1.308      0.000      0.000    0.05028   28.37749           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.782         5889.307      1.306      0.000      0.000    0.04996   28.37653           -0.64225      168.58008         3.162e-06 
   770.650          90.342     81.542    173.342            7.781         5896.955      1.301      0.000      0.000    0.04925   28.37435           -0.64368      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.780         5904.603      1.296      0.000      0.000    0.04849   28.37189           -0.64512      168.77796         3.259e-06 
   772.650          90.167     81.407    173.522            7.779         5912.250      1.292      0.000      0.000    0.04775   28.36925           -0.64658      168.87465         3.310e-06 
   773.650          90.079     81.339    173.610            7.778         5919.896      1.287      0.000      0.000    0.04701   28.36663           -0.64806      168.96988         3.362e-06 
   774.650          89.991     81.272    173.697            7.777         5927.541      1.282      0.000      0.000    0.04628   28.36394           -0.64956      169.06369         3.415e-06 
   775.650          89.903     81.205    173.782            7.776         5935.185      1.277      0.000      0.000    0.04556   28.36117           -0.65108      169.15611         3.469e-06 
   776.650          89.815     81.137    173.866            7.775         5942.828      1.273      0.000      0.000    0.04486   28.35833           -0.65262      169.24717         3.524e-06 
