#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EDR-internal.8468837b-aeb0-4b68-bb12-fb2c1a45eb52_Trajectory.txt
# RunID         : sara
# ObjectID      : 8468837b-aeb0-4b68-bb12-fb2c1a45eb52
# ObjectName    : EDR-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   853.650          82.069     75.964    177.768            7.508         6524.839      1.722      0.000      0.000    0.02300   26.85015           -0.90119      173.70659         1.327e-05 
   853.750          82.057     75.957    177.771            7.507         6525.578      1.722      0.000      0.000    0.02297   26.84523           -0.90184      173.71031         1.329e-05 
   854.200          82.004     75.927    177.785            7.502         6528.902      1.721      0.000      0.000    0.02279   26.82235           -0.90479      173.72700         1.340e-05 
   855.200          81.885     75.861    177.814            7.491         6536.283      1.718      0.000      0.000    0.02239   26.76955           -0.91149      173.76384         1.364e-05 
   856.200          81.765     75.796    177.843            7.479         6543.652      1.715      0.000      0.000    0.02196   26.71219           -0.91841      173.80032         1.390e-05 
   857.200          81.645     75.730    177.872            7.467         6551.009      1.712      0.000      0.000    0.02154   26.65425           -0.92554      173.83645         1.417e-05 
   858.200          81.524     75.664    177.901            7.455         6558.356      1.710      0.000      0.000    0.02113   26.59566           -0.93290      173.87225         1.445e-05 
   859.200          81.402     75.599    177.929            7.443         6565.690      1.707      0.000      0.000    0.02072   26.53642           -0.94049      173.90770         1.473e-05 
   860.200          81.280     75.533    177.957            7.431         6573.013      1.705      0.000      0.000    0.02032   26.47651           -0.94830      173.94282         1.503e-05 
   861.200          81.156     75.468    177.985            7.419         6580.324      1.703      0.000      0.000    0.01992   26.41592           -0.95635      173.97760         1.532e-05 
   862.200          81.032     75.403    178.012            7.406         6587.622      1.701      0.000      0.000    0.01953   26.35464           -0.96464      174.01207         1.563e-05 
   863.200          80.907     75.338    178.039            7.393         6594.908      1.698      0.000      0.000    0.01915   26.29263           -0.97317      174.04621         1.595e-05 
   864.200          80.781     75.273    178.066            7.355         6602.169      1.697      0.000      0.000    0.01877   26.15179           -0.98218      174.08002         1.627e-05 
