#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.OBA.85e4120f-9a7e-46f5-8a03-355a94c85ec0_Trajectory.txt
# RunID         : sara
# ObjectID      : 85e4120f-9a7e-46f5-8a03-355a94c85ec0
# ObjectName    : OBA
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      2.661      0.000      0.000    0.10886   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      2.660      0.000      0.000    0.10872   28.37670           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.780         5889.307      2.655      0.000      0.000    0.10804   28.37207           -0.64225      168.58009         3.162e-06 
   770.650          90.343     81.542    173.342            7.777         5896.952      2.643      0.000      0.000    0.10649   28.36141           -0.64373      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.774         5904.595      2.631      0.000      0.000    0.10486   28.34978           -0.64527      168.77794         3.259e-06 
   772.650          90.167     81.407    173.522            7.770         5912.234      2.618      0.000      0.000    0.10324   28.33787           -0.64687      168.87457         3.310e-06 
   773.650          90.080     81.340    173.610            7.766         5919.870      2.605      0.000      0.000    0.10165   28.32590           -0.64853      168.96971         3.362e-06 
   774.650          89.992     81.272    173.697            7.763         5927.503      2.593      0.000      0.000    0.10008   28.31377           -0.65026      169.06341         3.415e-06 
   775.650          89.903     81.205    173.782            7.759         5935.132      2.580      0.000      0.000    0.09853   28.30148           -0.65205      169.15570         3.469e-06 
   776.650          89.815     81.138    173.865            7.756         5942.757      2.568      0.000      0.000    0.09700   28.28903           -0.65391      169.24660         3.524e-06 
   777.650          89.726     81.070    173.947            7.752         5950.380      2.555      0.000      0.000    0.09549   28.27641           -0.65584      169.33615         3.580e-06 
   778.650          89.638     81.003    174.028            7.748         5957.998      2.543      0.000      0.000    0.09400   28.26362           -0.65783      169.42439         3.637e-06 
   779.650          89.548     80.936    174.108            7.744         5965.613      2.531      0.000      0.000    0.09253   28.25067           -0.65989      169.51133         3.695e-06 
   780.650          89.459     80.869    174.186            7.741         5973.225      2.518      0.000      0.000    0.09108   28.23756           -0.66202      169.59701         3.754e-06 
   781.650          89.370     80.801    174.264            7.737         5980.833      2.506      0.000      0.000    0.08964   28.22428           -0.66422      169.68146         3.814e-06 
   782.650          89.280     80.734    174.340            7.733         5988.437      2.494      0.000      0.000    0.08823   28.21083           -0.66649      169.76470         3.875e-06 
   783.650          89.190     80.667    174.414            7.729         5996.038      2.482      0.000      0.000    0.08683   28.19720           -0.66883      169.84676         3.938e-06 
   784.650          89.099     80.600    174.488            7.725         6003.634      2.470      0.000      0.000    0.08545   28.18329           -0.67124      169.92766         4.001e-06 
   785.650          89.009     80.533    174.560            7.721         6011.228      2.458      0.000      0.000    0.08409   28.16939           -0.67373      170.00743         4.066e-06 
   786.650          88.918     80.466    174.632            7.717         6018.817      2.446      0.000      0.000    0.08275   28.15526           -0.67629      170.08610         4.133e-06 
   787.650          88.827     80.398    174.702            7.713         6026.402      2.434      0.000      0.000    0.08142   28.14093           -0.67892      170.16368         4.200e-06 
   788.650          88.735     80.331    174.771            7.709         6033.984      2.422      0.000      0.000    0.08011   28.12641           -0.68163      170.24020         4.269e-06 
   789.650          88.643     80.264    174.839            7.705         6041.561      2.410      0.000      0.000    0.07881   28.11172           -0.68441      170.31569         4.339e-06 
   790.650          88.551     80.197    174.907            7.700         6049.135      2.398      0.000      0.000    0.07754   28.09683           -0.68727      170.39015         4.411e-06 
   791.650          88.458     80.130    174.973            7.696         6056.704      2.386      0.000      0.000    0.07627   28.08176           -0.69020      170.46362         4.484e-06 
   792.650          88.365     80.063    175.038            7.692         6064.269      2.375      0.000      0.000    0.07503   28.06650           -0.69322      170.53612         4.559e-06 
   793.650          88.272     79.996    175.102            7.688         6071.831      2.363      0.000      0.000    0.07380   28.05105           -0.69631      170.60766         4.635e-06 
   794.650          88.179     79.929    175.166            7.683         6079.388      2.352      0.000      0.000    0.07258   28.03541           -0.69949      170.67826         4.713e-06 
   795.650          88.085     79.862    175.228            7.679         6086.941      2.340      0.000      0.000    0.07138   28.01956           -0.70274      170.74795         4.792e-06 
   796.650          87.990     79.795    175.290            7.674         6094.489      2.329      0.000      0.000    0.07020   28.00353           -0.70608      170.81673         4.873e-06 
   797.650          87.895     79.728    175.350            7.670         6102.034      2.317      0.000      0.000    0.06903   27.98728           -0.70950      170.88463         4.956e-06 
   798.650          87.800     79.661    175.410            7.665         6109.574      2.306      0.000      0.000    0.06787   27.97084           -0.71300      170.95167         5.041e-06 
   799.650          87.705     79.595    175.469            7.660         6117.109      2.295      0.000      0.000    0.06673   27.95419           -0.71659      171.01786         5.127e-06 
   800.650          87.609     79.528    175.527            7.656         6124.641      2.283      0.000      0.000    0.06560   27.93734           -0.72027      171.08322         5.215e-06 
   801.650          87.512     79.461    175.584            7.651         6132.167      2.272      0.000      0.000    0.06449   27.92027           -0.72403      171.14776         5.306e-06 
   802.650          87.415     79.394    175.641            7.646         6139.689      2.261      0.000      0.000    0.06339   27.90299           -0.72788      171.21151         5.398e-06 
   803.650          87.318     79.327    175.696            7.641         6147.207      2.250      0.000      0.000    0.06230   27.88549           -0.73181      171.27446         5.492e-06 
   804.650          87.220     79.261    175.751            7.636         6154.719      2.240      0.000      0.000    0.06123   27.86778           -0.73584      171.33665         5.588e-06 
   805.650          87.122     79.194    175.805            7.631         6162.228      2.229      0.000      0.000    0.06017   27.84985           -0.73996      171.39808         5.687e-06 
   806.650          87.023     79.127    175.859            7.626         6169.731      2.218      0.000      0.000    0.05913   27.83169           -0.74417      171.45878         5.787e-06 
   807.650          86.924     79.061    175.911            7.621         6177.229      2.208      0.000      0.000    0.05809   27.81331           -0.74847      171.51874         5.890e-06 
   808.650          86.824     78.994    175.963            7.616         6184.723      2.197      0.000      0.000    0.05707   27.79470           -0.75287      171.57799         5.996e-06 
   809.650          86.724     78.928    176.015            7.611         6192.211      2.187      0.000      0.000    0.05607   27.77578           -0.75736      171.63654         6.104e-06 
   810.650          86.623     78.861    176.065            7.605         6199.695      2.176      0.000      0.000    0.05507   27.75583           -0.76196      171.69440         6.214e-06 
   811.650          86.521     78.795    176.115            7.600         6207.173      2.166      0.000      0.000    0.05409   27.73463           -0.76666      171.75158         6.327e-06 
   812.650          86.419     78.728    176.164            7.593         6214.645      2.156      0.000      0.000    0.05312   27.71204           -0.77147      171.80810         6.443e-06 
   813.650          86.317     78.662    176.213            7.587         6222.111      2.146      0.000      0.000    0.05216   27.68788           -0.77640      171.86396         6.561e-06 
   814.650          86.214     78.595    176.261            7.579         6229.570      2.136      0.000      0.000    0.05121   27.66196           -0.78146      171.91917         6.683e-06 
   815.650          86.110     78.529    176.308            7.572         6237.022      2.126      0.000      0.000    0.05027   27.63403           -0.78666      171.97375         6.807e-06 
   816.650          86.006     78.463    176.355            7.563         6244.466      2.116      0.000      0.000    0.04935   27.60381           -0.79201      172.02770         6.935e-06 
   817.650          85.901     78.397    176.401            7.554         6251.902      2.107      0.000      0.000    0.04849   27.55835           -0.79752      172.08104         7.059e-06 
   818.650          85.796     78.331    176.446            7.544         6259.329      2.098      0.000      0.000    0.04764   27.50705           -0.80320      172.13375         7.184e-06 
   819.650          85.689     78.265    176.491            7.533         6266.745      2.089      0.000      0.000    0.04681   27.45208           -0.80909      172.18587         7.312e-06 
   820.650          85.583     78.199    176.535            7.521         6274.150      2.081      0.000      0.000    0.04598   27.39268           -0.81519      172.23738         7.444e-06 
   821.650          85.475     78.133    176.579            7.507         6281.542      2.072      0.000      0.000    0.04517   27.32791           -0.82153      172.28831         7.578e-06 
   822.650          85.368     78.067    176.622            7.491         6288.920      2.064      0.000      0.000    0.04436   27.25628           -0.82814      172.33864         7.715e-06 
   823.650          85.259     78.002    176.664            7.473         6296.282      2.055      0.000      0.000    0.04357   27.17603           -0.83508      172.38839         7.856e-06 
   824.650          85.150     77.936    176.706            7.452         6303.624      2.047      0.000      0.000    0.04279   27.08413           -0.84238      172.43755         8.000e-06 
   825.650          85.040     77.871    176.747            7.426         6310.943      2.039      0.000      0.000    0.04201   26.97592           -0.85013      172.48613         8.147e-06 
   826.650          84.929     77.806    176.788            7.393         6318.233      2.031      0.000      0.000    0.04125   26.84321           -0.85844      172.53412         8.297e-06 
   827.650          84.818     77.742    176.827            7.347         6325.484      2.023      0.000      0.000    0.04050   26.66955           -0.86749      172.58152         8.451e-06 
   828.650          84.707     77.678    176.866            7.278         6332.680      2.015      0.000      0.000    0.03976   26.41353           -0.87764      172.62835         8.608e-06 
   829.650          84.596     77.614    176.904            7.133         6339.769      2.008      0.000      0.000    0.03904   25.90561           -0.88987      172.67475         8.768e-06 
