#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Ribpanel4.73442745-d90c-4efb-8b10-a300252b6cfe_Trajectory.txt
# RunID         : sara
# ObjectID      : 73442745-d90c-4efb-8b10-a300252b6cfe
# ObjectName    : Ribpanel4
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100     14.573      0.000      0.000    0.02747   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.781         5885.865     14.570      0.000      0.000    0.02743   28.37329           -0.64161      168.53472         3.142e-06 
   769.650          90.430     81.609    173.250            7.775         5889.305     14.559      0.000      0.000    0.02726   28.35275           -0.64228      168.58013         3.162e-06 
   770.650          90.343     81.542    173.342            7.760         5896.940     14.532      0.000      0.000    0.02687   28.30540           -0.64396      168.67981         3.208e-06 
   771.650          90.255     81.475    173.433            7.746         5904.560     14.505      0.000      0.000    0.02646   28.25399           -0.64590      168.77782         3.258e-06 
   772.650          90.168     81.408    173.522            7.731         5912.167     14.478      0.000      0.000    0.02605   28.20190           -0.64809      168.87419         3.309e-06 
   773.650          90.080     81.341    173.609            7.717         5919.759     14.452      0.000      0.000    0.02565   28.14934           -0.65055      168.96897         3.361e-06 
   774.650          89.993     81.274    173.695            7.702         5927.337     14.427      0.000      0.000    0.02526   28.09622           -0.65328      169.06220         3.414e-06 
   775.650          89.905     81.207    173.779            7.687         5934.901     14.402      0.000      0.000    0.02487   28.04251           -0.65628      169.15391         3.468e-06 
   776.650          89.817     81.140    173.862            7.672         5942.450     14.379      0.000      0.000    0.02448   27.98823           -0.65955      169.24414         3.523e-06 
   777.650          89.728     81.074    173.943            7.656         5949.984     14.355      0.000      0.000    0.02410   27.93335           -0.66309      169.33293         3.578e-06 
   778.650          89.639     81.008    174.023            7.641         5957.503     14.333      0.000      0.000    0.02373   27.87787           -0.66692      169.42030         3.635e-06 
   779.650          89.550     80.941    174.102            7.625         5965.007     14.311      0.000      0.000    0.02335   27.82179           -0.67103      169.50630         3.693e-06 
   780.650          89.461     80.875    174.179            7.610         5972.495     14.290      0.000      0.000    0.02299   27.76509           -0.67543      169.59095         3.752e-06 
   781.650          89.371     80.809    174.255            7.594         5979.968     14.269      0.000      0.000    0.02262   27.70777           -0.68012      169.67428         3.813e-06 
   782.650          89.281     80.743    174.329            7.578         5987.426     14.249      0.000      0.000    0.02226   27.64982           -0.68510      169.75633         3.875e-06 
   783.650          89.190     80.677    174.403            7.560         5994.867     14.230      0.000      0.000    0.02191   27.58773           -0.69039      169.83712         3.938e-06 
   784.650          89.098     80.612    174.475            7.541         6002.290     14.211      0.000      0.000    0.02156   27.51757           -0.69603      169.91670         4.002e-06 
   785.650          89.006     80.546    174.546            7.518         6009.692     14.193      0.000      0.000    0.02121   27.43720           -0.70205      169.99505         4.068e-06 
   786.650          88.914     80.481    174.615            7.492         6017.071     14.176      0.000      0.000    0.02087   27.34315           -0.70853      170.07221         4.135e-06 
   787.650          88.821     80.416    174.684            7.460         6024.421     14.159      0.000      0.000    0.02052   27.23057           -0.71556      170.14816         4.204e-06 
   788.650          88.728     80.351    174.751            7.421         6031.736     14.143      0.000      0.000    0.02019   27.09139           -0.72324      170.22292         4.274e-06 
   789.650          88.634     80.287    174.816            7.370         6039.007     14.127      0.000      0.000    0.01985   26.91083           -0.73178      170.29647         4.346e-06 
   790.650          88.540     80.223    174.881            7.297         6046.218     14.113      0.000      0.000    0.01953   26.65725           -0.74150      170.36882         4.420e-06 
   791.650          88.445     80.160    174.943            7.177         6053.333     14.098      0.000      0.000    0.01920   26.24103           -0.75306      170.44004         4.495e-06 
   792.650          88.352     80.099    175.003            6.853         6060.229     14.085      0.000      0.000    0.01889   25.14635           -0.76908      170.51111         4.570e-06 
