#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SAR-Rx.636de29e-d481-433b-81dd-49c440d46a45_Trajectory.txt
# RunID         : sara
# ObjectID      : 636de29e-d481-433b-81dd-49c440d46a45
# ObjectName    : SAR-Rx
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   903.200          76.419     72.580    178.974            7.546         6903.219      2.188      0.000      0.000    0.00522   26.24982           -1.00219      175.26341         3.219e-05 
   903.300          76.406     72.573    178.976            7.544         6903.962      2.188      0.000      0.000    0.00521   26.24407           -1.00278      175.26596         3.224e-05 
   903.750          76.347     72.544    178.984            7.538         6907.307      2.188      0.000      0.000    0.00517   26.21729           -1.00544      175.27740         3.251e-05 
   904.750          76.214     72.477    179.002            7.523         6914.730      2.188      0.000      0.000    0.00507   26.15540           -1.01156      175.30268         3.313e-05 
   905.750          76.081     72.411    179.020            7.509         6922.138      2.188      0.000      0.000    0.00497   26.08817           -1.01795      175.32777         3.381e-05 
   906.750          75.947     72.345    179.038            7.494         6929.532      2.188      0.000      0.000    0.00487   26.02011           -1.02462      175.35265         3.450e-05 
   907.750          75.813     72.278    179.056            7.479         6936.911      2.188      0.000      0.000    0.00477   25.95121           -1.03156      175.37735         3.521e-05 
   908.750          75.678     72.213    179.073            7.463         6944.276      2.188      0.000      0.000    0.00467   25.88145           -1.03880      175.40185         3.594e-05 
   909.750          75.542     72.147    179.090            7.448         6951.625      2.188      0.000      0.000    0.00458   25.81083           -1.04632      175.42616         3.669e-05 
   910.750          75.406     72.081    179.107            7.432         6958.959      2.188      0.000      0.000    0.00449   25.73932           -1.05415      175.45028         3.745e-05 
   911.750          75.269     72.016    179.124            7.416         6966.277      2.188      0.000      0.000    0.00439   25.66691           -1.06227      175.47422         3.823e-05 
   912.750          75.131     71.950    179.141            7.399         6973.580      2.188      0.000      0.000    0.00430   25.59357           -1.07071      175.49798         3.904e-05 
   913.750          74.992     71.885    179.158            7.382         6980.866      2.188      0.000      0.000    0.00421   25.51930           -1.07946      175.52156         3.986e-05 
   914.750          74.853     71.820    179.174            7.365         6988.136      2.188      0.000      0.000    0.00413   25.44408           -1.08853      175.54495         4.071e-05 
   915.750          74.712     71.755    179.190            7.348         6995.389      2.188      0.000      0.000    0.00404   25.36789           -1.09793      175.56817         4.158e-05 
   916.750          74.571     71.690    179.206            7.331         7002.626      2.188      0.000      0.000    0.00396   25.29070           -1.10766      175.59122         4.247e-05 
   917.750          74.429     71.625    179.222            7.313         7009.844      2.188      0.000      0.000    0.00387   25.21251           -1.11773      175.61409         4.338e-05 
   918.750          74.286     71.561    179.237            7.295         7017.046      2.188      0.000      0.000    0.00379   25.13330           -1.12814      175.63679         4.432e-05 
   919.750          74.142     71.496    179.253            7.276         7024.229      2.188      0.000      0.000    0.00371   25.05304           -1.13891      175.65932         4.529e-05 
   920.750          73.997     71.432    179.268            7.257         7031.395      2.188      0.000      0.000    0.00363   24.97172           -1.15004      175.68168         4.628e-05 
   921.750          73.850     71.368    179.283            7.238         7038.542      2.188      0.000      0.000    0.00355   24.88932           -1.16154      175.70388         4.730e-05 
   922.750          73.703     71.304    179.298            7.219         7045.670      2.188      0.000      0.000    0.00347   24.80582           -1.17340      175.72591         4.835e-05 
   923.750          73.555     71.241    179.313            7.199         7052.779      2.188      0.000      0.000    0.00340   24.72120           -1.18566      175.74778         4.943e-05 
   924.750          73.405     71.177    179.327            7.179         7059.868      2.188      0.000      0.000    0.00332   24.63544           -1.19830      175.76949         5.054e-05 
   925.750          73.254     71.114    179.342            7.159         7066.938      2.188      0.000      0.000    0.00325   24.54851           -1.21133      175.79105         5.169e-05 
   926.750          73.102     71.051    179.356            7.138         7073.988      2.188      0.000      0.000    0.00318   24.46040           -1.22477      175.81244         5.286e-05 
   927.750          72.949     70.988    179.370            7.117         7081.017      2.188      0.000      0.000    0.00311   24.37109           -1.23863      175.83368         5.408e-05 
   928.750          72.795     70.925    179.384            7.095         7088.025      2.188      0.000      0.000    0.00304   24.28054           -1.25290      175.85477         5.532e-05 
   929.750          72.639     70.862    179.398            7.073         7095.012      2.188      0.000      0.000    0.00297   24.18680           -1.26761      175.87570         5.661e-05 
   930.750          72.482     70.800    179.412            7.049         7101.977      2.188      0.000      0.000    0.00290   24.08732           -1.28279      175.89649         5.794e-05 
   931.750          72.323     70.738    179.425            7.023         7108.916      2.188      0.000      0.000    0.00283   23.98112           -1.29848      175.91712         5.930e-05 
   932.750          72.164     70.676    179.439            6.994         7115.829      2.188      0.000      0.000    0.00277   23.86729           -1.31471      175.93761         6.071e-05 
   933.750          72.002     70.614    179.452            6.963         7122.712      2.188      0.000      0.000    0.00270   23.74478           -1.33154      175.95795         6.217e-05 
   934.750          71.840     70.553    179.465            6.929         7129.563      2.188      0.000      0.000    0.00264   23.61227           -1.34904      175.97814         6.366e-05 
   935.750          71.676     70.492    179.478            6.891         7136.379      2.188      0.000      0.000    0.00258   23.46377           -1.36727      175.99818         6.518e-05 
   936.750          71.511     70.431    179.490            6.850         7143.157      2.188      0.000      0.000    0.00252   23.29932           -1.38631      176.01807         6.673e-05 
   937.750          71.345     70.371    179.503            6.803         7149.891      2.188      0.000      0.000    0.00246   23.11900           -1.40626      176.03781         6.833e-05 
   938.750          71.177     70.311    179.515            6.751         7156.576      2.188      0.000      0.000    0.00240   22.91966           -1.42724      176.05740         6.997e-05 
   939.750          71.009     70.251    179.527            6.691         7163.206      2.188      0.000      0.000    0.00234   22.69711           -1.44939      176.07685         7.166e-05 
   940.750          70.839     70.192    179.539            6.623         7169.774      2.188      0.000      0.000    0.00229   22.44576           -1.47290      176.09615         7.340e-05 
   941.750          70.668     70.134    179.551            6.544         7176.269      2.188      0.000      0.000    0.00223   22.15781           -1.49799      176.11532         7.519e-05 
   942.750          70.497     70.077    179.562            6.450         7182.679      2.188      0.000      0.000    0.00218   21.82203           -1.52498      176.13437         7.702e-05 
   943.750          70.325     70.020    179.573            6.335         7188.985      2.188      0.000      0.000    0.00213   21.42154           -1.55428      176.15332         7.890e-05 
   944.750          70.153     69.965    179.584            6.193         7195.165      2.188      0.000      0.000    0.00208   20.92935           -1.58650      176.17222         8.083e-05 
   945.750          69.983     69.911    179.595            6.007         7201.183      2.188      0.000      0.000    0.00203   20.29894           -1.62256      176.19117         8.278e-05 
   946.750          69.814     69.859    179.605            5.750         7206.981      2.188      0.000      0.000    0.00198   19.44116           -1.66404      176.21042         8.476e-05 
   947.750          69.651     69.810    179.614            5.358         7212.457      2.188      0.000      0.000    0.00194   18.15664           -1.71401      176.23067         8.672e-05 
