#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SAsupp1.32a385c5-fe74-4c27-bcd0-f11c244a3638_Trajectory.txt
# RunID         : sara
# ObjectID      : 32a385c5-fe74-4c27-bcd0-f11c244a3638
# ObjectName    : SAsupp1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      2.734      0.000      0.000    0.13443   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      2.733      0.000      0.000    0.13425   28.37668           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.780         5889.307      2.728      0.000      0.000    0.13341   28.37192           -0.64225      168.58009         3.162e-06 
   770.650          90.343     81.542    173.342            7.777         5896.952      2.716      0.000      0.000    0.13151   28.36098           -0.64373      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.773         5904.595      2.703      0.000      0.000    0.12949   28.34904           -0.64527      168.77794         3.259e-06 
   772.650          90.167     81.407    173.522            7.770         5912.234      2.690      0.000      0.000    0.12749   28.33683           -0.64688      168.87456         3.310e-06 
   773.650          90.080     81.340    173.610            7.766         5919.869      2.678      0.000      0.000    0.12553   28.32455           -0.64855      168.96971         3.362e-06 
   774.650          89.992     81.272    173.697            7.762         5927.501      2.665      0.000      0.000    0.12359   28.31210           -0.65028      169.06340         3.415e-06 
   775.650          89.903     81.205    173.782            7.759         5935.130      2.652      0.000      0.000    0.12167   28.29949           -0.65208      169.15568         3.469e-06 
   776.650          89.815     81.138    173.865            7.755         5942.755      2.639      0.000      0.000    0.11978   28.28672           -0.65395      169.24658         3.524e-06 
   777.650          89.726     81.070    173.947            7.751         5950.376      2.627      0.000      0.000    0.11792   28.27377           -0.65589      169.33613         3.580e-06 
   778.650          89.638     81.003    174.028            7.747         5957.994      2.614      0.000      0.000    0.11608   28.26066           -0.65790      169.42436         3.636e-06 
   779.650          89.548     80.936    174.108            7.744         5965.609      2.601      0.000      0.000    0.11426   28.24738           -0.65998      169.51129         3.695e-06 
   780.650          89.459     80.869    174.186            7.740         5973.219      2.589      0.000      0.000    0.11247   28.23393           -0.66212      169.59696         3.754e-06 
   781.650          89.370     80.802    174.263            7.736         5980.826      2.576      0.000      0.000    0.11070   28.22031           -0.66434      169.68140         3.814e-06 
   782.650          89.280     80.734    174.339            7.732         5988.429      2.563      0.000      0.000    0.10895   28.20652           -0.66663      169.76463         3.875e-06 
   783.650          89.190     80.667    174.414            7.728         5996.029      2.551      0.000      0.000    0.10723   28.19255           -0.66900      169.84668         3.938e-06 
   784.650          89.099     80.600    174.488            7.724         6003.624      2.538      0.000      0.000    0.10552   28.17830           -0.67143      169.92757         4.001e-06 
   785.650          89.009     80.533    174.560            7.720         6011.216      2.525      0.000      0.000    0.10384   28.16406           -0.67394      170.00734         4.066e-06 
   786.650          88.918     80.466    174.632            7.715         6018.804      2.513      0.000      0.000    0.10218   28.14958           -0.67653      170.08599         4.133e-06 
   787.650          88.826     80.399    174.702            7.711         6026.387      2.500      0.000      0.000    0.10054   28.13489           -0.67919      170.16356         4.200e-06 
   788.650          88.735     80.331    174.771            7.707         6033.967      2.488      0.000      0.000    0.09892   28.12003           -0.68193      170.24007         4.269e-06 
   789.650          88.643     80.264    174.839            7.703         6041.543      2.475      0.000      0.000    0.09732   28.10498           -0.68474      170.31554         4.340e-06 
   790.650          88.551     80.197    174.906            7.699         6049.114      2.463      0.000      0.000    0.09575   28.08974           -0.68764      170.39000         4.411e-06 
   791.650          88.458     80.130    174.973            7.694         6056.682      2.450      0.000      0.000    0.09419   28.07431           -0.69061      170.46345         4.484e-06 
   792.650          88.365     80.063    175.038            7.690         6064.245      2.438      0.000      0.000    0.09265   28.05870           -0.69366      170.53594         4.559e-06 
   793.650          88.272     79.996    175.102            7.685         6071.804      2.426      0.000      0.000    0.09113   28.04289           -0.69680      170.60746         4.635e-06 
   794.650          88.178     79.929    175.165            7.681         6079.359      2.413      0.000      0.000    0.08963   28.02689           -0.70001      170.67805         4.713e-06 
   795.650          88.084     79.862    175.228            7.676         6086.910      2.401      0.000      0.000    0.08814   28.01069           -0.70331      170.74772         4.793e-06 
   796.650          87.990     79.795    175.289            7.672         6094.456      2.389      0.000      0.000    0.08668   27.99430           -0.70669      170.81649         4.874e-06 
   797.650          87.895     79.729    175.350            7.667         6101.998      2.376      0.000      0.000    0.08523   27.97770           -0.71016      170.88437         4.957e-06 
   798.650          87.800     79.662    175.410            7.662         6109.535      2.364      0.000      0.000    0.08380   27.96091           -0.71371      170.95139         5.041e-06 
   799.650          87.704     79.595    175.468            7.658         6117.068      2.352      0.000      0.000    0.08239   27.94390           -0.71735      171.01757         5.128e-06 
   800.650          87.608     79.528    175.527            7.653         6124.596      2.340      0.000      0.000    0.08100   27.92670           -0.72108      171.08291         5.216e-06 
   801.650          87.512     79.461    175.584            7.648         6132.120      2.328      0.000      0.000    0.07963   27.90928           -0.72489      171.14744         5.306e-06 
   802.650          87.415     79.395    175.640            7.643         6139.639      2.316      0.000      0.000    0.07827   27.89165           -0.72880      171.21116         5.398e-06 
