#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SRADipl.59ad043a-c762-4a65-98ae-7fd1e356775b_Trajectory.txt
# RunID         : sara
# ObjectID      : 59ad043a-c762-4a65-98ae-7fd1e356775b
# ObjectName    : SRADipl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   903.200          76.419     72.580    178.974            7.546         6903.219      1.400      0.000      0.000    0.00907   26.24982           -1.00219      175.26341         3.219e-05 
   903.300          76.406     72.573    178.976            7.543         6903.962      1.400      0.000      0.000    0.00905   26.23968           -1.00278      175.26596         3.224e-05 
   903.750          76.347     72.544    178.984            7.530         6907.305      1.400      0.000      0.000    0.00898   26.19247           -1.00548      175.27739         3.251e-05 
   904.750          76.214     72.477    179.002            7.501         6914.712      1.400      0.000      0.000    0.00881   26.08356           -1.01188      175.30263         3.313e-05 
   905.750          76.082     72.411    179.020            7.472         6922.091      1.400      0.000      0.000    0.00863   25.96549           -1.01883      175.32763         3.380e-05 
   906.750          75.949     72.345    179.038            7.442         6929.441      1.400      0.000      0.000    0.00846   25.84626           -1.02633      175.35241         3.449e-05 
   907.750          75.815     72.280    179.055            7.412         6936.762      1.400      0.000      0.000    0.00829   25.72586           -1.03439      175.37696         3.520e-05 
   908.750          75.681     72.215    179.073            7.381         6944.053      1.400      0.000      0.000    0.00812   25.60428           -1.04302      175.40129         3.592e-05 
   909.750          75.546     72.150    179.090            7.351         6951.314      1.400      0.000      0.000    0.00796   25.48151           -1.05224      175.42540         3.666e-05 
   910.750          75.411     72.085    179.106            7.319         6958.545      1.400      0.000      0.000    0.00780   25.35753           -1.06204      175.44930         3.742e-05 
   911.750          75.275     72.020    179.123            7.288         6965.745      1.400      0.000      0.000    0.00764   25.23233           -1.07245      175.47298         3.820e-05 
   912.750          75.138     71.956    179.139            7.256         6972.914      1.400      0.000      0.000    0.00748   25.10590           -1.08347      175.49645         3.900e-05 
   913.750          75.001     71.892    179.156            7.221         6980.050      1.400      0.000      0.000    0.00733   24.96878           -1.09514      175.51971         3.981e-05 
   914.750          74.862     71.829    179.172            7.177         6987.147      1.400      0.000      0.000    0.00718   24.80705           -1.10757      175.54275         4.065e-05 
   915.750          74.723     71.765    179.187            7.123         6994.197      1.400      0.000      0.000    0.00703   24.60787           -1.12096      175.56555         4.151e-05 
   916.750          74.584     71.703    179.203            7.050         7001.183      1.400      0.000      0.000    0.00688   24.34844           -1.13560      175.58810         4.239e-05 
   917.750          74.444     71.641    179.218            6.942         7008.081      1.400      0.000      0.000    0.00674   23.97641           -1.15205      175.61034         4.329e-05 
   918.750          74.305     71.581    179.233            6.746         7014.829      1.400      0.000      0.000    0.00660   23.32015           -1.17162      175.63219         4.420e-05 
   919.411          74.218     71.543    179.242            6.142         7019.021      1.400      0.000      0.000    0.00651   21.38933           -1.19035      175.64625         4.483e-05 
