Altitude (km)	Objet	Matériau	Mass (kg)
74.831	ASCATEPC1	drama-AA7075	1.875000
74.820	ASCATEPC1	drama-AA7075	1.875000
74.768	ASCATEPC1	drama-AA7075	1.875000
74.652	ASCATEPC1	drama-AA7075	1.875000
74.535	ASCATEPC1	drama-AA7075	1.875000
74.418	ASCATEPC1	drama-AA7075	1.875000
74.299	ASCATEPC1	drama-AA7075	1.875000
74.181	ASCATEPC1	drama-AA7075	1.875000
74.061	ASCATEPC1	drama-AA7075	1.875000
73.941	ASCATEPC1	drama-AA7075	1.875000
73.820	ASCATEPC1	drama-AA7075	1.875000
73.698	ASCATEPC1	drama-AA7075	1.875000
73.575	ASCATEPC1	drama-AA7075	1.875000
73.452	ASCATEPC1	drama-AA7075	1.875000
73.327	ASCATEPC1	drama-AA7075	1.875000
73.202	ASCATEPC1	drama-AA7075	1.875000
73.076	ASCATEPC1	drama-AA7075	1.875000
72.949	ASCATEPC1	drama-AA7075	1.875000
72.821	ASCATEPC1	drama-AA7075	1.875000
72.692	ASCATEPC1	drama-AA7075	1.875000
72.562	ASCATEPC1	drama-AA7075	1.875000
72.432	ASCATEPC1	drama-AA7075	1.875000
72.300	ASCATEPC1	drama-AA7075	1.875000
72.167	ASCATEPC1	drama-AA7075	1.875000
72.033	ASCATEPC1	drama-AA7075	1.875000
71.898	ASCATEPC1	drama-AA7075	1.875000
71.762	ASCATEPC1	drama-AA7075	1.875000
71.624	ASCATEPC1	drama-AA7075	1.844000
71.486	ASCATEPC1	drama-AA7075	1.733000
71.346	ASCATEPC1	drama-AA7075	1.621000
71.205	ASCATEPC1	drama-AA7075	1.509000
71.063	ASCATEPC1	drama-AA7075	1.396000
70.920	ASCATEPC1	drama-AA7075	1.284000
70.776	ASCATEPC1	drama-AA7075	1.171000
70.630	ASCATEPC1	drama-AA7075	1.058000
70.483	ASCATEPC1	drama-AA7075	0.945000
70.335	ASCATEPC1	drama-AA7075	0.833000
70.186	ASCATEPC1	drama-AA7075	0.720000
70.035	ASCATEPC1	drama-AA7075	0.608000
69.884	ASCATEPC1	drama-AA7075	0.496000
69.731	ASCATEPC1	drama-AA7075	0.385000
69.576	ASCATEPC1	drama-AA7075	0.274000
69.421	ASCATEPC1	drama-AA7075	0.165000
69.264	ASCATEPC1	drama-AA7075	0.057000
69.107	ASCATEPC1	drama-AA7075	0.000000
74.831	DPU-SEM	drama-AA7075	1.975000
74.820	DPU-SEM	drama-AA7075	1.975000
74.768	DPU-SEM	drama-AA7075	1.975000
74.652	DPU-SEM	drama-AA7075	1.975000
74.535	DPU-SEM	drama-AA7075	1.975000
74.418	DPU-SEM	drama-AA7075	1.975000
74.300	DPU-SEM	drama-AA7075	1.975000
74.181	DPU-SEM	drama-AA7075	1.975000
74.062	DPU-SEM	drama-AA7075	1.975000
73.942	DPU-SEM	drama-AA7075	1.975000
73.821	DPU-SEM	drama-AA7075	1.975000
73.699	DPU-SEM	drama-AA7075	1.975000
73.576	DPU-SEM	drama-AA7075	1.975000
73.453	DPU-SEM	drama-AA7075	1.975000
73.329	DPU-SEM	drama-AA7075	1.975000
73.204	DPU-SEM	drama-AA7075	1.975000
73.078	DPU-SEM	drama-AA7075	1.975000
72.951	DPU-SEM	drama-AA7075	1.975000
72.823	DPU-SEM	drama-AA7075	1.975000
72.694	DPU-SEM	drama-AA7075	1.975000
72.564	DPU-SEM	drama-AA7075	1.975000
72.433	DPU-SEM	drama-AA7075	1.975000
72.301	DPU-SEM	drama-AA7075	1.975000
72.168	DPU-SEM	drama-AA7075	1.975000
72.033	DPU-SEM	drama-AA7075	1.975000
71.898	DPU-SEM	drama-AA7075	1.975000
71.761	DPU-SEM	drama-AA7075	1.975000
71.623	DPU-SEM	drama-AA7075	1.951000
71.484	DPU-SEM	drama-AA7075	1.836000
71.343	DPU-SEM	drama-AA7075	1.722000
71.202	DPU-SEM	drama-AA7075	1.607000
71.059	DPU-SEM	drama-AA7075	1.492000
70.914	DPU-SEM	drama-AA7075	1.377000
70.769	DPU-SEM	drama-AA7075	1.263000
70.622	DPU-SEM	drama-AA7075	1.148000
70.474	DPU-SEM	drama-AA7075	1.034000
70.324	DPU-SEM	drama-AA7075	0.921000
70.173	DPU-SEM	drama-AA7075	0.809000
70.021	DPU-SEM	drama-AA7075	0.697000
69.868	DPU-SEM	drama-AA7075	0.587000
69.714	DPU-SEM	drama-AA7075	0.479000
69.558	DPU-SEM	drama-AA7075	0.373000
69.402	DPU-SEM	drama-AA7075	0.270000
69.245	DPU-SEM	drama-AA7075	0.170000
69.088	DPU-SEM	drama-AA7075	0.074000
68.930	DPU-SEM	drama-AA7075	0.000000
89.986	SAsupp5	drama-AA7075	0.850000
89.980	SAsupp5	drama-AA7075	0.850000
89.954	SAsupp5	drama-AA7075	0.850000
89.895	SAsupp5	drama-AA7075	0.850000
89.836	SAsupp5	drama-AA7075	0.850000
89.777	SAsupp5	drama-AA7075	0.850000
89.718	SAsupp5	drama-AA7075	0.850000
89.659	SAsupp5	drama-AA7075	0.850000
89.600	SAsupp5	drama-AA7075	0.850000
89.540	SAsupp5	drama-AA7075	0.850000
89.481	SAsupp5	drama-AA7075	0.850000
89.421	SAsupp5	drama-AA7075	0.850000
89.361	SAsupp5	drama-AA7075	0.850000
89.300	SAsupp5	drama-AA7075	0.850000
89.240	SAsupp5	drama-AA7075	0.850000
89.179	SAsupp5	drama-AA7075	0.850000
89.119	SAsupp5	drama-AA7075	0.850000
89.058	SAsupp5	drama-AA7075	0.850000
88.996	SAsupp5	drama-AA7075	0.850000
88.935	SAsupp5	drama-AA7075	0.850000
88.873	SAsupp5	drama-AA7075	0.850000
88.812	SAsupp5	drama-AA7075	0.850000
88.749	SAsupp5	drama-AA7075	0.850000
88.687	SAsupp5	drama-AA7075	0.850000
88.624	SAsupp5	drama-AA7075	0.850000
88.562	SAsupp5	drama-AA7075	0.850000
88.498	SAsupp5	drama-AA7075	0.850000
88.435	SAsupp5	drama-AA7075	0.850000
88.371	SAsupp5	drama-AA7075	0.850000
88.307	SAsupp5	drama-AA7075	0.850000
88.243	SAsupp5	drama-AA7075	0.850000
88.179	SAsupp5	drama-AA7075	0.850000
88.114	SAsupp5	drama-AA7075	0.850000
88.049	SAsupp5	drama-AA7075	0.850000
87.983	SAsupp5	drama-AA7075	0.850000
87.917	SAsupp5	drama-AA7075	0.850000
87.851	SAsupp5	drama-AA7075	0.850000
87.785	SAsupp5	drama-AA7075	0.850000
87.718	SAsupp5	drama-AA7075	0.850000
87.651	SAsupp5	drama-AA7075	0.850000
87.583	SAsupp5	drama-AA7075	0.850000
87.515	SAsupp5	drama-AA7075	0.850000
87.447	SAsupp5	drama-AA7075	0.850000
87.378	SAsupp5	drama-AA7075	0.850000
87.309	SAsupp5	drama-AA7075	0.850000
87.240	SAsupp5	drama-AA7075	0.850000
87.170	SAsupp5	drama-AA7075	0.850000
87.099	SAsupp5	drama-AA7075	0.850000
87.029	SAsupp5	drama-AA7075	0.850000
86.958	SAsupp5	drama-AA7075	0.850000
86.886	SAsupp5	drama-AA7075	0.850000
86.814	SAsupp5	drama-AA7075	0.850000
86.741	SAsupp5	drama-AA7075	0.850000
86.668	SAsupp5	drama-AA7075	0.850000
86.595	SAsupp5	drama-AA7075	0.850000
86.521	SAsupp5	drama-AA7075	0.850000
86.447	SAsupp5	drama-AA7075	0.850000
86.372	SAsupp5	drama-AA7075	0.850000
86.296	SAsupp5	drama-AA7075	0.850000
86.220	SAsupp5	drama-AA7075	0.850000
