#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ADCS-TXU.7f55c236-864e-40ed-87fc-4a26da0a0229_Trajectory.txt
# RunID         : sara
# ObjectID      : 7f55c236-864e-40ed-87fc-4a26da0a0229
# ObjectName    : ADCS-TXU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      2.435      0.000      0.000    0.00654   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      2.435      0.000      0.000    0.00653   24.43864           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.074        18398.838      2.435      0.000      0.000    0.00648   24.41944           -0.93780       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.064        18405.825      2.435      0.000      0.000    0.00637   24.37512           -0.94426       99.20413         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.054        18412.802      2.435      0.000      0.000    0.00626   24.32704           -0.95092       99.19732         4.272e-05 
  2548.750          74.418     -5.541    -11.414            7.043        18419.769      2.435      0.000      0.000    0.00615   24.27843           -0.95778       99.19050         4.348e-05 
  2549.750          74.300     -5.551    -11.352            7.033        18426.726      2.435      0.000      0.000    0.00605   24.22928           -0.96485       99.18368         4.425e-05 
  2550.750          74.181     -5.561    -11.290            7.022        18433.672      2.435      0.000      0.000    0.00594   24.17958           -0.97214       99.17686         4.505e-05 
  2551.750          74.061     -5.571    -11.228            7.011        18440.608      2.435      0.000      0.000    0.00584   24.12933           -0.97964       99.17003         4.586e-05 
  2552.750          73.941     -5.581    -11.166            7.000        18447.534      2.435      0.000      0.000    0.00573   24.07851           -0.98736       99.16320         4.669e-05 
  2553.750          73.820     -5.591    -11.105            6.989        18454.448      2.435      0.000      0.000    0.00563   24.02710           -0.99531       99.15637         4.754e-05 
  2554.750          73.698     -5.601    -11.043            6.978        18461.352      2.435      0.000      0.000    0.00553   23.97511           -1.00348       99.14953         4.841e-05 
  2555.750          73.576     -5.611    -10.982            6.966        18468.244      2.435      0.000      0.000    0.00543   23.92252           -1.01188       99.14269         4.930e-05 
  2556.750          73.452     -5.621    -10.921            6.955        18475.125      2.435      0.000      0.000    0.00533   23.86932           -1.02052       99.13585         5.022e-05 
  2557.750          73.328     -5.631    -10.859            6.943        18481.995      2.435      0.000      0.000    0.00523   23.81549           -1.02940       99.12901         5.115e-05 
  2558.750          73.203     -5.640    -10.798            6.931        18488.853      2.435      0.000      0.000    0.00514   23.76102           -1.03853       99.12217         5.211e-05 
  2559.750          73.077     -5.650    -10.737            6.919        18495.699      2.435      0.000      0.000    0.00504   23.70590           -1.04790       99.11533         5.309e-05 
  2560.750          72.950     -5.660    -10.676            6.906        18502.533      2.435      0.000      0.000    0.00495   23.65013           -1.05752       99.10848         5.410e-05 
  2561.750          72.822     -5.670    -10.616            6.894        18509.354      2.435      0.000      0.000    0.00485   23.59368           -1.06740       99.10164         5.513e-05 
  2562.750          72.693     -5.680    -10.555            6.881        18516.164      2.435      0.000      0.000    0.00476   23.53654           -1.07754       99.09479         5.619e-05 
  2563.750          72.563     -5.689    -10.494            6.868        18522.961      2.435      0.000      0.000    0.00467   23.47870           -1.08794       99.08795         5.728e-05 
  2564.750          72.432     -5.699    -10.434            6.855        18529.744      2.435      0.000      0.000    0.00458   23.42015           -1.09862       99.08110         5.839e-05 
  2565.750          72.300     -5.709    -10.373            6.841        18536.515      2.435      0.000      0.000    0.00449   23.36088           -1.10957       99.07426         5.954e-05 
  2566.750          72.167     -5.718    -10.313            6.828        18543.273      2.435      0.000      0.000    0.00441   23.30085           -1.12080       99.06741         6.071e-05 
  2567.750          72.033     -5.728    -10.253            6.814        18550.017      2.435      0.000      0.000    0.00432   23.24007           -1.13232       99.06057         6.192e-05 
  2568.750          71.898     -5.737    -10.193            6.800        18556.748      2.435      0.000      0.000    0.00424   23.17853           -1.14412       99.05373         6.316e-05 
  2569.750          71.761     -5.747    -10.133            6.786        18563.465      2.435      0.000      0.000    0.00415   23.11519           -1.15623       99.04689         6.443e-05 
  2570.750          71.624     -5.756    -10.073            6.771        18570.167      2.435      0.000      0.000    0.00407   23.04631           -1.16863       99.04005         6.570e-05 
  2571.750          71.485     -5.766    -10.014            6.757        18576.856      2.435      0.000      0.000    0.00399   22.97664           -1.18134       99.03322         6.701e-05 
  2572.750          71.345     -5.775     -9.954            6.742        18583.529      2.435      0.000      0.000    0.00391   22.90617           -1.19437       99.02638         6.836e-05 
  2573.750          71.204     -5.785     -9.895            6.726        18590.188      2.435      0.000      0.000    0.00384   22.83429           -1.20771       99.01955         6.974e-05 
