#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ASCATDPU2.52086079-11dd-4ba5-86f1-ac04d0947720_Trajectory.txt
# RunID         : sara
# ObjectID      : 52086079-11dd-4ba5-86f1-ac04d0947720
# ObjectName    : ASCATDPU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      1.572      0.000      0.000    0.00820   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      1.572      0.000      0.000    0.00819   24.43899           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.074        18398.838      1.572      0.000      0.000    0.00813   24.42145           -0.93780       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.066        18405.826      1.572      0.000      0.000    0.00800   24.38095           -0.94423       99.20413         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.057        18412.806      1.572      0.000      0.000    0.00786   24.33701           -0.95084       99.19732         4.272e-05 
  2548.750          74.418     -5.541    -11.414            7.047        18419.776      1.572      0.000      0.000    0.00773   24.29258           -0.95763       99.19050         4.348e-05 
  2549.750          74.299     -5.551    -11.352            7.038        18426.738      1.572      0.000      0.000    0.00759   24.24767           -0.96461       99.18367         4.426e-05 
  2550.750          74.181     -5.561    -11.290            7.029        18433.691      1.572      0.000      0.000    0.00746   24.20225           -0.97177       99.17684         4.505e-05 
  2551.750          74.061     -5.571    -11.228            7.019        18440.634      1.572      0.000      0.000    0.00733   24.15632           -0.97912       99.17001         4.586e-05 
  2552.750          73.941     -5.581    -11.166            7.010        18447.568      1.572      0.000      0.000    0.00719   24.10987           -0.98667       99.16317         4.669e-05 
  2553.750          73.820     -5.591    -11.104            7.000        18454.492      1.572      0.000      0.000    0.00707   24.06288           -0.99442       99.15633         4.754e-05 
  2554.750          73.698     -5.601    -11.043            6.990        18461.407      1.572      0.000      0.000    0.00694   24.01536           -1.00236       99.14949         4.841e-05 
  2555.750          73.575     -5.611    -10.981            6.980        18468.312      1.572      0.000      0.000    0.00681   23.96728           -1.01052       99.14264         4.931e-05 
  2556.750          73.452     -5.621    -10.920            6.969        18475.206      1.572      0.000      0.000    0.00669   23.91864           -1.01888       99.13579         5.022e-05 
  2557.750          73.327     -5.631    -10.859            6.959        18482.091      1.572      0.000      0.000    0.00657   23.86942           -1.02745       99.12893         5.116e-05 
  2558.750          73.202     -5.641    -10.797            6.948        18488.965      1.572      0.000      0.000    0.00645   23.81962           -1.03623       99.12207         5.212e-05 
  2559.750          73.076     -5.650    -10.736            6.937        18495.829      1.572      0.000      0.000    0.00633   23.76923           -1.04524       99.11521         5.310e-05 
  2560.750          72.949     -5.660    -10.675            6.926        18502.682      1.572      0.000      0.000    0.00621   23.71822           -1.05447       99.10835         5.411e-05 
  2561.750          72.821     -5.670    -10.614            6.915        18509.525      1.572      0.000      0.000    0.00609   23.66660           -1.06392       99.10149         5.514e-05 
  2562.750          72.692     -5.680    -10.553            6.904        18516.356      1.572      0.000      0.000    0.00598   23.61434           -1.07361       99.09462         5.620e-05 
  2563.750          72.562     -5.690    -10.492            6.892        18523.176      1.572      0.000      0.000    0.00586   23.56144           -1.08353       99.08776         5.728e-05 
  2564.750          72.431     -5.699    -10.432            6.881        18529.985      1.572      0.000      0.000    0.00575   23.50788           -1.09369       99.08089         5.840e-05 
  2565.750          72.300     -5.709    -10.371            6.869        18536.782      1.572      0.000      0.000    0.00564   23.45365           -1.10409       99.07402         5.954e-05 
