#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ASCATEPC1-internal.2622fa08-adbb-4190-a652-7df2c8d0e121_Trajectory.txt
# RunID         : sara
# ObjectID      : 2622fa08-adbb-4190-a652-7df2c8d0e121
# ObjectName    : ASCATEPC1-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2587.750          69.107     -5.914     -9.078            6.338        18681.802      1.690      0.000      0.000    0.00397   21.23442           -1.43064       98.92465         9.378e-05 
  2587.850          69.091     -5.915     -9.072            6.333        18682.428      1.690      0.000      0.000    0.00396   21.21820           -1.43286       98.92399         9.396e-05 
  2588.300          69.019     -5.919     -9.047            6.310        18685.242      1.690      0.000      0.000    0.00393   21.14281           -1.44295       98.92105         9.480e-05 
  2589.300          68.860     -5.928     -8.992            6.261        18691.459      1.690      0.000      0.000    0.00385   20.96948           -1.46620       98.91453         9.676e-05 
  2590.300          68.699     -5.936     -8.937            6.211        18697.627      1.690      0.000      0.000    0.00376   20.78257           -1.49060       98.90805         9.893e-05 
  2591.300          68.537     -5.945     -8.882            6.160        18703.745      1.690      0.000      0.000    0.00368   20.59485           -1.51616       98.90161         1.012e-04 
  2592.300          68.373     -5.953     -8.828            6.110        18709.814      1.690      0.000      0.000    0.00360   20.40632           -1.54291       98.89521         1.035e-04 
  2593.300          68.208     -5.962     -8.774            6.059        18715.832      1.690      0.000      0.000    0.00352   20.21701           -1.57086       98.88885         1.058e-04 
  2594.300          68.041     -5.970     -8.721            6.008        18721.800      1.690      0.000      0.000    0.00344   20.02689           -1.60004       98.88252         1.083e-04 
  2595.300          67.875     -5.978     -8.669            5.775        18727.627      1.690      0.000      0.000    0.00336   19.30676           -1.63318       98.87675         1.107e-04 
