#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ASCATHRS.e451289e-5733-4b98-b37f-782c24ac28c2_Trajectory.txt
# RunID         : sara
# ObjectID      : e451289e-5733-4b98-b37f-782c24ac28c2
# ObjectName    : ASCATHRS
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      2.566      0.000      0.000    0.01482   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.076        18395.691      2.566      0.000      0.000    0.01479   24.43136           -0.93497       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.060        18398.835      2.566      0.000      0.000    0.01469   24.37839           -0.93788       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.026        18405.796      2.565      0.000      0.000    0.01445   24.25648           -0.94484       99.20415         4.198e-05 
  2547.750          74.536     -5.531    -11.477            6.992        18412.724      2.564      0.000      0.000    0.01420   24.12487           -0.95248       99.19737         4.271e-05 
  2548.750          74.420     -5.541    -11.415            6.957        18419.618      2.564      0.000      0.000    0.01396   23.99251           -0.96083       99.19061         4.347e-05 
  2549.750          74.303     -5.551    -11.354            6.922        18426.478      2.563      0.000      0.000    0.01372   23.85938           -0.96987       99.18386         4.423e-05 
  2550.750          74.185     -5.561    -11.293            6.887        18433.303      2.562      0.000      0.000    0.01348   23.72549           -0.97964       99.17714         4.502e-05 
  2551.750          74.067     -5.570    -11.233            6.851        18440.093      2.562      0.000      0.000    0.01324   23.59084           -0.99013       99.17043         4.582e-05 
  2552.750          73.949     -5.580    -11.173            6.816        18446.848      2.561      0.000      0.000    0.01301   23.45540           -1.00135       99.16375         4.664e-05 
  2553.750          73.829     -5.590    -11.113            6.778        18453.568      2.561      0.000      0.000    0.01278   23.31519           -1.01333       99.15708         4.748e-05 
  2554.750          73.709     -5.599    -11.053            6.732        18460.245      2.560      0.000      0.000    0.01255   23.14689           -1.02619       99.15045         4.834e-05 
  2555.750          73.588     -5.609    -10.994            6.671        18466.870      2.560      0.000      0.000    0.01233   22.93154           -1.04017       99.14385         4.921e-05 
  2556.750          73.467     -5.618    -10.936            6.584        18473.422      2.560      0.000      0.000    0.01211   22.63253           -1.05574       99.13730         5.011e-05 
  2557.750          73.346     -5.628    -10.878            6.438        18479.859      2.560      0.000      0.000    0.01189   22.14404           -1.07385       99.13087         5.102e-05 
  2558.750          73.228     -5.636    -10.824            6.022        18486.014      2.559      0.000      0.000    0.01168   20.81399           -1.09846       99.12474         5.192e-05 
