#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ASCATRFU2.ca777b00-e3d2-4e6c-8afa-c1257614e57c_Trajectory.txt
# RunID         : sara
# ObjectID      : ca777b00-e3d2-4e6c-8afa-c1257614e57c
# ObjectName    : ASCATRFU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      1.176      0.000      0.000    0.00792   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      1.176      0.000      0.000    0.00790   24.43788           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.072        18398.838      1.176      0.000      0.000    0.00785   24.41519           -0.93781       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.060        18405.822      1.176      0.000      0.000    0.00772   24.36279           -0.94432       99.20414         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.047        18412.794      1.176      0.000      0.000    0.00759   24.30595           -0.95108       99.19733         4.272e-05 
  2548.750          74.418     -5.541    -11.414            7.034        18419.753      1.176      0.000      0.000    0.00745   24.24851           -0.95810       99.19051         4.348e-05 
  2549.750          74.300     -5.551    -11.352            7.021        18426.700      1.176      0.000      0.000    0.00732   24.19043           -0.96537       99.18370         4.425e-05 
  2550.750          74.181     -5.561    -11.290            7.008        18433.634      1.176      0.000      0.000    0.00720   24.13173           -0.97292       99.17689         4.504e-05 
  2551.750          74.062     -5.571    -11.229            6.994        18440.554      1.176      0.000      0.000    0.00707   24.07239           -0.98073       99.17007         4.586e-05 
  2552.750          73.942     -5.581    -11.167            6.981        18447.462      1.176      0.000      0.000    0.00694   24.01238           -0.98882       99.16326         4.668e-05 
  2553.750          73.821     -5.591    -11.106            6.967        18454.355      1.176      0.000      0.000    0.00682   23.95171           -0.99719       99.15644         4.753e-05 
  2554.750          73.699     -5.601    -11.044            6.953        18461.235      1.176      0.000      0.000    0.00670   23.89036           -1.00584       99.14963         4.840e-05 
  2555.750          73.577     -5.611    -10.983            6.939        18468.102      1.176      0.000      0.000    0.00658   23.82832           -1.01478       99.14281         4.929e-05 
  2556.750          73.454     -5.620    -10.922            6.924        18474.954      1.176      0.000      0.000    0.00646   23.76557           -1.02401       99.13600         5.021e-05 
  2557.750          73.329     -5.630    -10.861            6.909        18481.792      1.176      0.000      0.000    0.00634   23.70210           -1.03354       99.12919         5.114e-05 
  2558.750          73.204     -5.640    -10.800            6.895        18488.615      1.176      0.000      0.000    0.00622   23.63791           -1.04337       99.12238         5.210e-05 
  2559.750          73.078     -5.650    -10.740            6.879        18495.424      1.176      0.000      0.000    0.00611   23.57296           -1.05351       99.11557         5.308e-05 
  2560.750          72.951     -5.660    -10.679            6.864        18502.218      1.176      0.000      0.000    0.00599   23.50727           -1.06396       99.10876         5.409e-05 
  2561.750          72.823     -5.669    -10.619            6.849        18508.996      1.176      0.000      0.000    0.00588   23.44080           -1.07474       99.10195         5.512e-05 
  2562.750          72.694     -5.679    -10.558            6.833        18515.759      1.176      0.000      0.000    0.00577   23.37354           -1.08583       99.09515         5.618e-05 
  2563.750          72.564     -5.689    -10.498            6.817        18522.507      1.176      0.000      0.000    0.00566   23.30548           -1.09726       99.08835         5.727e-05 
  2564.750          72.433     -5.698    -10.438            6.801        18529.239      1.176      0.000      0.000    0.00555   23.23660           -1.10902       99.08155         5.838e-05 
  2565.750          72.301     -5.708    -10.378            6.784        18535.955      1.176      0.000      0.000    0.00544   23.16690           -1.12113       99.07476         5.953e-05 
  2566.750          72.168     -5.717    -10.319            6.767        18542.654      1.176      0.000      0.000    0.00534   23.09634           -1.13358       99.06797         6.071e-05 
  2567.750          72.033     -5.727    -10.259            6.750        18549.337      1.176      0.000      0.000    0.00523   23.02492           -1.14638       99.06119         6.191e-05 
  2568.750          71.898     -5.736    -10.200            6.733        18556.003      1.176      0.000      0.000    0.00513   22.95263           -1.15955       99.05441         6.316e-05 
  2569.750          71.761     -5.746    -10.140            6.716        18562.653      1.176      0.000      0.000    0.00503   22.87843           -1.17308       99.04763         6.443e-05 
  2570.750          71.623     -5.755    -10.081            6.698        18569.284      1.176      0.000      0.000    0.00493   22.79862           -1.18698       99.04086         6.571e-05 
  2571.750          71.483     -5.765    -10.022            6.680        18575.899      1.176      0.000      0.000    0.00484   22.71792           -1.20127       99.03410         6.703e-05 
  2572.750          71.343     -5.774     -9.964            6.662        18582.495      1.176      0.000      0.000    0.00474   22.63631           -1.21594       99.02734         6.838e-05 
  2573.750          71.201     -5.783     -9.905            6.643        18589.073      1.176      0.000      0.000    0.00465   22.55178           -1.23101       99.02059         6.977e-05 
  2574.750          71.057     -5.793     -9.846            6.622        18595.632      1.176      0.000      0.000    0.00455   22.46268           -1.24651       99.01385         7.120e-05 
  2575.750          70.912     -5.802     -9.788            6.600        18602.169      1.176      0.000      0.000    0.00446   22.36831           -1.26247       99.00712         7.267e-05 
  2576.750          70.766     -5.811     -9.730            6.576        18608.684      1.176      0.000      0.000    0.00437   22.26803           -1.27894       99.00040         7.419e-05 
  2577.750          70.619     -5.820     -9.672            6.550        18615.174      1.176      0.000      0.000    0.00428   22.16106           -1.29594       98.99370         7.574e-05 
  2578.750          70.470     -5.829     -9.615            6.522        18621.638      1.176      0.000      0.000    0.00419   22.04647           -1.31354       98.98701         7.734e-05 
  2579.750          70.320     -5.838     -9.557            6.491        18628.072      1.176      0.000      0.000    0.00410   21.92316           -1.33180       98.98035         7.899e-05 
  2580.750          70.168     -5.847     -9.500            6.457        18634.475      1.176      0.000      0.000    0.00402   21.78974           -1.35077       98.97372         8.069e-05 
  2581.750          70.016     -5.856     -9.443            6.419        18640.842      1.176      0.000      0.000    0.00393   21.64449           -1.37054       98.96711         8.243e-05 
  2582.750          69.861     -5.865     -9.387            6.377        18647.170      1.176      0.000      0.000    0.00385   21.48525           -1.39120       98.96054         8.422e-05 
  2583.750          69.706     -5.874     -9.331            6.330        18653.454      1.176      0.000      0.000    0.00377   21.30923           -1.41287       98.95401         8.606e-05 
  2584.750          69.549     -5.883     -9.275            6.277        18659.688      1.176      0.000      0.000    0.00368   21.11275           -1.43568       98.94753         8.796e-05 
  2585.750          69.391     -5.892     -9.220            6.216        18665.866      1.176      0.000      0.000    0.00361   20.89086           -1.45983       98.94111         8.991e-05 
  2586.750          69.233     -5.900     -9.166            6.145        18671.979      1.176      0.000      0.000    0.00353   20.63665           -1.48553       98.93476         9.190e-05 
  2587.750          69.073     -5.909     -9.112            6.060        18678.014      1.176      0.000      0.000    0.00345   20.34014           -1.51308       98.92851         9.396e-05 
  2588.750          68.913     -5.917     -9.059            5.958        18683.958      1.176      0.000      0.000    0.00337   19.98623           -1.54291       98.92238         9.606e-05 
  2589.750          68.752     -5.925     -9.007            5.830        18689.787      1.176      0.000      0.000    0.00330   19.55056           -1.57561       98.91642         9.820e-05 
  2590.750          68.593     -5.933     -8.956            5.663        18695.471      1.176      0.000      0.000    0.00323   18.99058           -1.61214       98.91069         1.004e-04 
  2591.750          68.435     -5.941     -8.907            5.431        18700.956      1.176      0.000      0.000    0.00316   18.22267           -1.65412       98.90534         1.026e-04 
  2592.750          68.281     -5.948     -8.861            5.069        18706.146      1.176      0.000      0.000    0.00309   17.05090           -1.70490       98.90070         1.048e-04 
