#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.CCU-internal.e993bb4e-86ad-4974-892d-812c328dd123_Trajectory.txt
# RunID         : sara
# ObjectID      : e993bb4e-86ad-4974-892d-812c328dd123
# ObjectName    : CCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2484.650          80.225     -4.858    -15.526            7.040        17957.635      1.047      0.000      0.000    0.01241   24.94705           -0.83237       99.61335         1.781e-05 
  2484.750          80.215     -4.859    -15.519            7.039        17958.330      1.047      0.000      0.000    0.01240   24.94315           -0.83307       99.61276         1.784e-05 
  2485.200          80.169     -4.864    -15.492            7.035        17961.458      1.047      0.000      0.000    0.01231   24.92498           -0.83622       99.61007         1.795e-05 
  2486.200          80.066     -4.874    -15.430            7.026        17968.401      1.047      0.000      0.000    0.01213   24.88302           -0.84335       99.60410         1.823e-05 
  2487.200          79.962     -4.885    -15.368            7.017        17975.336      1.047      0.000      0.000    0.01193   24.83751           -0.85067       99.59813         1.853e-05 
  2488.200          79.858     -4.895    -15.307            7.007        17982.262      1.047      0.000      0.000    0.01174   24.79155           -0.85818       99.59215         1.884e-05 
  2489.200          79.752     -4.906    -15.245            6.998        17989.178      1.047      0.000      0.000    0.01154   24.74508           -0.86587       99.58616         1.915e-05 
  2490.200          79.646     -4.916    -15.184            6.988        17996.086      1.047      0.000      0.000    0.01135   24.69810           -0.87376       99.58017         1.948e-05 
  2491.200          79.539     -4.926    -15.123            6.979        18002.983      1.047      0.000      0.000    0.01116   24.65062           -0.88184       99.57417         1.981e-05 
  2492.200          79.431     -4.937    -15.061            6.969        18009.872      1.047      0.000      0.000    0.01098   24.60262           -0.89012       99.56816         2.014e-05 
  2493.200          79.323     -4.947    -15.000            6.959        18016.750      1.047      0.000      0.000    0.01079   24.55409           -0.89860       99.56215         2.049e-05 
  2494.200          79.213     -4.957    -14.939            6.949        18023.619      1.047      0.000      0.000    0.01061   24.50502           -0.90729       99.55613         2.085e-05 
  2495.200          79.103     -4.968    -14.878            6.938        18030.477      1.047      0.000      0.000    0.01042   24.45540           -0.91618       99.55011         2.121e-05 
  2496.200          78.991     -4.978    -14.817            6.928        18037.326      1.047      0.000      0.000    0.01024   24.40521           -0.92529       99.54408         2.158e-05 
  2497.200          78.879     -4.988    -14.756            6.917        18044.164      1.047      0.000      0.000    0.01007   24.35445           -0.93461       99.53805         2.196e-05 
  2498.200          78.766     -4.998    -14.696            6.907        18050.992      1.047      0.000      0.000    0.00989   24.30310           -0.94415       99.53201         2.236e-05 
  2499.200          78.651     -5.009    -14.635            6.896        18057.809      1.047      0.000      0.000    0.00971   24.25116           -0.95391       99.52597         2.276e-05 
  2500.200          78.536     -5.019    -14.575            6.881        18064.613      1.047      0.000      0.000    0.00954   24.18652           -0.96393       99.51992         2.317e-05 
  2501.200          78.420     -5.029    -14.514            6.847        18071.394      1.047      0.000      0.000    0.00937   24.06149           -0.97446       99.51387         2.359e-05 
