#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Compound_of-_IFring-PLM-SVM-SolarP.2586696812663314322_Trajectory.txt
# RunID         : sara
# ObjectID      : 2586696812663314322
# ObjectName    : Compound_of-_IFring-PLM-SVM-SolarP
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000         125.010      6.105   -176.723            7.369            0.000      1.829      0.000      0.000    0.51126   16.92329            0.00155       81.20679         1.290e-08 
     0.100         125.011      6.106   -176.716            7.369            0.723      1.829      0.000      0.000    0.51126   16.92328            0.00155       81.20757         1.290e-08 
     0.550         125.011      6.111   -176.687            7.369            3.976      1.829      0.000      0.000    0.51126   16.92325            0.00156       81.21106         1.290e-08 
     1.550         125.011      6.121   -176.623            7.369           11.204      1.829      0.000      0.000    0.51127   16.92319            0.00158       81.21883         1.290e-08 
     2.550         125.011      6.131   -176.558            7.369           18.433      1.829      0.000      0.000    0.51128   16.92312            0.00159       81.22661         1.290e-08 
     3.550         125.011      6.141   -176.493            7.369           25.661      1.829      0.000      0.000    0.51129   16.92304            0.00161       81.23440         1.290e-08 
     4.550         125.011      6.150   -176.429            7.369           32.890      1.829      0.000      0.000    0.51130   16.92297            0.00162       81.24221         1.290e-08 
     5.550         125.012      6.160   -176.364            7.369           40.118      1.829      0.000      0.000    0.51131   16.92290            0.00164       81.25002         1.290e-08 
     6.550         125.012      6.170   -176.300            7.369           47.346      1.829      0.000      0.000    0.51132   16.92282            0.00165       81.25785         1.290e-08 
     7.550         125.012      6.180   -176.235            7.369           54.575      1.829      0.000      0.000    0.51133   16.92275            0.00167       81.26570         1.290e-08 
     8.550         125.012      6.190   -176.171            7.369           61.803      1.829      0.000      0.000    0.51134   16.92267            0.00168       81.27356         1.290e-08 
     9.550         125.012      6.200   -176.106            7.369           69.032      1.829      0.000      0.000    0.51135   16.92260            0.00170       81.28143         1.290e-08 
    10.550         125.013      6.210   -176.042            7.369           76.260      1.829      0.000      0.000    0.51137   16.92252            0.00171       81.28931         1.290e-08 
    11.550         125.013      6.220   -175.977            7.369           83.488      1.829      0.000      0.000    0.51138   16.92245            0.00173       81.29720         1.290e-08 
    12.550         125.013      6.230   -175.913            7.369           90.717      1.829      0.000      0.000    0.51139   16.92237            0.00174       81.30511         1.290e-08 
    13.550         125.013      6.240   -175.848            7.369           97.945      1.829      0.000      0.000    0.51140   16.92229            0.00175       81.31303         1.290e-08 
    14.550         125.014      6.250   -175.783            7.369          105.173      1.829      0.000      0.000    0.51141   16.92222            0.00177       81.32096         1.290e-08 
    15.550         125.014      6.259   -175.719            7.369          112.402      1.829      0.000      0.000    0.51142   16.92214            0.00178       81.32891         1.290e-08 
    16.550         125.014      6.269   -175.654            7.369          119.630      1.829      0.000      0.000    0.51143   16.92206            0.00180       81.33687         1.290e-08 
    17.550         125.014      6.279   -175.590            7.369          126.858      1.829      0.000      0.000    0.51144   16.92198            0.00181       81.34484         1.290e-08 
    18.550         125.015      6.289   -175.525            7.369          134.087      1.829      0.000      0.000    0.51145   16.92190            0.00182       81.35283         1.290e-08 
    19.550         125.015      6.299   -175.461            7.369          141.315      1.829      0.000      0.000    0.51147   16.92182            0.00183       81.36082         1.290e-08 
    20.550         125.015      6.309   -175.396            7.369          148.543      1.829      0.000      0.000    0.51148   16.92174            0.00185       81.36883         1.290e-08 
    21.550         125.015      6.318   -175.331            7.369          155.771      1.829      0.000      0.000    0.51149   16.92166            0.00186       81.37686         1.289e-08 
    22.550         125.015      6.328   -175.267            7.369          163.000      1.829      0.000      0.000    0.51150   16.92158            0.00187       81.38489         1.289e-08 
    23.550         125.016      6.338   -175.202            7.369          170.228      1.829      0.000      0.000    0.51151   16.92150            0.00188       81.39294         1.289e-08 
