#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Compound_of-_IFring-PLM-SVM.17068167775374247114_Trajectory.txt
# RunID         : sara
# ObjectID      : 17068167775374247114
# ObjectName    : Compound_of-_IFring-PLM-SVM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2150.550          99.787     -0.939    -36.828            7.354        15549.977      0.933      0.000      0.000    0.03385   26.06840           -0.30766      100.85258         5.831e-07 
  2150.650          99.783     -0.941    -36.821            7.354        15550.701      0.933      0.000      0.000    0.03382   26.06897           -0.30772      100.85246         5.835e-07 
  2151.100          99.766     -0.946    -36.793            7.354        15553.960      0.933      0.000      0.000    0.03373   26.07158           -0.30798      100.85192         5.852e-07 
  2152.100          99.726     -0.959    -36.729            7.354        15561.203      0.932      0.000      0.000    0.03351   26.07758           -0.30857      100.85071         5.891e-07 
  2153.100          99.686     -0.971    -36.665            7.354        15568.445      0.930      0.000      0.000    0.03327   26.08403           -0.30915      100.84949         5.933e-07 
  2154.100          99.647     -0.983    -36.601            7.354        15575.688      0.929      0.000      0.000    0.03304   26.09042           -0.30974      100.84825         5.976e-07 
  2155.100          99.607     -0.995    -36.537            7.354        15582.930      0.928      0.000      0.000    0.03281   26.09682           -0.31033      100.84700         6.019e-07 
  2156.100          99.567     -1.008    -36.473            7.354        15590.173      0.927      0.000      0.000    0.03258   26.10318           -0.31092      100.84572         6.062e-07 
  2157.100          99.527     -1.020    -36.409            7.354        15597.416      0.926      0.000      0.000    0.03235   26.10953           -0.31151      100.84444         6.106e-07 
  2158.100          99.487     -1.032    -36.345            7.354        15604.658      0.925      0.000      0.000    0.03212   26.11588           -0.31210      100.84314         6.150e-07 
  2159.100          99.447     -1.045    -36.281            7.354        15611.901      0.924      0.000      0.000    0.03189   26.12218           -0.31269      100.84182         6.195e-07 
  2160.100          99.407     -1.057    -36.218            7.354        15619.144      0.923      0.000      0.000    0.03166   26.12848           -0.31328      100.84049         6.240e-07 
  2161.100          99.367     -1.069    -36.154            7.354        15626.387      0.922      0.000      0.000    0.03144   26.13475           -0.31387      100.83914         6.286e-07 
  2162.100          99.326     -1.082    -36.090            7.354        15633.630      0.921      0.000      0.000    0.03121   26.14100           -0.31446      100.83777         6.332e-07 
  2163.100          99.286     -1.094    -36.026            7.354        15640.873      0.920      0.000      0.000    0.03099   26.14725           -0.31505      100.83639         6.378e-07 
  2164.100          99.245     -1.106    -35.962            7.354        15648.115      0.919      0.000      0.000    0.03077   26.15345           -0.31565      100.83500         6.425e-07 
  2165.100          99.205     -1.119    -35.898            7.354        15655.358      0.918      0.000      0.000    0.03054   26.15966           -0.31624      100.83359         6.472e-07 
  2166.100          99.164     -1.131    -35.834            7.354        15662.601      0.917      0.000      0.000    0.03032   26.16582           -0.31684      100.83216         6.520e-07 
  2167.100          99.123     -1.143    -35.770            7.354        15669.844      0.916      0.000      0.000    0.03010   26.17197           -0.31743      100.83072         6.569e-07 
  2168.100          99.083     -1.156    -35.706            7.354        15677.087      0.915      0.000      0.000    0.02989   26.17812           -0.31803      100.82926         6.617e-07 
  2169.100          99.042     -1.168    -35.642            7.354        15684.331      0.914      0.000      0.000    0.02967   26.18421           -0.31863      100.82779         6.666e-07 
  2170.100          99.001     -1.180    -35.579            7.354        15691.574      0.913      0.000      0.000    0.02945   26.19033           -0.31923      100.82630         6.716e-07 
