#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.DPU-SEM.bd7f8fe5-b32a-460c-b396-4790d4115078_Trajectory.txt
# RunID         : sara
# ObjectID      : bd7f8fe5-b32a-460c-b396-4790d4115078
# ObjectName    : DPU-SEM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      2.656      0.000      0.000    0.00746   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      2.656      0.000      0.000    0.00744   24.43811           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.073        18398.838      2.656      0.000      0.000    0.00739   24.41645           -0.93781       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.061        18405.823      2.656      0.000      0.000    0.00727   24.36643           -0.94430       99.20413         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.049        18412.796      2.656      0.000      0.000    0.00715   24.31218           -0.95103       99.19732         4.272e-05 
  2548.750          74.418     -5.541    -11.414            7.037        18419.758      2.656      0.000      0.000    0.00702   24.25733           -0.95800       99.19051         4.348e-05 
  2549.750          74.300     -5.551    -11.352            7.024        18426.708      2.656      0.000      0.000    0.00690   24.20189           -0.96522       99.18369         4.425e-05 
  2550.750          74.181     -5.561    -11.290            7.012        18433.645      2.656      0.000      0.000    0.00678   24.14584           -0.97269       99.17688         4.505e-05 
  2551.750          74.062     -5.571    -11.228            6.999        18440.570      2.656      0.000      0.000    0.00666   24.08917           -0.98041       99.17006         4.586e-05 
  2552.750          73.942     -5.581    -11.167            6.986        18447.483      2.656      0.000      0.000    0.00654   24.03187           -0.98839       99.16324         4.669e-05 
  2553.750          73.821     -5.591    -11.105            6.973        18454.383      2.656      0.000      0.000    0.00642   23.97393           -0.99663       99.15642         4.754e-05 
  2554.750          73.699     -5.601    -11.044            6.960        18461.270      2.656      0.000      0.000    0.00631   23.91532           -1.00514       99.14960         4.841e-05 
  2555.750          73.576     -5.611    -10.983            6.947        18468.144      2.656      0.000      0.000    0.00619   23.85606           -1.01392       99.14278         4.930e-05 
  2556.750          73.453     -5.621    -10.922            6.933        18475.004      2.656      0.000      0.000    0.00608   23.79611           -1.02298       99.13596         5.021e-05 
  2557.750          73.329     -5.630    -10.861            6.919        18481.852      2.656      0.000      0.000    0.00597   23.73547           -1.03232       99.12914         5.114e-05 
  2558.750          73.204     -5.640    -10.800            6.905        18488.685      2.656      0.000      0.000    0.00586   23.67413           -1.04194       99.12232         5.210e-05 
