#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EPRM-internal.4c707658-3801-43cf-b238-692903c62d74_Trajectory.txt
# RunID         : sara
# ObjectID      : 4c707658-3801-43cf-b238-692903c62d74
# ObjectName    : EPRM-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2488.650          79.815     -4.900    -15.276            7.023        17985.683      1.300      0.000      0.000    0.01215   24.83436           -0.85547       99.58922         1.900e-05 
  2488.750          79.805     -4.901    -15.270            7.022        17986.376      1.300      0.000      0.000    0.01214   24.83032           -0.85620       99.58862         1.903e-05 
  2489.200          79.757     -4.906    -15.242            7.018        17989.496      1.300      0.000      0.000    0.01205   24.81150           -0.85951       99.58591         1.916e-05 
  2490.200          79.652     -4.917    -15.181            7.008        17996.423      1.300      0.000      0.000    0.01187   24.76804           -0.86700       99.57990         1.946e-05 
  2491.200          79.545     -4.927    -15.119            6.998        18003.340      1.299      0.000      0.000    0.01167   24.72090           -0.87469       99.57389         1.979e-05 
  2492.200          79.438     -4.937    -15.058            6.989        18010.248      1.299      0.000      0.000    0.01148   24.67325           -0.88257       99.56787         2.012e-05 
  2493.200          79.330     -4.948    -14.997            6.979        18017.146      1.299      0.000      0.000    0.01128   24.62508           -0.89066       99.56184         2.047e-05 
  2494.200          79.221     -4.958    -14.935            6.969        18024.034      1.299      0.000      0.000    0.01109   24.57638           -0.89894       99.55581         2.082e-05 
  2495.200          79.111     -4.968    -14.874            6.958        18030.913      1.299      0.000      0.000    0.01090   24.52714           -0.90743       99.54977         2.118e-05 
  2496.200          79.001     -4.979    -14.813            6.948        18037.781      1.299      0.000      0.000    0.01072   24.47735           -0.91613       99.54373         2.155e-05 
  2497.200          78.889     -4.989    -14.752            6.938        18044.639      1.299      0.000      0.000    0.01053   24.42700           -0.92504       99.53768         2.193e-05 
  2498.200          78.777     -4.999    -14.691            6.927        18051.487      1.299      0.000      0.000    0.01035   24.37608           -0.93417       99.53163         2.232e-05 
  2499.200          78.663     -5.009    -14.631            6.916        18058.325      1.299      0.000      0.000    0.01017   24.32457           -0.94351       99.52557         2.272e-05 
  2500.200          78.549     -5.020    -14.570            6.905        18065.151      1.299      0.000      0.000    0.00999   24.27246           -0.95308       99.51950         2.312e-05 
  2501.200          78.434     -5.030    -14.509            6.894        18071.967      1.299      0.000      0.000    0.00981   24.21975           -0.96287       99.51343         2.354e-05 
  2502.200          78.317     -5.040    -14.449            6.883        18078.772      1.299      0.000      0.000    0.00963   24.16642           -0.97290       99.50736         2.397e-05 
  2503.200          78.200     -5.050    -14.388            6.871        18085.566      1.299      0.000      0.000    0.00946   24.11245           -0.98316       99.50129         2.441e-05 
  2504.200          78.081     -5.060    -14.328            6.859        18092.348      1.299      0.000      0.000    0.00929   24.05458           -0.99366       99.49520         2.486e-05 
  2505.200          77.962     -5.070    -14.268            6.836        18099.112      1.299      0.000      0.000    0.00912   23.96523           -1.00453       99.48912         2.533e-05 
  2506.200          77.842     -5.080    -14.208            6.740        18105.818      1.299      0.000      0.000    0.00895   23.64814           -1.01662       99.48302         2.580e-05 
