#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.FMU2.d48a1d8d-51ba-40f2-b422-84fe47391013_Trajectory.txt
# RunID         : sara
# ObjectID      : d48a1d8d-51ba-40f2-b422-84fe47391013
# ObjectName    : FMU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      1.460      0.000      0.000    0.00667   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      1.460      0.000      0.000    0.00666   24.43715           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.071        18398.837      1.460      0.000      0.000    0.00661   24.41104           -0.93782       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.056        18405.819      1.460      0.000      0.000    0.00650   24.35076           -0.94438       99.20414         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.041        18412.786      1.460      0.000      0.000    0.00639   24.28540           -0.95124       99.19733         4.272e-05 
  2548.750          74.418     -5.541    -11.414            7.025        18419.738      1.460      0.000      0.000    0.00628   24.21936           -0.95840       99.19052         4.348e-05 
  2549.750          74.300     -5.551    -11.352            7.010        18426.675      1.460      0.000      0.000    0.00617   24.15263           -0.96588       99.18372         4.425e-05 
  2550.750          74.182     -5.561    -11.291            6.994        18433.596      1.460      0.000      0.000    0.00606   24.08520           -0.97368       99.17692         4.504e-05 
  2551.750          74.063     -5.571    -11.229            6.978        18440.502      1.460      0.000      0.000    0.00595   24.01705           -0.98180       99.17011         4.585e-05 
  2552.750          73.943     -5.581    -11.168            6.962        18447.391      1.460      0.000      0.000    0.00585   23.94818           -0.99024       99.16331         4.668e-05 
  2553.750          73.822     -5.591    -11.106            6.945        18454.265      1.460      0.000      0.000    0.00574   23.87857           -0.99902       99.15652         4.753e-05 
  2554.750          73.700     -5.601    -11.045            6.928        18461.123      1.460      0.000      0.000    0.00564   23.80820           -1.00814       99.14972         4.840e-05 
  2555.750          73.578     -5.610    -10.984            6.912        18467.963      1.460      0.000      0.000    0.00554   23.73707           -1.01759       99.14293         4.928e-05 
  2556.750          73.455     -5.620    -10.924            6.894        18474.788      1.460      0.000      0.000    0.00544   23.66517           -1.02740       99.13614         5.020e-05 
  2557.750          73.331     -5.630    -10.863            6.877        18481.595      1.460      0.000      0.000    0.00534   23.59247           -1.03756       99.12935         5.113e-05 
  2558.750          73.206     -5.640    -10.802            6.859        18488.385      1.460      0.000      0.000    0.00524   23.51896           -1.04809       99.12257         5.209e-05 
  2559.750          73.080     -5.649    -10.742            6.842        18495.157      1.460      0.000      0.000    0.00515   23.44464           -1.05897       99.11580         5.307e-05 
  2560.750          72.953     -5.659    -10.682            6.823        18501.912      1.460      0.000      0.000    0.00505   23.36948           -1.07024       99.10902         5.407e-05 
  2561.750          72.825     -5.669    -10.622            6.805        18508.649      1.460      0.000      0.000    0.00495   23.29348           -1.08188       99.10226         5.510e-05 
  2562.750          72.696     -5.678    -10.562            6.787        18515.368      1.460      0.000      0.000    0.00486   23.21661           -1.09390       99.09550         5.616e-05 
  2563.750          72.566     -5.688    -10.502            6.768        18522.069      1.460      0.000      0.000    0.00477   23.13886           -1.10632       99.08874         5.725e-05 
  2564.750          72.435     -5.697    -10.443            6.749        18528.751      1.460      0.000      0.000    0.00468   23.06022           -1.11913       99.08199         5.837e-05 
  2565.750          72.302     -5.707    -10.383            6.729        18535.413      1.460      0.000      0.000    0.00459   22.98066           -1.13235       99.07525         5.952e-05 
  2566.750          72.169     -5.716    -10.324            6.710        18542.057      1.460      0.000      0.000    0.00450   22.90018           -1.14599       99.06851         6.070e-05 
  2567.750          72.034     -5.726    -10.265            6.690        18548.681      1.460      0.000      0.000    0.00441   22.81875           -1.16004       99.06178         6.191e-05 
  2568.750          71.898     -5.735    -10.206            6.669        18555.286      1.460      0.000      0.000    0.00432   22.73636           -1.17452       99.05506         6.316e-05 
  2569.750          71.760     -5.745    -10.147            6.649        18561.870      1.460      0.000      0.000    0.00424   22.65198           -1.18943       99.04834         6.443e-05 
  2570.750          71.622     -5.754    -10.089            6.628        18568.434      1.460      0.000      0.000    0.00415   22.56196           -1.20479       99.04164         6.572e-05 
  2571.750          71.482     -5.763    -10.031            6.607        18574.978      1.460      0.000      0.000    0.00407   22.47096           -1.22060       99.03494         6.704e-05 
  2572.750          71.340     -5.773     -9.972            6.586        18581.501      1.460      0.000      0.000    0.00399   22.37898           -1.23686       99.02826         6.840e-05 
  2573.750          71.197     -5.782     -9.914            6.563        18588.002      1.460      0.000      0.000    0.00391   22.28241           -1.25360       99.02158         6.980e-05 
  2574.750          71.053     -5.791     -9.857            6.538        18594.479      1.460      0.000      0.000    0.00383   22.18015           -1.27087       99.01492         7.124e-05 
  2575.750          70.907     -5.800     -9.799            6.512        18600.932      1.460      0.000      0.000    0.00375   22.07149           -1.28869       99.00827         7.273e-05 
  2576.750          70.760     -5.809     -9.742            6.483        18607.357      1.460      0.000      0.000    0.00368   21.95566           -1.30711       99.00165         7.425e-05 
  2577.750          70.612     -5.818     -9.685            6.452        18613.753      1.460      0.000      0.000    0.00360   21.83167           -1.32620       98.99504         7.582e-05 
  2578.750          70.462     -5.827     -9.628            6.418        18620.117      1.460      0.000      0.000    0.00353   21.69840           -1.34602       98.98846         7.744e-05 
  2579.750          70.310     -5.836     -9.572            6.381        18626.446      1.460      0.000      0.000    0.00345   21.55445           -1.36663       98.98191         7.910e-05 
  2580.750          70.157     -5.845     -9.516            6.340        18632.737      1.460      0.000      0.000    0.00338   21.39810           -1.38812       98.97539         8.081e-05 
  2581.750          70.003     -5.854     -9.460            6.295        18638.984      1.460      0.000      0.000    0.00331   21.22722           -1.41060       98.96891         8.257e-05 
  2582.750          69.847     -5.863     -9.405            6.244        18645.185      1.460      0.000      0.000    0.00324   21.03913           -1.43418       98.96248         8.438e-05 
  2583.750          69.690     -5.871     -9.350            6.187        18651.332      1.460      0.000      0.000    0.00317   20.83033           -1.45901       98.95610         8.625e-05 
  2584.750          69.532     -5.880     -9.295            6.122        18657.419      1.460      0.000      0.000    0.00310   20.59626           -1.48528       98.94978         8.816e-05 
  2585.750          69.373     -5.888     -9.242            6.048        18663.437      1.460      0.000      0.000    0.00303   20.33077           -1.51321       98.94354         9.013e-05 
  2586.750          69.213     -5.897     -9.189            5.961        18669.376      1.460      0.000      0.000    0.00296   20.02532           -1.54311       98.93740         9.215e-05 
  2587.750          69.052     -5.905     -9.137            5.858        18675.220      1.460      0.000      0.000    0.00290   19.66766           -1.57536       98.93138         9.422e-05 
  2588.750          68.891     -5.913     -9.086            5.733        18680.952      1.460      0.000      0.000    0.00283   19.23944           -1.61053       98.92552         9.634e-05 
  2589.750          68.730     -5.921     -9.036            5.577        18686.544      1.460      0.000      0.000    0.00277   18.71169           -1.64940       98.91988         9.850e-05 
  2590.750          68.571     -5.928     -8.987            5.374        18691.959      1.460      0.000      0.000    0.00271   18.03548           -1.69323       98.91454         1.007e-04 
  2591.750          68.414     -5.936     -8.941            5.096        18697.134      1.460      0.000      0.000    0.00265   17.12081           -1.74413       98.90969         1.029e-04 
  2592.750          68.263     -5.942     -8.898            4.684        18701.965      1.460      0.000      0.000    0.00260   15.78359           -1.80623       98.90572         1.051e-04 
  2593.371          68.174     -5.946     -8.874            4.242        18704.702      1.460      0.000      0.000    0.00257   14.31206           -1.85488       98.90443         1.064e-04 
  2593.738          68.126     -5.948     -8.861            3.837        18706.166      1.460      0.000      0.000    0.00255   12.94578           -1.89076       98.90475         1.072e-04 
  2594.048          68.089     -5.950     -8.851            3.404        18707.274      1.460      0.000      0.000    0.00253   11.51052           -1.92823       98.90612         1.078e-04 
  2594.327          68.059     -5.951     -8.843            2.966        18708.150      1.460      0.000      0.000    0.00252   10.05140           -1.97008       98.90856         1.082e-04 
  2594.614          68.031     -5.952     -8.836            2.531        18708.925      1.460      0.000      0.000    0.00251    8.59935           -2.02332       98.91225         1.087e-04 
  2594.900          68.007     -5.953     -8.830            2.163        18709.588      1.460      0.000      0.000    0.00250    7.35009           -2.08826       98.91680         1.090e-04 
  2595.203          67.985     -5.954     -8.825            1.865        18710.189      1.460      0.000      0.000    0.00250    6.33213           -2.16994       98.92192         1.094e-04 
