#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.H-SSPA2.50035c84-d1c9-41bb-82a1-2b10a91569f0_Trajectory.txt
# RunID         : sara
# ObjectID      : 50035c84-d1c9-41bb-82a1-2b10a91569f0
# ObjectName    : H-SSPA2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      1.621      0.000      0.000    0.01058   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.077        18395.691      1.621      0.000      0.000    0.01056   24.43527           -0.93497       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.068        18398.836      1.621      0.000      0.000    0.01049   24.40040           -0.93784       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.046        18405.812      1.621      0.000      0.000    0.01032   24.31999           -0.94453       99.20414         4.198e-05 
  2547.750          74.536     -5.531    -11.476            7.025        18412.766      1.621      0.000      0.000    0.01014   24.23290           -0.95164       99.19734         4.272e-05 
  2548.750          74.419     -5.541    -11.414            7.003        18419.699      1.621      0.000      0.000    0.00996   24.14500           -0.95919       99.19055         4.347e-05 
  2549.750          74.301     -5.551    -11.353            6.981        18426.610      1.621      0.000      0.000    0.00979   24.05630           -0.96719       99.18377         4.424e-05 
  2550.750          74.183     -5.561    -11.291            6.959        18433.500      1.621      0.000      0.000    0.00962   23.96677           -0.97563       99.17699         4.503e-05 
  2551.750          74.064     -5.571    -11.230            6.936        18440.368      1.621      0.000      0.000    0.00945   23.87642           -0.98452       99.17022         4.584e-05 
  2552.750          73.945     -5.581    -11.169            6.913        18447.213      1.621      0.000      0.000    0.00928   23.78522           -0.99388       99.16346         4.667e-05 
  2553.750          73.824     -5.590    -11.108            6.890        18454.036      1.621      0.000      0.000    0.00912   23.69317           -1.00370       99.15670         4.751e-05 
  2554.750          73.703     -5.600    -11.048            6.867        18460.835      1.621      0.000      0.000    0.00895   23.60025           -1.01400       99.14996         4.838e-05 
  2555.750          73.581     -5.610    -10.988            6.843        18467.612      1.621      0.000      0.000    0.00879   23.50645           -1.02478       99.14322         4.926e-05 
  2556.750          73.458     -5.620    -10.927            6.820        18474.366      1.621      0.000      0.000    0.00863   23.41175           -1.03606       99.13650         5.017e-05 
  2557.750          73.335     -5.629    -10.867            6.795        18481.096      1.621      0.000      0.000    0.00848   23.31616           -1.04783       99.12978         5.110e-05 
  2558.750          73.210     -5.639    -10.808            6.771        18487.802      1.621      0.000      0.000    0.00832   23.21964           -1.06011       99.12308         5.205e-05 
  2559.750          73.084     -5.648    -10.748            6.746        18494.484      1.621      0.000      0.000    0.00817   23.12141           -1.07290       99.11638         5.303e-05 
  2560.750          72.957     -5.658    -10.689            6.718        18501.139      1.621      0.000      0.000    0.00801   23.01324           -1.08625       99.10970         5.404e-05 
  2561.750          72.829     -5.667    -10.630            6.686        18507.765      1.621      0.000      0.000    0.00786   22.89154           -1.10024       99.10304         5.507e-05 
  2562.750          72.700     -5.677    -10.571            6.648        18514.357      1.621      0.000      0.000    0.00772   22.75250           -1.11498       99.09640         5.613e-05 
  2563.750          72.571     -5.686    -10.513            6.604        18520.908      1.621      0.000      0.000    0.00757   22.59049           -1.13059       99.08979         5.721e-05 
  2564.750          72.440     -5.696    -10.455            6.550        18527.410      1.621      0.000      0.000    0.00743   22.39667           -1.14727       99.08322         5.833e-05 
  2565.750          72.308     -5.705    -10.397            6.481        18533.852      1.621      0.000      0.000    0.00728   22.15601           -1.16529       99.07671         5.946e-05 
  2566.750          72.176     -5.714    -10.340            6.389        18540.215      1.621      0.000      0.000    0.00714   21.83980           -1.18509       99.07028         6.063e-05 
  2567.750          72.045     -5.723    -10.285            6.254        18546.465      1.621      0.000      0.000    0.00701   21.38224           -1.20748       99.06399         6.182e-05 
  2568.750          71.914     -5.731    -10.231            6.005        18552.524      1.621      0.000      0.000    0.00687   20.56884           -1.23443       99.05799         6.302e-05 
  2569.154          71.864     -5.735    -10.210            5.531        18554.825      1.621      0.000      0.000    0.00681   19.03373           -1.24930       99.05616         6.358e-05 
