#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.IASI-IMS-internal.4c90b642-dc9f-481d-89b1-f740beeca2a8_Trajectory.txt
# RunID         : sara
# ObjectID      : 4c90b642-dc9f-481d-89b1-f740beeca2a8
# ObjectName    : IASI-IMS-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2594.750          67.982     -5.981     -8.650            6.417        18729.818      1.124      0.000      0.000    0.00230   21.35785           -1.49520       98.87396         1.094e-04 
  2594.850          67.965     -5.982     -8.644            6.414        18730.453      1.124      0.000      0.000    0.00230   21.34649           -1.49724       98.87329         1.097e-04 
  2595.300          67.890     -5.986     -8.618            6.399        18733.305      1.124      0.000      0.000    0.00228   21.29364           -1.50647       98.87026         1.107e-04 
  2596.300          67.721     -5.995     -8.562            6.366        18739.619      1.124      0.000      0.000    0.00223   21.17168           -1.52753       98.86354         1.131e-04 
  2597.300          67.550     -6.004     -8.506            6.333        18745.900      1.124      0.000      0.000    0.00218   21.03945           -1.54934       98.85684         1.157e-04 
  2598.300          67.378     -6.012     -8.450            6.299        18752.148      1.124      0.000      0.000    0.00213   20.90592           -1.57192       98.85016         1.184e-04 
  2599.300          67.205     -6.021     -8.395            6.264        18758.363      1.124      0.000      0.000    0.00208   20.77106           -1.59528       98.84351         1.213e-04 
  2600.300          67.030     -6.030     -8.340            6.230        18764.543      1.124      0.000      0.000    0.00203   20.63486           -1.61944       98.83688         1.242e-04 
  2601.300          66.853     -6.038     -8.285            6.194        18770.688      1.124      0.000      0.000    0.00198   20.49730           -1.64441       98.83027         1.271e-04 
  2602.300          66.674     -6.047     -8.230            6.159        18776.799      1.124      0.000      0.000    0.00194   20.35837           -1.67022       98.82368         1.302e-04 
  2603.300          66.494     -6.055     -8.176            6.122        18782.874      1.124      0.000      0.000    0.00189   20.21807           -1.69687       98.81712         1.334e-04 
  2604.300          66.312     -6.063     -8.122            6.086        18788.914      1.124      0.000      0.000    0.00184   20.07637           -1.72438       98.81058         1.367e-04 
  2605.300          66.127     -6.072     -8.069            6.049        18794.917      1.124      0.000      0.000    0.00180   19.93327           -1.75277       98.80407         1.401e-04 
  2606.300          65.941     -6.080     -8.015            6.011        18800.883      1.124      0.000      0.000    0.00176   19.78875           -1.78206       98.79758         1.436e-04 
  2607.300          65.754     -6.088     -7.962            5.959        18806.805      1.124      0.000      0.000    0.00171   19.60067           -1.81249       98.79115         1.473e-04 
  2608.300          65.566     -6.096     -7.911            5.802        18812.622      1.124      0.000      0.000    0.00167   19.10758           -1.84586       98.78502         1.510e-04 
