#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.IntRing.c3301475-8229-4bb1-b60e-0685f572310b_Trajectory.txt
# RunID         : sara
# ObjectID      : c3301475-8229-4bb1-b60e-0685f572310b
# ObjectName    : IntRing
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2354.100          89.986     -3.397    -23.804            7.337        17024.229      0.717      0.000      0.000    0.02623   26.78776           -0.45747      100.29077         3.425e-06 
  2354.200          89.980     -3.398    -23.798            7.336        17024.952      0.717      0.000      0.000    0.02620   26.78683           -0.45757      100.29034         3.428e-06 
  2354.650          89.954     -3.403    -23.769            7.335        17028.208      0.716      0.000      0.000    0.02609   26.78248           -0.45805      100.28840         3.442e-06 
  2355.650          89.895     -3.415    -23.705            7.332        17035.441      0.716      0.000      0.000    0.02584   26.77247           -0.45917      100.28409         3.476e-06 
  2356.650          89.836     -3.427    -23.641            7.329        17042.671      0.715      0.000      0.000    0.02558   26.76159           -0.46034      100.27977         3.513e-06 
  2357.650          89.778     -3.438    -23.577            7.326        17049.897      0.714      0.000      0.000    0.02531   26.75062           -0.46157      100.27543         3.550e-06 
  2358.650          89.718     -3.450    -23.513            7.323        17057.121      0.713      0.000      0.000    0.02505   26.73951           -0.46287      100.27108         3.587e-06 
  2359.650          89.659     -3.461    -23.449            7.319        17064.342      0.712      0.000      0.000    0.02479   26.72830           -0.46422      100.26672         3.625e-06 
  2360.650          89.600     -3.473    -23.385            7.316        17071.559      0.711      0.000      0.000    0.02453   26.71698           -0.46564      100.26235         3.663e-06 
  2361.650          89.540     -3.485    -23.321            7.313        17078.774      0.711      0.000      0.000    0.02427   26.70553           -0.46712      100.25796         3.702e-06 
  2362.650          89.481     -3.496    -23.257            7.309        17085.985      0.710      0.000      0.000    0.02401   26.69398           -0.46866      100.25356         3.742e-06 
  2363.650          89.421     -3.508    -23.193            7.306        17093.193      0.709      0.000      0.000    0.02376   26.68229           -0.47027      100.24914         3.782e-06 
  2364.650          89.361     -3.519    -23.130            7.303        17100.397      0.708      0.000      0.000    0.02351   26.67049           -0.47194      100.24472         3.822e-06 
  2365.650          89.300     -3.531    -23.066            7.299        17107.599      0.708      0.000      0.000    0.02326   26.65858           -0.47368      100.24028         3.864e-06 
  2366.650          89.240     -3.543    -23.002            7.296        17114.797      0.707      0.000      0.000    0.02301   26.64653           -0.47548      100.23582         3.905e-06 
  2367.650          89.179     -3.554    -22.938            7.293        17121.992      0.706      0.000      0.000    0.02277   26.63434           -0.47735      100.23136         3.948e-06 
  2368.650          89.118     -3.566    -22.875            7.289        17129.183      0.706      0.000      0.000    0.02252   26.62197           -0.47929      100.22688         3.990e-06 
  2369.650          89.057     -3.577    -22.811            7.286        17136.371      0.705      0.000      0.000    0.02228   26.60955           -0.48129      100.22239         4.034e-06 
  2370.650          88.996     -3.589    -22.747            7.282        17143.556      0.704      0.000      0.000    0.02204   26.59707           -0.48337      100.21788         4.078e-06 
  2371.650          88.934     -3.600    -22.684            7.278        17150.737      0.704      0.000      0.000    0.02180   26.58438           -0.48551      100.21337         4.123e-06 
  2372.650          88.873     -3.612    -22.620            7.275        17157.915      0.703      0.000      0.000    0.02156   26.57156           -0.48772      100.20884         4.169e-06 
  2373.650          88.811     -3.623    -22.557            7.271        17165.090      0.702      0.000      0.000    0.02133   26.55860           -0.49000      100.20429         4.215e-06 
  2374.650          88.748     -3.635    -22.493            7.268        17172.260      0.702      0.000      0.000    0.02109   26.54551           -0.49235      100.19974         4.262e-06 
  2375.650          88.686     -3.646    -22.430            7.264        17179.427      0.701      0.000      0.000    0.02086   26.53228           -0.49478      100.19517         4.309e-06 
  2376.650          88.623     -3.658    -22.366            7.260        17186.591      0.701      0.000      0.000    0.02063   26.51890           -0.49727      100.19059         4.358e-06 
  2377.650          88.560     -3.669    -22.303            7.256        17193.751      0.700      0.000      0.000    0.02040   26.50538           -0.49984      100.18600         4.407e-06 
  2378.650          88.496     -3.681    -22.239            7.253        17200.907      0.700      0.000      0.000    0.02017   26.49172           -0.50249      100.18140         4.457e-06 
  2379.650          88.432     -3.692    -22.176            7.249        17208.060      0.699      0.000      0.000    0.01994   26.47791           -0.50521      100.17678         4.508e-06 
  2380.650          88.368     -3.703    -22.113            7.245        17215.208      0.698      0.000      0.000    0.01972   26.46395           -0.50800      100.17215         4.560e-06 
  2381.650          88.304     -3.715    -22.049            7.241        17222.353      0.698      0.000      0.000    0.01949   26.44984           -0.51087      100.16751         4.612e-06 
  2382.650          88.239     -3.726    -21.986            7.237        17229.495      0.698      0.000      0.000    0.01927   26.43558           -0.51381      100.16286         4.665e-06 
  2383.650          88.174     -3.738    -21.923            7.233        17236.632      0.697      0.000      0.000    0.01905   26.42116           -0.51684      100.15820         4.720e-06 
  2384.650          88.109     -3.749    -21.860            7.229        17243.765      0.697      0.000      0.000    0.01883   26.40658           -0.51994      100.15352         4.775e-06 
  2385.650          88.043     -3.760    -21.797            7.225        17250.895      0.696      0.000      0.000    0.01861   26.39184           -0.52312      100.14883         4.831e-06 
  2386.650          87.977     -3.772    -21.733            7.221        17258.020      0.696      0.000      0.000    0.01839   26.37694           -0.52639      100.14413         4.888e-06 
