#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.L-SSPA1.763a5740-f52b-4032-a209-7105dc417fab_Trajectory.txt
# RunID         : sara
# ObjectID      : 763a5740-f52b-4032-a209-7105dc417fab
# ObjectName    : L-SSPA1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      2.584      0.000      0.000    0.00826   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      2.584      0.000      0.000    0.00825   24.43729           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.071        18398.837      2.584      0.000      0.000    0.00819   24.41186           -0.93782       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.057        18405.820      2.584      0.000      0.000    0.00806   24.35314           -0.94437       99.20414         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.042        18412.788      2.584      0.000      0.000    0.00792   24.28947           -0.95121       99.19733         4.272e-05 
  2548.750          74.418     -5.541    -11.414            7.027        18419.741      2.584      0.000      0.000    0.00778   24.22513           -0.95834       99.19052         4.348e-05 
  2549.750          74.300     -5.551    -11.352            7.012        18426.680      2.584      0.000      0.000    0.00764   24.16011           -0.96578       99.18372         4.425e-05 
  2550.750          74.182     -5.561    -11.291            6.997        18433.603      2.584      0.000      0.000    0.00751   24.09440           -0.97353       99.17691         4.504e-05 
  2551.750          74.062     -5.571    -11.229            6.981        18440.512      2.584      0.000      0.000    0.00737   24.02799           -0.98159       99.17011         4.585e-05 
  2552.750          73.942     -5.581    -11.168            6.965        18447.405      2.584      0.000      0.000    0.00724   23.96087           -0.98996       99.16330         4.668e-05 
  2553.750          73.822     -5.591    -11.106            6.949        18454.283      2.584      0.000      0.000    0.00711   23.89302           -0.99866       99.15650         4.753e-05 
  2554.750          73.700     -5.601    -11.045            6.933        18461.145      2.584      0.000      0.000    0.00699   23.82443           -1.00768       99.14970         4.840e-05 
  2555.750          73.578     -5.610    -10.984            6.917        18467.991      2.584      0.000      0.000    0.00686   23.75509           -1.01704       99.14291         4.929e-05 
  2556.750          73.455     -5.620    -10.923            6.900        18474.820      2.584      0.000      0.000    0.00674   23.68498           -1.02673       99.13611         5.020e-05 
  2557.750          73.331     -5.630    -10.863            6.883        18481.634      2.584      0.000      0.000    0.00661   23.61410           -1.03677       99.12932         5.113e-05 
  2558.750          73.206     -5.640    -10.802            6.866        18488.430      2.584      0.000      0.000    0.00649   23.54242           -1.04715       99.12253         5.209e-05 
  2559.750          73.080     -5.650    -10.742            6.849        18495.210      2.584      0.000      0.000    0.00637   23.46994           -1.05789       99.11575         5.307e-05 
  2560.750          72.953     -5.659    -10.681            6.831        18501.973      2.584      0.000      0.000    0.00625   23.39664           -1.06900       99.10897         5.408e-05 
  2561.750          72.825     -5.669    -10.621            6.814        18508.718      2.584      0.000      0.000    0.00614   23.32251           -1.08046       99.10220         5.511e-05 
  2562.750          72.696     -5.678    -10.561            6.796        18515.446      2.584      0.000      0.000    0.00602   23.24752           -1.09231       99.09543         5.617e-05 
  2563.750          72.566     -5.688    -10.501            6.777        18522.155      2.584      0.000      0.000    0.00591   23.17167           -1.10453       99.08866         5.725e-05 
  2564.750          72.434     -5.698    -10.442            6.759        18528.847      2.584      0.000      0.000    0.00579   23.09493           -1.11713       99.08190         5.837e-05 
  2565.750          72.302     -5.707    -10.382            6.740        18535.520      2.584      0.000      0.000    0.00568   23.01731           -1.13013       99.07515         5.952e-05 
  2566.750          72.168     -5.717    -10.323            6.721        18542.175      2.584      0.000      0.000    0.00557   22.93876           -1.14353       99.06840         6.070e-05 
  2567.750          72.034     -5.726    -10.264            6.701        18548.810      2.584      0.000      0.000    0.00546   22.85644           -1.15735       99.06166         6.191e-05 
  2568.750          71.898     -5.735    -10.205            6.678        18555.425      2.584      0.000      0.000    0.00535   22.76794           -1.17162       99.05494         6.316e-05 
  2569.750          71.761     -5.745    -10.146            6.654        18562.016      2.584      0.000      0.000    0.00525   22.67104           -1.18639       99.04822         6.443e-05 
  2570.750          71.622     -5.754    -10.088            6.627        18568.582      2.584      0.000      0.000    0.00515   22.56080           -1.20171       99.04152         6.572e-05 
  2571.750          71.483     -5.763    -10.029            6.597        18575.120      2.584      0.000      0.000    0.00504   22.44030           -1.21764       99.03484         6.703e-05 
  2572.750          71.342     -5.773     -9.971            6.563        18581.627      2.584      0.000      0.000    0.00494   22.30742           -1.23427       99.02818         6.839e-05 
  2573.750          71.200     -5.782     -9.914            6.525        18588.097      2.584      0.000      0.000    0.00485   22.15928           -1.25169       99.02155         6.978e-05 
  2574.750          71.057     -5.791     -9.856            6.480        18594.527      2.584      0.000      0.000    0.00475   21.99198           -1.27002       99.01496         7.121e-05 
  2575.750          70.913     -5.800     -9.799            6.428        18600.910      2.584      0.000      0.000    0.00465   21.79989           -1.28942       99.00841         7.267e-05 
  2576.750          70.768     -5.809     -9.743            6.366        18607.236      2.584      0.000      0.000    0.00456   21.57457           -1.31010       99.00192         7.418e-05 
  2577.750          70.622     -5.818     -9.687            6.290        18613.494      2.584      0.000      0.000    0.00447   21.30258           -1.33236       98.99552         7.572e-05 
  2578.750          70.475     -5.827     -9.632            6.191        18619.665      2.584      0.000      0.000    0.00438   20.96055           -1.35664       98.98922         7.729e-05 
  2579.750          70.329     -5.835     -9.578            6.057        18625.721      2.584      0.000      0.000    0.00429   20.50254           -1.38371       98.98310         7.890e-05 
  2580.750          70.184     -5.843     -9.526            5.850        18631.607      2.584      0.000      0.000    0.00420   19.81811           -1.41499       98.97728         8.052e-05 
  2581.750          70.042     -5.851     -9.476            5.445        18637.188      2.584      0.000      0.000    0.00412   18.51278           -1.45449       98.97222         8.214e-05 
  2581.927          70.020     -5.853     -9.468            4.672        18638.068      2.584      0.000      0.000    0.00410   16.03086           -1.46609       98.97345         8.257e-05 
