#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.MOD1.a96dc980-3752-485f-aa0d-ed740e37d25d_Trajectory.txt
# RunID         : sara
# ObjectID      : a96dc980-3752-485f-aa0d-ed740e37d25d
# ObjectName    : MOD1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      0.863      0.000      0.000    0.01301   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.077        18395.691      0.863      0.000      0.000    0.01299   24.43555           -0.93497       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.068        18398.837      0.863      0.000      0.000    0.01289   24.40199           -0.93783       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.048        18405.813      0.863      0.000      0.000    0.01269   24.32458           -0.94450       99.20414         4.198e-05 
  2547.750          74.536     -5.531    -11.476            7.027        18412.769      0.863      0.000      0.000    0.01247   24.24074           -0.95158       99.19734         4.272e-05 
  2548.750          74.419     -5.541    -11.414            7.006        18419.705      0.862      0.000      0.000    0.01225   24.15611           -0.95908       99.19055         4.347e-05 
  2549.750          74.301     -5.551    -11.353            6.985        18426.620      0.862      0.000      0.000    0.01204   24.07070           -0.96699       99.18376         4.425e-05 
  2550.750          74.183     -5.561    -11.291            6.964        18433.514      0.862      0.000      0.000    0.01183   23.98448           -0.97534       99.17698         4.503e-05 
  2551.750          74.064     -5.571    -11.230            6.942        18440.388      0.862      0.000      0.000    0.01162   23.89745           -0.98411       99.17020         4.584e-05 
  2552.750          73.944     -5.581    -11.169            6.921        18447.239      0.862      0.000      0.000    0.01141   23.80960           -0.99333       99.16344         4.667e-05 
  2553.750          73.824     -5.590    -11.108            6.899        18454.070      0.862      0.000      0.000    0.01121   23.72090           -1.00300       99.15668         4.751e-05 
  2554.750          73.703     -5.600    -11.048            6.876        18460.878      0.862      0.000      0.000    0.01101   23.63135           -1.01312       99.14992         4.838e-05 
  2555.750          73.581     -5.610    -10.987            6.854        18467.665      0.862      0.000      0.000    0.01081   23.54094           -1.02371       99.14318         4.927e-05 
  2556.750          73.458     -5.620    -10.927            6.831        18474.429      0.862      0.000      0.000    0.01061   23.44964           -1.03476       99.13644         5.017e-05 
  2557.750          73.334     -5.629    -10.867            6.808        18481.170      0.862      0.000      0.000    0.01042   23.35745           -1.04629       99.12972         5.110e-05 
  2558.750          73.209     -5.639    -10.807            6.784        18487.889      0.862      0.000      0.000    0.01023   23.26436           -1.05830       99.12300         5.206e-05 
  2559.750          73.083     -5.649    -10.747            6.759        18494.584      0.862      0.000      0.000    0.01004   23.16643           -1.07082       99.11629         5.304e-05 
  2560.750          72.957     -5.658    -10.688            6.731        18501.252      0.862      0.000      0.000    0.00985   23.05730           -1.08390       99.10960         5.404e-05 
  2561.750          72.829     -5.668    -10.629            6.698        18507.890      0.862      0.000      0.000    0.00967   22.93321           -1.09763       99.10293         5.507e-05 
  2562.750          72.700     -5.677    -10.570            6.659        18514.493      0.862      0.000      0.000    0.00949   22.78944           -1.11212       99.09628         5.613e-05 
  2563.750          72.570     -5.686    -10.511            6.612        18521.053      0.862      0.000      0.000    0.00931   22.61866           -1.12754       99.08966         5.722e-05 
  2564.750          72.440     -5.696    -10.453            6.553        18527.561      0.862      0.000      0.000    0.00913   22.40858           -1.14411       99.08309         5.833e-05 
  2565.750          72.309     -5.705    -10.396            6.474        18534.001      0.862      0.000      0.000    0.00896   22.13628           -1.16218       99.07659         5.946e-05 
  2566.750          72.178     -5.714    -10.339            6.361        18540.346      0.862      0.000      0.000    0.00878   21.75099           -1.18239       99.07020         6.062e-05 
  2567.750          72.047     -5.723    -10.284            6.163        18546.537      0.862      0.000      0.000    0.00862   21.09906           -1.20620       99.06402         6.180e-05 
  2568.750          71.923     -5.731    -10.233            5.520        18552.302      0.862      0.000      0.000    0.00846   19.06626           -1.24078       99.05874         6.295e-05 
