#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.NIU.e2f95e2d-87da-419c-9e0a-23294d603d7d_Trajectory.txt
# RunID         : sara
# ObjectID      : e2f95e2d-87da-419c-9e0a-23294d603d7d
# ObjectName    : NIU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      1.130      0.000      0.000    0.00558   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      1.130      0.000      0.000    0.00557   24.43861           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.074        18398.838      1.130      0.000      0.000    0.00553   24.41928           -0.93780       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.064        18405.825      1.130      0.000      0.000    0.00544   24.37466           -0.94426       99.20413         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.053        18412.802      1.130      0.000      0.000    0.00535   24.32625           -0.95092       99.19732         4.272e-05 
  2548.750          74.418     -5.541    -11.414            7.043        18419.768      1.130      0.000      0.000    0.00525   24.27731           -0.95779       99.19050         4.348e-05 
  2549.750          74.300     -5.551    -11.352            7.032        18426.725      1.130      0.000      0.000    0.00516   24.22783           -0.96487       99.18368         4.425e-05 
  2550.750          74.181     -5.561    -11.290            7.022        18433.671      1.130      0.000      0.000    0.00507   24.17779           -0.97217       99.17686         4.505e-05 
  2551.750          74.061     -5.571    -11.228            7.011        18440.606      1.130      0.000      0.000    0.00498   24.12720           -0.97968       99.17003         4.586e-05 
  2552.750          73.941     -5.581    -11.166            7.000        18447.531      1.130      0.000      0.000    0.00489   24.07604           -0.98742       99.16320         4.669e-05 
  2553.750          73.820     -5.591    -11.105            6.988        18454.445      1.130      0.000      0.000    0.00481   24.02429           -0.99538       99.15637         4.754e-05 
  2554.750          73.698     -5.601    -11.043            6.977        18461.347      1.130      0.000      0.000    0.00472   23.97194           -1.00357       99.14953         4.841e-05 
  2555.750          73.576     -5.611    -10.982            6.965        18468.239      1.130      0.000      0.000    0.00463   23.91900           -1.01199       99.14270         4.930e-05 
  2556.750          73.452     -5.621    -10.921            6.954        18475.119      1.130      0.000      0.000    0.00455   23.86543           -1.02065       99.13586         5.022e-05 
  2557.750          73.328     -5.631    -10.859            6.942        18481.987      1.130      0.000      0.000    0.00447   23.81124           -1.02956       99.12902         5.115e-05 
  2558.750          73.203     -5.640    -10.798            6.929        18488.844      1.130      0.000      0.000    0.00438   23.75641           -1.03871       99.12218         5.211e-05 
  2559.750          73.077     -5.650    -10.737            6.917        18495.688      1.130      0.000      0.000    0.00430   23.70092           -1.04811       99.11534         5.309e-05 
  2560.750          72.950     -5.660    -10.676            6.905        18502.521      1.130      0.000      0.000    0.00422   23.64478           -1.05776       99.10849         5.410e-05 
  2561.750          72.822     -5.670    -10.616            6.892        18509.341      1.130      0.000      0.000    0.00414   23.58795           -1.06767       99.10165         5.513e-05 
  2562.750          72.693     -5.679    -10.555            6.879        18516.149      1.130      0.000      0.000    0.00407   23.53043           -1.07785       99.09481         5.619e-05 
  2563.750          72.563     -5.689    -10.494            6.866        18522.944      1.130      0.000      0.000    0.00399   23.47220           -1.08829       99.08796         5.728e-05 
  2564.750          72.432     -5.699    -10.434            6.853        18529.726      1.130      0.000      0.000    0.00391   23.41326           -1.09901       99.08112         5.839e-05 
  2565.750          72.300     -5.709    -10.374            6.839        18536.494      1.130      0.000      0.000    0.00384   23.35359           -1.11000       99.07428         5.954e-05 
  2566.750          72.167     -5.718    -10.313            6.826        18543.250      1.130      0.000      0.000    0.00376   23.29317           -1.12128       99.06743         6.071e-05 
  2567.750          72.033     -5.728    -10.253            6.812        18549.992      1.130      0.000      0.000    0.00369   23.23198           -1.13284       99.06059         6.192e-05 
  2568.750          71.898     -5.737    -10.193            6.797        18556.720      1.130      0.000      0.000    0.00362   23.17003           -1.14470       99.05376         6.316e-05 
  2569.750          71.761     -5.747    -10.134            6.783        18563.434      1.130      0.000      0.000    0.00355   23.10629           -1.15686       99.04692         6.443e-05 
  2570.750          71.624     -5.756    -10.074            6.768        18570.134      1.130      0.000      0.000    0.00348   23.03699           -1.16932       99.04008         6.570e-05 
  2571.750          71.485     -5.766    -10.014            6.754        18576.820      1.130      0.000      0.000    0.00341   22.96690           -1.18209       99.03325         6.701e-05 
  2572.750          71.345     -5.775     -9.955            6.739        18583.491      1.130      0.000      0.000    0.00334   22.89600           -1.19517       99.02642         6.836e-05 
  2573.750          71.204     -5.785     -9.895            6.723        18590.147      1.130      0.000      0.000    0.00328   22.82427           -1.20858       99.01959         6.974e-05 
  2574.750          71.061     -5.794     -9.836            6.708        18596.788      1.130      0.000      0.000    0.00321   22.75170           -1.22231       99.01277         7.116e-05 
  2575.750          70.918     -5.804     -9.777            6.692        18603.413      1.130      0.000      0.000    0.00315   22.67828           -1.23638       99.00595         7.262e-05 
  2576.750          70.773     -5.813     -9.718            6.676        18610.023      1.130      0.000      0.000    0.00308   22.60398           -1.25078       98.99913         7.412e-05 
  2577.750          70.626     -5.822     -9.659            6.660        18616.617      1.130      0.000      0.000    0.00302   22.52879           -1.26553       98.99232         7.567e-05 
  2578.750          70.479     -5.832     -9.601            6.643        18623.194      1.130      0.000      0.000    0.00296   22.45090           -1.28064       98.98552         7.725e-05 
