#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.PMC1.83dad51f-37d0-4124-9403-f580da4ebf8a_Trajectory.txt
# RunID         : sara
# ObjectID      : 83dad51f-37d0-4124-9403-f580da4ebf8a
# ObjectName    : PMC1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      1.245      0.000      0.000    0.00614   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      1.245      0.000      0.000    0.00613   24.43869           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.074        18398.838      1.245      0.000      0.000    0.00608   24.41973           -0.93780       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.064        18405.825      1.245      0.000      0.000    0.00599   24.37596           -0.94425       99.20413         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.054        18412.803      1.245      0.000      0.000    0.00588   24.32847           -0.95091       99.19732         4.272e-05 
  2548.750          74.418     -5.541    -11.414            7.044        18419.770      1.245      0.000      0.000    0.00578   24.28046           -0.95776       99.19050         4.348e-05 
  2549.750          74.300     -5.551    -11.352            7.033        18426.728      1.245      0.000      0.000    0.00568   24.23192           -0.96482       99.18368         4.425e-05 
  2550.750          74.181     -5.561    -11.290            7.023        18433.675      1.245      0.000      0.000    0.00558   24.18284           -0.97209       99.17686         4.505e-05 
  2551.750          74.061     -5.571    -11.228            7.012        18440.612      1.245      0.000      0.000    0.00548   24.13321           -0.97957       99.17003         4.586e-05 
  2552.750          73.941     -5.581    -11.166            7.002        18447.539      1.245      0.000      0.000    0.00538   24.08301           -0.98726       99.16320         4.669e-05 
  2553.750          73.820     -5.591    -11.105            6.991        18454.455      1.245      0.000      0.000    0.00529   24.03224           -0.99518       99.15636         4.754e-05 
  2554.750          73.698     -5.601    -11.043            6.980        18461.360      1.245      0.000      0.000    0.00519   23.98089           -1.00332       99.14952         4.841e-05 
  2555.750          73.576     -5.611    -10.982            6.968        18468.254      1.245      0.000      0.000    0.00510   23.92895           -1.01169       99.14269         4.930e-05 
  2556.750          73.452     -5.621    -10.920            6.957        18475.137      1.245      0.000      0.000    0.00500   23.87640           -1.02029       99.13584         5.022e-05 
  2557.750          73.328     -5.631    -10.859            6.945        18482.009      1.245      0.000      0.000    0.00491   23.82323           -1.02912       99.12900         5.115e-05 
  2558.750          73.203     -5.640    -10.798            6.933        18488.869      1.245      0.000      0.000    0.00482   23.76943           -1.03820       99.12216         5.211e-05 
  2559.750          73.077     -5.650    -10.737            6.921        18495.717      1.245      0.000      0.000    0.00473   23.71499           -1.04751       99.11531         5.309e-05 
  2560.750          72.950     -5.660    -10.676            6.909        18502.554      1.245      0.000      0.000    0.00465   23.65990           -1.05708       99.10846         5.410e-05 
  2561.750          72.822     -5.670    -10.615            6.897        18509.379      1.245      0.000      0.000    0.00456   23.60414           -1.06690       99.10162         5.513e-05 
  2562.750          72.693     -5.680    -10.555            6.884        18516.191      1.245      0.000      0.000    0.00447   23.54770           -1.07697       99.09477         5.619e-05 
  2563.750          72.563     -5.689    -10.494            6.871        18522.992      1.245      0.000      0.000    0.00439   23.49057           -1.08731       99.08792         5.728e-05 
  2564.750          72.432     -5.699    -10.434            6.858        18529.779      1.245      0.000      0.000    0.00430   23.43273           -1.09791       99.08107         5.839e-05 
