#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.PMC2-internal.cd804e82-b086-4b5e-9554-a6d5a8e0c269_Trajectory.txt
# RunID         : sara
# ObjectID      : cd804e82-b086-4b5e-9554-a6d5a8e0c269
# ObjectName    : PMC2-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2597.750          67.412     -6.000     -8.530            5.918        18743.250      1.237      0.000      0.000    0.00224   19.63271           -1.68004       98.85963         1.182e-04 
  2597.850          67.395     -6.001     -8.524            5.911        18743.835      1.237      0.000      0.000    0.00224   19.60867           -1.68326       98.85901         1.185e-04 
  2598.300          67.317     -6.004     -8.501            5.876        18746.459      1.237      0.000      0.000    0.00222   19.49716           -1.69797       98.85623         1.196e-04 
  2599.300          67.142     -6.012     -8.450            5.799        18752.233      1.237      0.000      0.000    0.00217   19.24225           -1.73205       98.85010         1.223e-04 
  2600.300          66.966     -6.020     -8.399            5.723        18757.933      1.237      0.000      0.000    0.00212   18.96961           -1.76807       98.84403         1.252e-04 
  2601.300          66.789     -6.028     -8.349            5.647        18763.556      1.237      0.000      0.000    0.00207   18.69813           -1.80607       98.83803         1.282e-04 
  2602.300          66.610     -6.036     -8.299            5.570        18769.104      1.237      0.000      0.000    0.00202   18.42785           -1.84607       98.83208         1.314e-04 
  2603.300          66.430     -6.043     -8.250            5.495        18774.578      1.237      0.000      0.000    0.00197   18.15877           -1.88810       98.82621         1.346e-04 
  2604.300          66.248     -6.051     -8.202            5.419        18779.976      1.237      0.000      0.000    0.00192   17.89093           -1.93220       98.82039         1.379e-04 
  2605.300          66.067     -6.058     -8.155            5.168        18785.211      1.237      0.000      0.000    0.00188   17.11579           -1.98163       98.81517         1.413e-04 
