#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SADM1_internal.527057a7-0dc1-4411-a9f9-d4ac6fbbdcd5_Trajectory.txt
# RunID         : sara
# ObjectID      : 527057a7-0dc1-4411-a9f9-d4ac6fbbdcd5
# ObjectName    : SADM1_internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2503.650          78.560     -5.063    -14.309            7.048        18094.461      1.048      0.000      0.000    0.00613   24.76853           -0.87131       99.49398         2.314e-05 
  2503.750          78.549     -5.064    -14.303            7.047        18095.157      1.048      0.000      0.000    0.00612   24.76518           -0.87200       99.49336         2.317e-05 
  2504.200          78.501     -5.069    -14.275            7.044        18098.290      1.048      0.000      0.000    0.00608   24.74955           -0.87508       99.49055         2.333e-05 
  2505.200          78.393     -5.080    -14.213            7.037        18105.244      1.048      0.000      0.000    0.00598   24.71346           -0.88205       99.48432         2.369e-05 
  2506.200          78.284     -5.090    -14.151            7.029        18112.192      1.048      0.000      0.000    0.00588   24.67432           -0.88916       99.47808         2.410e-05 
  2507.200          78.175     -5.100    -14.090            7.022        18119.133      1.048      0.000      0.000    0.00578   24.63475           -0.89643       99.47183         2.451e-05 
  2508.200          78.065     -5.110    -14.028            7.014        18126.066      1.048      0.000      0.000    0.00569   24.59475           -0.90385       99.46557         2.493e-05 
  2509.200          77.953     -5.121    -13.966            7.006        18132.991      1.048      0.000      0.000    0.00559   24.55431           -0.91142       99.45931         2.537e-05 
  2510.200          77.842     -5.131    -13.905            6.998        18139.909      1.048      0.000      0.000    0.00549   24.51342           -0.91916       99.45304         2.581e-05 
  2511.200          77.729     -5.141    -13.843            6.990        18146.819      1.048      0.000      0.000    0.00540   24.47208           -0.92705       99.44676         2.626e-05 
  2512.200          77.615     -5.152    -13.782            6.982        18153.721      1.048      0.000      0.000    0.00531   24.43027           -0.93511       99.44048         2.673e-05 
  2513.200          77.501     -5.162    -13.721            6.974        18160.615      1.048      0.000      0.000    0.00521   24.38798           -0.94334       99.43419         2.720e-05 
  2514.200          77.386     -5.172    -13.659            6.965        18167.501      1.048      0.000      0.000    0.00512   24.34521           -0.95173       99.42789         2.769e-05 
  2515.200          77.270     -5.182    -13.598            6.957        18174.379      1.048      0.000      0.000    0.00503   24.30194           -0.96030       99.42159         2.819e-05 
  2516.200          77.153     -5.192    -13.537            6.948        18181.249      1.048      0.000      0.000    0.00494   24.25817           -0.96904       99.41528         2.870e-05 
  2517.200          77.035     -5.202    -13.476            6.939        18188.109      1.048      0.000      0.000    0.00485   24.21390           -0.97796       99.40896         2.923e-05 
  2518.200          76.916     -5.213    -13.415            6.930        18194.962      1.048      0.000      0.000    0.00476   24.16909           -0.98706       99.40264         2.976e-05 
  2519.200          76.796     -5.223    -13.354            6.921        18201.805      1.048      0.000      0.000    0.00468   24.12374           -0.99634       99.39632         3.031e-05 
  2520.200          76.675     -5.233    -13.293            6.912        18208.640      1.048      0.000      0.000    0.00459   24.07786           -1.00581       99.38999         3.088e-05 
  2521.200          76.553     -5.243    -13.233            6.903        18215.465      1.048      0.000      0.000    0.00451   24.03142           -1.01548       99.38365         3.146e-05 
  2522.200          76.430     -5.253    -13.172            6.893        18222.281      1.048      0.000      0.000    0.00442   23.98441           -1.02533       99.37731         3.206e-05 
  2523.200          76.306     -5.263    -13.111            6.884        18229.088      1.048      0.000      0.000    0.00434   23.93682           -1.03539       99.37096         3.267e-05 
  2524.200          76.182     -5.273    -13.051            6.874        18235.885      1.048      0.000      0.000    0.00426   23.88864           -1.04565       99.36461         3.330e-05 
  2525.200          76.056     -5.283    -12.991            6.864        18242.673      1.048      0.000      0.000    0.00418   23.83986           -1.05611       99.35825         3.394e-05 
  2526.200          75.929     -5.293    -12.930            6.854        18249.450      1.048      0.000      0.000    0.00410   23.79047           -1.06678       99.35189         3.460e-05 
  2527.200          75.800     -5.303    -12.870            6.843        18256.218      1.048      0.000      0.000    0.00402   23.74044           -1.07766       99.34553         3.528e-05 
  2528.200          75.671     -5.313    -12.810            6.832        18262.975      1.048      0.000      0.000    0.00394   23.68910           -1.08876       99.33916         3.598e-05 
  2529.200          75.541     -5.323    -12.750            6.818        18269.720      1.048      0.000      0.000    0.00386   23.62552           -1.10013       99.33279         3.670e-05 
  2530.200          75.409     -5.332    -12.690            6.795        18276.447      1.048      0.000      0.000    0.00379   23.53558           -1.11188       99.32641         3.743e-05 
  2531.200          75.277     -5.342    -12.630            6.746        18283.138      1.048      0.000      0.000    0.00371   23.36415           -1.12438       99.32005         3.819e-05 
