#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SARP-3-internal.792e896a-aee6-4a79-8dde-e7ec1261d254_Trajectory.txt
# RunID         : sara
# ObjectID      : 792e896a-aee6-4a79-8dde-e7ec1261d254
# ObjectName    : SARP-3-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2595.750          67.808     -5.989     -8.598            6.351        18735.653      1.525      0.000      0.000    0.00218   21.11411           -1.52656       98.86775         1.121e-04 
  2595.850          67.791     -5.990     -8.592            6.347        18736.281      1.525      0.000      0.000    0.00217   21.10198           -1.52874       98.86708         1.123e-04 
  2596.300          67.714     -5.994     -8.567            6.331        18739.103      1.525      0.000      0.000    0.00215   21.04552           -1.53867       98.86407         1.134e-04 
  2597.300          67.544     -6.003     -8.511            6.295        18745.348      1.525      0.000      0.000    0.00211   20.91530           -1.56130       98.85741         1.158e-04 
  2598.300          67.371     -6.011     -8.456            6.259        18751.558      1.525      0.000      0.000    0.00206   20.77420           -1.58477       98.85078         1.186e-04 
  2599.300          67.197     -6.020     -8.400            6.222        18757.731      1.525      0.000      0.000    0.00201   20.63180           -1.60907       98.84417         1.214e-04 
  2600.300          67.022     -6.029     -8.346            6.185        18763.869      1.525      0.000      0.000    0.00196   20.48807           -1.63424       98.83758         1.243e-04 
  2601.300          66.845     -6.037     -8.291            6.148        18769.969      1.525      0.000      0.000    0.00192   20.34300           -1.66027       98.83102         1.273e-04 
  2602.300          66.666     -6.045     -8.237            6.110        18776.033      1.525      0.000      0.000    0.00187   20.19658           -1.68720       98.82449         1.304e-04 
  2603.300          66.485     -6.054     -8.183            6.071        18782.058      1.525      0.000      0.000    0.00183   20.04881           -1.71504       98.81798         1.336e-04 
  2604.300          66.302     -6.062     -8.130            6.032        18788.046      1.525      0.000      0.000    0.00178   19.89967           -1.74381       98.81150         1.369e-04 
  2605.300          66.118     -6.070     -8.077            5.993        18793.994      1.525      0.000      0.000    0.00174   19.74915           -1.77352       98.80504         1.403e-04 
  2606.300          65.931     -6.079     -8.024            5.953        18799.904      1.525      0.000      0.000    0.00170   19.59724           -1.80420       98.79861         1.438e-04 
  2607.300          65.743     -6.087     -7.972            5.911        18805.773      1.525      0.000      0.000    0.00166   19.43741           -1.83590       98.79222         1.475e-04 
  2608.300          65.553     -6.095     -7.920            5.819        18811.575      1.525      0.000      0.000    0.00161   19.13490           -1.86943       98.78597         1.512e-04 
