#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SSR.d83a9294-4d46-4254-ace5-ff9fae05622a_Trajectory.txt
# RunID         : sara
# ObjectID      : d83a9294-4d46-4254-ace5-ff9fae05622a
# ObjectName    : SSR
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      1.457      0.000      0.000    0.00449   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      1.457      0.000      0.000    0.00449   24.43934           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.075        18398.838      1.457      0.000      0.000    0.00446   24.42343           -0.93780       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.067        18405.828      1.457      0.000      0.000    0.00438   24.38669           -0.94420       99.20413         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.060        18412.810      1.457      0.000      0.000    0.00431   24.34684           -0.95076       99.19732         4.272e-05 
  2548.750          74.417     -5.541    -11.414            7.052        18419.784      1.457      0.000      0.000    0.00423   24.30655           -0.95748       99.19049         4.348e-05 
  2549.750          74.299     -5.551    -11.352            7.044        18426.750      1.457      0.000      0.000    0.00416   24.26581           -0.96436       99.18366         4.426e-05 
  2550.750          74.180     -5.561    -11.290            7.035        18433.709      1.457      0.000      0.000    0.00408   24.22462           -0.97141       99.17683         4.505e-05 
  2551.750          74.061     -5.571    -11.228            7.027        18440.659      1.457      0.000      0.000    0.00401   24.18297           -0.97861       99.16999         4.586e-05 
  2552.750          73.940     -5.581    -11.166            7.019        18447.602      1.457      0.000      0.000    0.00394   24.14084           -0.98599       99.16314         4.670e-05 
  2553.750          73.819     -5.591    -11.104            7.010        18454.536      1.457      0.000      0.000    0.00387   24.09823           -0.99354       99.15629         4.755e-05 
  2554.750          73.697     -5.601    -11.042            7.001        18461.461      1.457      0.000      0.000    0.00380   24.05514           -1.00126       99.14944         4.842e-05 
  2555.750          73.574     -5.611    -10.981            6.993        18468.378      1.457      0.000      0.000    0.00373   24.01154           -1.00917       99.14258         4.931e-05 
  2556.750          73.451     -5.621    -10.919            6.984        18475.287      1.457      0.000      0.000    0.00366   23.96743           -1.01725       99.13572         5.023e-05 
  2557.750          73.326     -5.631    -10.858            6.975        18482.186      1.457      0.000      0.000    0.00360   23.92280           -1.02552       99.12885         5.116e-05 
  2558.750          73.201     -5.641    -10.796            6.965        18489.077      1.457      0.000      0.000    0.00353   23.87764           -1.03397       99.12198         5.212e-05 
  2559.750          73.075     -5.651    -10.735            6.956        18495.958      1.457      0.000      0.000    0.00347   23.83195           -1.04261       99.11510         5.310e-05 
  2560.750          72.948     -5.660    -10.674            6.946        18502.830      1.457      0.000      0.000    0.00340   23.78570           -1.05145       99.10822         5.411e-05 
  2561.750          72.820     -5.670    -10.613            6.937        18509.693      1.457      0.000      0.000    0.00334   23.73888           -1.06049       99.10134         5.514e-05 
  2562.750          72.691     -5.680    -10.551            6.927        18516.546      1.457      0.000      0.000    0.00327   23.69150           -1.06973       99.09445         5.620e-05 
  2563.750          72.562     -5.690    -10.490            6.917        18523.390      1.457      0.000      0.000    0.00321   23.64353           -1.07917       99.08757         5.729e-05 
  2564.750          72.431     -5.700    -10.430            6.906        18530.223      1.457      0.000      0.000    0.00315   23.59496           -1.08882       99.08067         5.840e-05 
  2565.750          72.299     -5.709    -10.369            6.896        18537.047      1.457      0.000      0.000    0.00309   23.54578           -1.09868       99.07378         5.955e-05 
  2566.750          72.166     -5.719    -10.308            6.885        18543.860      1.457      0.000      0.000    0.00303   23.49598           -1.10876       99.06689         6.072e-05 
  2567.750          72.033     -5.729    -10.247            6.875        18550.663      1.457      0.000      0.000    0.00297   23.44555           -1.11906       99.05999         6.192e-05 
  2568.750          71.898     -5.738    -10.187            6.864        18557.455      1.457      0.000      0.000    0.00291   23.39448           -1.12958       99.05309         6.316e-05 
  2569.750          71.762     -5.748    -10.126            6.853        18564.236      1.457      0.000      0.000    0.00286   23.34175           -1.14033       99.04619         6.442e-05 
  2570.750          71.625     -5.758    -10.066            6.841        18571.007      1.457      0.000      0.000    0.00280   23.28356           -1.15132       99.03928         6.569e-05 
  2571.750          71.487     -5.767    -10.006            6.830        18577.766      1.457      0.000      0.000    0.00275   23.22471           -1.16254       99.03238         6.700e-05 
  2572.750          71.348     -5.777     -9.946            6.818        18584.514      1.457      0.000      0.000    0.00269   23.16517           -1.17400       99.02548         6.833e-05 
  2573.750          71.208     -5.786     -9.886            6.806        18591.250      1.457      0.000      0.000    0.00264   23.10494           -1.18571       99.01857         6.971e-05 
  2574.750          71.066     -5.796     -9.826            6.794        18597.975      1.457      0.000      0.000    0.00259   23.04400           -1.19767       99.01167         7.112e-05 
  2575.750          70.924     -5.805     -9.766            6.782        18604.688      1.457      0.000      0.000    0.00254   22.98234           -1.20989       99.00476         7.256e-05 
  2576.750          70.780     -5.815     -9.706            6.770        18611.389      1.457      0.000      0.000    0.00249   22.91994           -1.22237       98.99786         7.405e-05 
  2577.750          70.635     -5.824     -9.646            6.757        18618.077      1.457      0.000      0.000    0.00243   22.85680           -1.23511       98.99095         7.558e-05 
  2578.750          70.488     -5.834     -9.587            6.744        18624.753      1.457      0.000      0.000    0.00239   22.79289           -1.24812       98.98405         7.715e-05 
