#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SheWallY3.5a728766-3fb7-4ba3-b682-c61b4be6dca8_Trajectory.txt
# RunID         : sara
# ObjectID      : 5a728766-3fb7-4ba3-b682-c61b4be6dca8
# ObjectName    : SheWallY3
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      6.112      0.000      0.000    0.00161   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.074        18395.691      6.112      0.000      0.000    0.00161   24.42630           -0.93497       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.051        18398.832      6.112      0.000      0.000    0.00160   24.34984           -0.93793       99.21094         4.130e-05 
  2546.750          74.653     -5.521    -11.538            7.000        18405.777      6.112      0.000      0.000    0.00158   24.17439           -0.94524       99.20415         4.197e-05 
  2547.750          74.537     -5.531    -11.477            6.949        18412.671      6.112      0.000      0.000    0.00155   23.98571           -0.95357       99.19740         4.271e-05 
  2548.750          74.421     -5.541    -11.416            6.898        18419.515      6.112      0.000      0.000    0.00152   23.79676           -0.96294       99.19068         4.346e-05 
  2549.750          74.305     -5.550    -11.356            6.847        18426.308      6.112      0.000      0.000    0.00150   23.60754           -0.97335       99.18399         4.422e-05 
  2550.750          74.189     -5.560    -11.295            6.796        18433.051      6.112      0.000      0.000    0.00147   23.41807           -0.98483       99.17733         4.500e-05 
  2551.750          74.071     -5.570    -11.236            6.744        18439.743      6.112      0.000      0.000    0.00144   23.22835           -0.99737       99.17071         4.579e-05 
  2552.750          73.954     -5.579    -11.177            6.692        18446.384      6.112      0.000      0.000    0.00142   23.03839           -1.01100       99.16412         4.660e-05 
  2553.750          73.835     -5.589    -11.118            6.641        18452.974      6.112      0.000      0.000    0.00139   22.84818           -1.02572       99.15757         4.744e-05 
  2554.750          73.716     -5.598    -11.060            6.589        18459.512      6.112      0.000      0.000    0.00137   22.65773           -1.04155       99.15105         4.829e-05 
  2555.750          73.596     -5.608    -11.002            6.537        18466.000      6.112      0.000      0.000    0.00135   22.46705           -1.05850       99.14457         4.916e-05 
  2556.750          73.474     -5.617    -10.945            6.485        18472.436      6.112      0.000      0.000    0.00132   22.27612           -1.07658       99.13813         5.005e-05 
  2557.750          73.352     -5.626    -10.888            6.432        18478.821      6.112      0.000      0.000    0.00130   22.08495           -1.09580       99.13172         5.097e-05 
  2558.750          73.228     -5.635    -10.831            6.380        18485.154      6.112      0.000      0.000    0.00127   21.89353           -1.11619       99.12535         5.191e-05 
  2559.750          73.103     -5.644    -10.775            6.328        18491.436      6.112      0.000      0.000    0.00125   21.70186           -1.13775       99.11902         5.288e-05 
  2560.750          72.977     -5.653    -10.720            6.272        18497.664      6.112      0.000      0.000    0.00123   21.50050           -1.16053       99.11273         5.388e-05 
  2561.750          72.849     -5.662    -10.665            6.211        18503.834      6.112      0.000      0.000    0.00120   21.28106           -1.18465       99.10648         5.491e-05 
  2562.750          72.720     -5.671    -10.610            6.143        18509.941      6.112      0.000      0.000    0.00118   21.03969           -1.21027       99.10029         5.596e-05 
  2563.750          72.590     -5.679    -10.557            6.067        18515.977      6.112      0.000      0.000    0.00116   20.77250           -1.23759       99.09417         5.705e-05 
  2564.750          72.458     -5.688    -10.503            5.983        18521.933      6.112      0.000      0.000    0.00114   20.47459           -1.26682       99.08812         5.817e-05 
  2565.750          72.325     -5.696    -10.451            5.887        18527.801      6.112      0.000      0.000    0.00111   20.13970           -1.29825       99.08215         5.931e-05 
  2566.750          72.192     -5.704    -10.400            5.777        18533.566      6.112      0.000      0.000    0.00109   19.75978           -1.33225       99.07629         6.049e-05 
  2567.750          72.057     -5.712    -10.349            5.651        18539.215      6.112      0.000      0.000    0.00107   19.32430           -1.36926       99.07056         6.170e-05 
  2568.750          71.922     -5.720    -10.300            5.503        18544.729      6.112      0.000      0.000    0.00105   18.81942           -1.40988       99.06498         6.294e-05 
  2569.750          71.786     -5.728    -10.253            5.329        18550.083      6.112      0.000      0.000    0.00103   18.22670           -1.45490       99.05959         6.420e-05 
