#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.T4S.d5048910-9fae-46a6-bc06-68f2fe96939e_Trajectory.txt
# RunID         : sara
# ObjectID      : d5048910-9fae-46a6-bc06-68f2fe96939e
# ObjectName    : T4S
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2354.100          89.986     -3.397    -23.804            7.337        17024.229      1.426      0.000      0.000    0.06373   26.78776           -0.45747      100.29077         3.425e-06 
  2354.200          89.980     -3.398    -23.798            7.337        17024.952      1.425      0.000      0.000    0.06367   26.78757           -0.45757      100.29034         3.428e-06 
  2354.650          89.954     -3.403    -23.769            7.336        17028.209      1.424      0.000      0.000    0.06341   26.78667           -0.45805      100.28840         3.442e-06 
  2355.650          89.895     -3.415    -23.705            7.336        17035.444      1.420      0.000      0.000    0.06280   26.78460           -0.45911      100.28408         3.476e-06 
  2356.650          89.836     -3.427    -23.641            7.335        17042.678      1.416      0.000      0.000    0.06215   26.78234           -0.46018      100.27975         3.513e-06 
  2357.650          89.777     -3.438    -23.577            7.334        17049.912      1.412      0.000      0.000    0.06150   26.78005           -0.46127      100.27541         3.550e-06 
  2358.650          89.718     -3.450    -23.513            7.333        17057.145      1.407      0.000      0.000    0.06086   26.77772           -0.46238      100.27105         3.587e-06 
  2359.650          89.659     -3.462    -23.448            7.333        17064.378      1.403      0.000      0.000    0.06022   26.77535           -0.46350      100.26668         3.625e-06 
  2360.650          89.600     -3.473    -23.384            7.332        17071.609      1.399      0.000      0.000    0.05959   26.77295           -0.46464      100.26229         3.663e-06 
  2361.650          89.540     -3.485    -23.320            7.331        17078.840      1.395      0.000      0.000    0.05897   26.77050           -0.46579      100.25789         3.702e-06 
  2362.650          89.481     -3.496    -23.256            7.330        17086.071      1.391      0.000      0.000    0.05835   26.76803           -0.46696      100.25347         3.742e-06 
  2363.650          89.421     -3.508    -23.192            7.329        17093.300      1.387      0.000      0.000    0.05773   26.76551           -0.46815      100.24904         3.782e-06 
