#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.TCU-internal.00bcb475-9d93-4ea9-bf21-a95c5c8f92db_Trajectory.txt
# RunID         : sara
# ObjectID      : 00bcb475-9d93-4ea9-bf21-a95c5c8f92db
# ObjectName    : TCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2602.750          66.577     -6.051     -8.201            6.191        18780.098      1.906      0.000      0.000    0.00140   20.43510           -1.66909       98.82009         1.323e-04 
  2602.850          66.559     -6.052     -8.195            6.186        18780.710      1.906      0.000      0.000    0.00139   20.42048           -1.67164       98.81943         1.326e-04 
  2603.300          66.478     -6.056     -8.171            6.166        18783.460      1.906      0.000      0.000    0.00138   20.35249           -1.68327       98.81647         1.339e-04 
  2604.300          66.296     -6.064     -8.117            6.122        18789.539      1.906      0.000      0.000    0.00135   20.19585           -1.70987       98.80990         1.370e-04 
  2605.300          66.112     -6.073     -8.063            6.077        18795.573      1.906      0.000      0.000    0.00132   20.02642           -1.73753       98.80337         1.404e-04 
  2606.300          65.927     -6.081     -8.009            6.031        18801.563      1.906      0.000      0.000    0.00128   19.85574           -1.76627       98.79688         1.439e-04 
  2607.300          65.740     -6.089     -7.956            5.985        18807.508      1.906      0.000      0.000    0.00125   19.68381           -1.79612       98.79042         1.475e-04 
  2608.300          65.552     -6.097     -7.904            5.939        18813.407      1.906      0.000      0.000    0.00122   19.51062           -1.82709       98.78399         1.513e-04 
  2609.300          65.362     -6.105     -7.851            5.892        18819.260      1.906      0.000      0.000    0.00119   19.33618           -1.85922       98.77759         1.551e-04 
  2610.300          65.170     -6.113     -7.799            5.845        18825.067      1.906      0.000      0.000    0.00116   19.16049           -1.89251       98.77123         1.591e-04 
  2611.300          64.976     -6.121     -7.748            5.797        18830.827      1.906      0.000      0.000    0.00113   18.98356           -1.92700       98.76490         1.632e-04 
  2612.300          64.780     -6.129     -7.697            5.749        18836.539      1.906      0.000      0.000    0.00110   18.80538           -1.96271       98.75861         1.675e-04 
  2613.300          64.582     -6.137     -7.646            5.701        18842.204      1.906      0.000      0.000    0.00107   18.62597           -1.99966       98.75236         1.719e-04 
  2614.300          64.382     -6.145     -7.596            5.652        18847.821      1.906      0.000      0.000    0.00105   18.44534           -2.03787       98.74614         1.764e-04 
  2615.300          64.180     -6.152     -7.547            5.597        18853.386      1.906      0.000      0.000    0.00102   18.24955           -2.07747       98.73997         1.811e-04 
  2616.300          63.977     -6.160     -7.498            5.491        18858.872      1.906      0.000      0.000    0.00099   17.90260           -2.11944       98.73396         1.860e-04 
  2616.622          63.914     -6.162     -7.483            5.077        18860.555      1.906      0.000      0.000    0.00098   16.66783           -2.13715       98.73278         1.880e-04 
