#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.TCU.5730fc2c-e436-4d0d-8aff-7db103d50d08_Trajectory.txt
# RunID         : sara
# ObjectID      : 5730fc2c-e436-4d0d-8aff-7db103d50d08
# ObjectName    : TCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2545.200          74.831     -5.505    -11.634            7.079        18394.991      1.906      0.000      0.000    0.00451   24.44276           -0.93434       99.21469         4.095e-05 
  2545.300          74.820     -5.506    -11.628            7.078        18395.691      1.906      0.000      0.000    0.00450   24.43943           -0.93496       99.21401         4.101e-05 
  2545.750          74.768     -5.511    -11.600            7.075        18398.839      1.906      0.000      0.000    0.00447   24.42396           -0.93780       99.21094         4.130e-05 
  2546.750          74.652     -5.521    -11.538            7.068        18405.828      1.906      0.000      0.000    0.00440   24.38823           -0.94420       99.20413         4.198e-05 
  2547.750          74.535     -5.531    -11.476            7.060        18412.811      1.906      0.000      0.000    0.00432   24.34947           -0.95074       99.19732         4.272e-05 
  2548.750          74.417     -5.541    -11.414            7.053        18419.786      1.906      0.000      0.000    0.00425   24.31029           -0.95744       99.19049         4.348e-05 
  2549.750          74.299     -5.551    -11.352            7.045        18426.753      1.906      0.000      0.000    0.00417   24.27068           -0.96430       99.18366         4.426e-05 
  2550.750          74.180     -5.561    -11.290            7.037        18433.714      1.906      0.000      0.000    0.00410   24.23062           -0.97131       99.17683         4.505e-05 
  2551.750          74.061     -5.571    -11.228            7.029        18440.666      1.906      0.000      0.000    0.00403   24.19011           -0.97848       99.16998         4.586e-05 
  2552.750          73.940     -5.581    -11.166            7.021        18447.611      1.906      0.000      0.000    0.00395   24.14915           -0.98581       99.16314         4.670e-05 
