#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.TRSP2.e6de9af4-9b9e-438c-9f5f-4f5d2d97b59e_Trajectory.txt
# RunID         : sara
# ObjectID      : e6de9af4-9b9e-438c-9f5f-4f5d2d97b59e
# ObjectName    : TRSP2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2354.100          89.986     -3.397    -23.804            7.337        17024.229      1.269      0.000      0.000    0.09688   26.78776           -0.45747      100.29077         3.425e-06 
  2354.200          89.980     -3.398    -23.798            7.337        17024.952      1.269      0.000      0.000    0.09679   26.78709           -0.45757      100.29034         3.428e-06 
  2354.650          89.954     -3.403    -23.769            7.336        17028.208      1.267      0.000      0.000    0.09638   26.78394           -0.45805      100.28840         3.442e-06 
  2355.650          89.895     -3.415    -23.705            7.333        17035.442      1.263      0.000      0.000    0.09545   26.77669           -0.45915      100.28409         3.476e-06 
  2356.650          89.836     -3.427    -23.641            7.331        17042.673      1.259      0.000      0.000    0.09446   26.76883           -0.46028      100.27976         3.513e-06 
  2357.650          89.777     -3.438    -23.577            7.329        17049.903      1.255      0.000      0.000    0.09348   26.76091           -0.46147      100.27542         3.550e-06 
  2358.650          89.718     -3.450    -23.513            7.326        17057.130      1.251      0.000      0.000    0.09251   26.75290           -0.46270      100.27107         3.587e-06 
  2359.650          89.659     -3.461    -23.449            7.324        17064.354      1.247      0.000      0.000    0.09154   26.74483           -0.46397      100.26671         3.625e-06 
  2360.650          89.600     -3.473    -23.385            7.322        17071.577      1.243      0.000      0.000    0.09059   26.73669           -0.46529      100.26233         3.663e-06 
  2361.650          89.540     -3.485    -23.321            7.319        17078.797      1.239      0.000      0.000    0.08964   26.72847           -0.46665      100.25793         3.702e-06 
  2362.650          89.481     -3.496    -23.257            7.317        17086.015      1.235      0.000      0.000    0.08869   26.72018           -0.46806      100.25353         3.742e-06 
  2363.650          89.421     -3.508    -23.193            7.314        17093.230      1.231      0.000      0.000    0.08776   26.71182           -0.46952      100.24911         3.782e-06 
  2364.650          89.361     -3.520    -23.129            7.312        17100.444      1.227      0.000      0.000    0.08683   26.70338           -0.47103      100.24467         3.822e-06 
  2365.650          89.300     -3.531    -23.065            7.310        17107.655      1.223      0.000      0.000    0.08591   26.69488           -0.47258      100.24022         3.863e-06 
  2366.650          89.240     -3.543    -23.001            7.307        17114.863      1.219      0.000      0.000    0.08500   26.68629           -0.47418      100.23576         3.905e-06 
  2367.650          89.180     -3.554    -22.938            7.305        17122.069      1.215      0.000      0.000    0.08409   26.67761           -0.47583      100.23129         3.947e-06 
  2368.650          89.119     -3.566    -22.874            7.302        17129.273      1.211      0.000      0.000    0.08319   26.66880           -0.47752      100.22680         3.990e-06 
  2369.650          89.058     -3.577    -22.810            7.300        17136.475      1.207      0.000      0.000    0.08229   26.66000           -0.47927      100.22230         4.034e-06 
  2370.650          88.997     -3.589    -22.746            7.297        17143.674      1.203      0.000      0.000    0.08141   26.65118           -0.48106      100.21779         4.078e-06 
  2371.650          88.935     -3.601    -22.683            7.294        17150.870      1.199      0.000      0.000    0.08053   26.64221           -0.48291      100.21326         4.123e-06 
  2372.650          88.874     -3.612    -22.619            7.292        17158.064      1.195      0.000      0.000    0.07965   26.63316           -0.48480      100.20872         4.168e-06 
  2373.650          88.812     -3.624    -22.555            7.289        17165.256      1.191      0.000      0.000    0.07878   26.62403           -0.48674      100.20417         4.214e-06 
  2374.650          88.750     -3.635    -22.492            7.287        17172.445      1.187      0.000      0.000    0.07792   26.61482           -0.48874      100.19960         4.261e-06 
  2375.650          88.688     -3.647    -22.428            7.284        17179.631      1.183      0.000      0.000    0.07707   26.60553           -0.49078      100.19502         4.308e-06 
  2376.650          88.625     -3.658    -22.364            7.281        17186.816      1.179      0.000      0.000    0.07622   26.59616           -0.49288      100.19043         4.356e-06 
  2377.650          88.562     -3.670    -22.301            7.279        17193.997      1.176      0.000      0.000    0.07537   26.58670           -0.49503      100.18582         4.405e-06 
  2378.650          88.499     -3.681    -22.237            7.276        17201.176      1.172      0.000      0.000    0.07454   26.57717           -0.49723      100.18120         4.455e-06 
  2379.650          88.436     -3.693    -22.173            7.273        17208.352      1.168      0.000      0.000    0.07370   26.56754           -0.49948      100.17657         4.505e-06 
  2380.650          88.372     -3.704    -22.110            7.271        17215.526      1.164      0.000      0.000    0.07288   26.55784           -0.50178      100.17192         4.556e-06 
  2381.650          88.309     -3.715    -22.046            7.268        17222.697      1.160      0.000      0.000    0.07206   26.54804           -0.50414      100.16726         4.608e-06 
  2382.650          88.245     -3.727    -21.983            7.265        17229.866      1.156      0.000      0.000    0.07124   26.53816           -0.50655      100.16259         4.661e-06 
  2383.650          88.180     -3.738    -21.919            7.262        17237.031      1.152      0.000      0.000    0.07043   26.52819           -0.50902      100.15791         4.715e-06 
  2384.650          88.116     -3.750    -21.856            7.260        17244.194      1.148      0.000      0.000    0.06963   26.51814           -0.51154      100.15321         4.769e-06 
  2385.650          88.051     -3.761    -21.792            7.257        17251.355      1.145      0.000      0.000    0.06883   26.50799           -0.51411      100.14850         4.825e-06 
