#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ValvTran2.d434ed3a-2eb2-42cd-9156-a61e1e3e9de8_Trajectory.txt
# RunID         : sara
# ObjectID      : d434ed3a-2eb2-42cd-9156-a61e1e3e9de8
# ObjectName    : ValvTran2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2354.100          89.986     -3.397    -23.804            7.337        17024.229      2.409      0.000      0.000    0.19258   26.78776           -0.45747      100.29077         3.425e-06 
  2354.200          89.980     -3.398    -23.798            7.337        17024.952      2.408      0.000      0.000    0.19241   26.78712           -0.45757      100.29034         3.428e-06 
  2354.650          89.954     -3.403    -23.769            7.336        17028.208      2.405      0.000      0.000    0.19160   26.78412           -0.45805      100.28840         3.442e-06 
  2355.650          89.895     -3.415    -23.705            7.333        17035.442      2.399      0.000      0.000    0.18975   26.77721           -0.45914      100.28409         3.476e-06 
  2356.650          89.836     -3.427    -23.641            7.331        17042.674      2.392      0.000      0.000    0.18779   26.76972           -0.46028      100.27976         3.513e-06 
  2357.650          89.777     -3.438    -23.577            7.329        17049.903      2.385      0.000      0.000    0.18584   26.76216           -0.46145      100.27542         3.550e-06 
  2358.650          89.718     -3.450    -23.513            7.327        17057.131      2.378      0.000      0.000    0.18390   26.75452           -0.46267      100.27107         3.587e-06 
  2359.650          89.659     -3.461    -23.449            7.324        17064.356      2.371      0.000      0.000    0.18199   26.74681           -0.46394      100.26670         3.625e-06 
  2360.650          89.600     -3.473    -23.385            7.322        17071.579      2.364      0.000      0.000    0.18008   26.73904           -0.46525      100.26232         3.663e-06 
  2361.650          89.540     -3.485    -23.321            7.320        17078.800      2.357      0.000      0.000    0.17819   26.73119           -0.46660      100.25793         3.702e-06 
  2362.650          89.481     -3.496    -23.257            7.318        17086.019      2.350      0.000      0.000    0.17632   26.72326           -0.46799      100.25352         3.742e-06 
  2363.650          89.421     -3.508    -23.193            7.315        17093.235      2.343      0.000      0.000    0.17446   26.71527           -0.46943      100.24910         3.782e-06 
  2364.650          89.361     -3.520    -23.129            7.313        17100.449      2.336      0.000      0.000    0.17262   26.70720           -0.47092      100.24467         3.822e-06 
  2365.650          89.300     -3.531    -23.065            7.311        17107.661      2.329      0.000      0.000    0.17079   26.69905           -0.47245      100.24022         3.863e-06 
  2366.650          89.240     -3.543    -23.001            7.308        17114.871      2.322      0.000      0.000    0.16897   26.69083           -0.47403      100.23576         3.905e-06 
  2367.650          89.180     -3.554    -22.938            7.306        17122.079      2.314      0.000      0.000    0.16717   26.68252           -0.47565      100.23128         3.947e-06 
  2368.650          89.119     -3.566    -22.874            7.304        17129.284      2.307      0.000      0.000    0.16538   26.67408           -0.47732      100.22679         3.990e-06 
  2369.650          89.058     -3.577    -22.810            7.301        17136.487      2.300      0.000      0.000    0.16360   26.66564           -0.47904      100.22229         4.034e-06 
  2370.650          88.997     -3.589    -22.746            7.299        17143.687      2.293      0.000      0.000    0.16184   26.65719           -0.48080      100.21778         4.078e-06 
  2371.650          88.935     -3.601    -22.682            7.296        17150.885      2.285      0.000      0.000    0.16009   26.64859           -0.48261      100.21325         4.122e-06 
  2372.650          88.874     -3.612    -22.619            7.294        17158.081      2.278      0.000      0.000    0.15835   26.63992           -0.48447      100.20871         4.168e-06 
  2373.650          88.812     -3.624    -22.555            7.291        17165.275      2.271      0.000      0.000    0.15662   26.63116           -0.48637      100.20415         4.214e-06 
  2374.650          88.750     -3.635    -22.491            7.289        17172.466      2.264      0.000      0.000    0.15491   26.62232           -0.48833      100.19958         4.261e-06 
  2375.650          88.688     -3.647    -22.428            7.286        17179.655      2.256      0.000      0.000    0.15321   26.61341           -0.49033      100.19500         4.308e-06 
  2376.650          88.625     -3.658    -22.364            7.284        17186.841      2.249      0.000      0.000    0.15152   26.60441           -0.49239      100.19041         4.356e-06 
  2377.650          88.563     -3.670    -22.300            7.281        17194.025      2.241      0.000      0.000    0.14985   26.59534           -0.49449      100.18580         4.405e-06 
  2378.650          88.500     -3.681    -22.237            7.279        17201.206      2.234      0.000      0.000    0.14818   26.58619           -0.49664      100.18118         4.454e-06 
  2379.650          88.436     -3.693    -22.173            7.276        17208.385      2.226      0.000      0.000    0.14653   26.57695           -0.49884      100.17654         4.505e-06 
  2380.650          88.373     -3.704    -22.110            7.273        17215.561      2.219      0.000      0.000    0.14489   26.56763           -0.50110      100.17190         4.556e-06 
  2381.650          88.309     -3.715    -22.046            7.271        17222.735      2.212      0.000      0.000    0.14326   26.55822           -0.50340      100.16724         4.608e-06 
  2382.650          88.245     -3.727    -21.983            7.268        17229.906      2.204      0.000      0.000    0.14164   26.54874           -0.50576      100.16256         4.661e-06 
  2383.650          88.181     -3.738    -21.919            7.265        17237.075      2.196      0.000      0.000    0.14004   26.53917           -0.50817      100.15788         4.714e-06 
  2384.650          88.116     -3.750    -21.856            7.263        17244.241      2.189      0.000      0.000    0.13844   26.52951           -0.51063      100.15318         4.769e-06 
  2385.650          88.051     -3.761    -21.792            7.260        17251.405      2.181      0.000      0.000    0.13686   26.51977           -0.51314      100.14847         4.824e-06 
  2386.650          87.986     -3.773    -21.729            7.257        17258.565      2.174      0.000      0.000    0.13529   26.50995           -0.51571      100.14374         4.880e-06 
  2387.650          87.921     -3.784    -21.665            7.255        17265.724      2.166      0.000      0.000    0.13372   26.50003           -0.51833      100.13900         4.937e-06 
  2388.650          87.855     -3.795    -21.602            7.252        17272.879      2.158      0.000      0.000    0.13217   26.49003           -0.52101      100.13425         4.995e-06 
  2389.650          87.789     -3.807    -21.538            7.249        17280.032      2.151      0.000      0.000    0.13063   26.47994           -0.52373      100.12949         5.054e-06 
  2390.650          87.722     -3.818    -21.475            7.246        17287.183      2.143      0.000      0.000    0.12910   26.46976           -0.52652      100.12471         5.114e-06 
  2391.650          87.656     -3.829    -21.412            7.243        17294.330      2.135      0.000      0.000    0.12758   26.45949           -0.52936      100.11992         5.175e-06 
  2392.650          87.589     -3.841    -21.348            7.240        17301.475      2.127      0.000      0.000    0.12607   26.44913           -0.53225      100.11512         5.237e-06 
  2393.650          87.521     -3.852    -21.285            7.238        17308.617      2.120      0.000      0.000    0.12457   26.43868           -0.53520      100.11031         5.301e-06 
  2394.650          87.453     -3.863    -21.222            7.235        17315.756      2.112      0.000      0.000    0.12308   26.42814           -0.53821      100.10548         5.365e-06 
  2395.650          87.385     -3.875    -21.159            7.232        17322.893      2.104      0.000      0.000    0.12160   26.41751           -0.54128      100.10064         5.430e-06 
  2396.650          87.317     -3.886    -21.095            7.229        17330.026      2.096      0.000      0.000    0.12013   26.40678           -0.54440      100.09579         5.497e-06 
  2397.650          87.248     -3.897    -21.032            7.226        17337.157      2.088      0.000      0.000    0.11867   26.39596           -0.54758      100.09092         5.564e-06 
  2398.650          87.179     -3.909    -20.969            7.223        17344.285      2.080      0.000      0.000    0.11723   26.38504           -0.55082      100.08605         5.633e-06 
  2399.650          87.109     -3.920    -20.906            7.220        17351.410      2.072      0.000      0.000    0.11579   26.37403           -0.55411      100.08116         5.703e-06 
  2400.650          87.039     -3.931    -20.843            7.217        17358.532      2.064      0.000      0.000    0.11436   26.36292           -0.55747      100.07625         5.775e-06 
  2401.650          86.969     -3.943    -20.780            7.214        17365.651      2.056      0.000      0.000    0.11294   26.35171           -0.56089      100.07134         5.847e-06 
