Time [s]	Altitude [km]	Latitude [deg]	Longitude [deg]	Velocity [m/s]	Temperature [K]	Mass [kg]	Convective Heat [W/m²]	Integrated Heat [J/m²]	Object	Material
2676.2	70.563	-9.692	-74.775	6.896	300.0	0.9	4.519	42822.442	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2676.3	70.549	-9.691	-74.768	6.892	305.401	0.9	4.519	42798.143	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2676.75	70.486	-9.689	-74.741	6.876	329.579	0.9	4.519	42684.604	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2677.75	70.345	-9.685	-74.679	6.84	382.39	0.9	4.519	42419.523	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2678.75	70.203	-9.681	-74.618	6.803	433.388	0.9	4.519	42127.801	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2679.75	70.061	-9.677	-74.557	6.766	482.349	0.9	4.519	41828.944	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2680.75	69.918	-9.673	-74.496	6.728	526.895	0.9	4.519	41523.191	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2681.75	69.774	-9.669	-74.436	6.691	568.721	0.9	4.519	41210.821	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2682.75	69.629	-9.665	-74.376	6.653	612.047	0.9	4.519	40891.958	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2683.75	69.484	-9.661	-74.316	6.614	652.102	0.9	4.519	40566.945	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2684.75	69.337	-9.657	-74.257	6.576	689.163	0.9	4.519	40235.836	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2685.75	69.189	-9.654	-74.198	6.537	724.15	0.9	4.519	39898.972	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2686.75	69.041	-9.65	-74.139	6.497	761.223	0.9	4.519	39556.413	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2687.75	68.891	-9.646	-74.081	6.457	801.344	0.9	4.519	39208.449	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2688.75	68.739	-9.642	-74.023	6.417	840.534	0.9	4.519	38855.138	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2689.75	68.587	-9.638	-73.965	6.377	850.0	0.83	4.135	38496.756	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2690.75	68.433	-9.634	-73.908	6.333	850.0	0.737	3.638	38076.105	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2691.75	68.278	-9.63	-73.852	6.283	850.0	0.645	3.157	37550.887	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2692.75	68.121	-9.626	-73.795	6.225	850.0	0.555	2.693	36893.717	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2693.75	67.964	-9.622	-73.74	6.158	850.0	0.467	2.248	36071.266	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2694.75	67.805	-9.619	-73.685	6.079	850.0	0.382	1.823	35036.736	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2695.75	67.646	-9.615	-73.631	5.983	850.0	0.3	1.421	33722.122	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2696.75	67.487	-9.611	-73.577	5.861	850.0	0.222	1.045	32022.779	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2697.75	67.327	-9.608	-73.525	5.702	850.0	0.15	0.701	29765.278	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2698.75	67.17	-9.604	-73.475	5.476	850.0	0.086	0.398	26630.963	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2699.75	67.017	-9.601	-73.428	5.114	850.0	0.033	0.153	21934.224	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.346	66.93	-9.599	-73.401	4.633	850.0	0.01	0.046	16360.007	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.5	66.91	-9.599	-73.395	4.287	850.0	0.005	0.025	12742.876	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.637	66.893	-9.598	-73.39	3.82	850.0	0.003	0.012	8995.734	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.718	66.884	-9.598	-73.388	3.375	850.0	0.002	0.008	6120.81	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
2700.781	66.878	-9.598	-73.386	2.937	850.0	0.001	0.005	3976.391	b3430ea6-7c48-4042-b5f7-b07cf49a6371	unknown
