#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ADCS-RPU-internal.03edc3be-cf19-481c-9863-89be7cb55690_Trajectory.txt
# RunID         : sara
# ObjectID      : 03edc3be-cf19-481c-9863-89be7cb55690
# ObjectName    : ADCS-RPU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2727.750          61.516     -9.484    -71.815            5.483        19660.605      1.516      0.000      0.000    0.00068   17.58456           -2.26817       85.67712         2.560e-04 
  2727.850          61.494     -9.484    -71.810            5.477        19661.148      1.516      0.000      0.000    0.00068   17.56448           -2.27253       85.67615         2.566e-04 
  2728.300          61.396     -9.482    -71.788            5.447        19663.580      1.516      0.000      0.000    0.00067   17.47120           -2.29238       85.67180         2.595e-04 
  2729.300          61.178     -9.479    -71.739            5.382        19668.939      1.516      0.000      0.000    0.00065   17.25719           -2.33780       85.66221         2.662e-04 
  2730.300          60.957     -9.475    -71.691            5.317        19674.232      1.516      0.000      0.000    0.00063   17.02710           -2.38505       85.65272         2.737e-04 
  2731.300          60.735     -9.471    -71.644            5.251        19679.461      1.516      0.000      0.000    0.00062   16.79677           -2.43418       85.64331         2.815e-04 
  2732.300          60.511     -9.468    -71.597            5.185        19684.625      1.516      0.000      0.000    0.00060   16.56625           -2.48521       85.63400         2.895e-04 
  2733.300          60.286     -9.464    -71.551            5.119        19689.724      1.516      0.000      0.000    0.00058   16.33558           -2.53820       85.62479         2.978e-04 
  2734.300          60.058     -9.461    -71.505            5.053        19694.757      1.516      0.000      0.000    0.00057   16.10483           -2.59317       85.61566         3.064e-04 
  2735.300          59.828     -9.457    -71.460            4.987        19699.725      1.516      0.000      0.000    0.00055   15.87405           -2.65018       85.60664         3.152e-04 
  2736.300          59.597     -9.454    -71.415            4.920        19704.627      1.516      0.000      0.000    0.00053   15.64329           -2.70926       85.59770         3.244e-04 
  2737.300          59.363     -9.451    -71.371            4.854        19709.463      1.516      0.000      0.000    0.00052   15.41259           -2.77045       85.58887         3.339e-04 
  2738.300          59.128     -9.447    -71.328            4.787        19714.233      1.516      0.000      0.000    0.00050   15.18203           -2.83382       85.58013         3.438e-04 
  2739.300          58.890     -9.444    -71.285            4.720        19718.937      1.516      0.000      0.000    0.00049   14.95164           -2.89939       85.57149         3.540e-04 
  2740.300          58.650     -9.441    -71.243            4.653        19723.574      1.516      0.000      0.000    0.00048   14.72149           -2.96722       85.56294         3.646e-04 
  2741.300          58.408     -9.438    -71.202            4.587        19728.146      1.516      0.000      0.000    0.00046   14.49164           -3.03737       85.55450         3.756e-04 
  2742.300          58.164     -9.434    -71.161            4.520        19732.651      1.516      0.000      0.000    0.00045   14.26213           -3.10987       85.54615         3.870e-04 
  2743.300          57.918     -9.431    -71.121            4.444        19737.085      1.516      0.000      0.000    0.00044   14.00947           -3.18502       85.53787         3.987e-04 
  2744.300          57.671     -9.428    -71.081            4.330        19741.426      1.516      0.000      0.000    0.00042   13.64877           -3.26401       85.52955         4.109e-04 
  2745.300          57.428     -9.425    -71.043            4.117        19745.603      1.516      0.000      0.000    0.00041   12.99921           -3.35034       85.52097         4.233e-04 
  2745.574          57.364     -9.425    -71.034            3.792        19746.676      1.516      0.000      0.000    0.00041   12.01491           -3.37997       85.51724         4.277e-04 
