#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ASCATRFU1.0aa8a2c0-ec39-42e6-8da8-bc6cc699c606_Trajectory.txt
# RunID         : sara
# ObjectID      : 0aa8a2c0-ec39-42e6-8da8-bc6cc699c606
# ObjectName    : ASCATRFU1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2676.200          70.563     -9.692    -74.775            6.896        19334.937      1.177      0.000      0.000    0.00300   23.30852           -1.16798       86.24330         7.654e-05 
  2676.300          70.549     -9.691    -74.768            6.894        19335.619      1.177      0.000      0.000    0.00299   23.30026           -1.16898       86.24212         7.667e-05 
  2676.750          70.486     -9.689    -74.741            6.884        19338.684      1.177      0.000      0.000    0.00297   23.26181           -1.17356       86.23680         7.729e-05 
  2677.750          70.345     -9.685    -74.679            6.861        19345.480      1.177      0.000      0.000    0.00291   23.17308           -1.18407       86.22501         7.873e-05 
  2678.750          70.202     -9.681    -74.617            6.839        19352.253      1.177      0.000      0.000    0.00286   23.07689           -1.19505       86.21327         8.031e-05 
  2679.750          70.059     -9.677    -74.556            6.816        19359.004      1.177      0.000      0.000    0.00280   22.97974           -1.20650       86.20156         8.194e-05 
  2680.750          69.915     -9.673    -74.495            6.792        19365.732      1.177      0.000      0.000    0.00274   22.88162           -1.21843       86.18989         8.360e-05 
  2681.750          69.770     -9.669    -74.434            6.769        19372.438      1.177      0.000      0.000    0.00269   22.78251           -1.23085       86.17826         8.531e-05 
  2682.750          69.625     -9.665    -74.373            6.745        19379.120      1.177      0.000      0.000    0.00263   22.68241           -1.24377       86.16668         8.706e-05 
  2683.750          69.478     -9.661    -74.312            6.721        19385.778      1.177      0.000      0.000    0.00258   22.58129           -1.25719       86.15513         8.885e-05 
  2684.750          69.330     -9.657    -74.252            6.696        19392.412      1.177      0.000      0.000    0.00253   22.47914           -1.27114       86.14363         9.069e-05 
  2685.750          69.181     -9.653    -74.192            6.672        19399.023      1.177      0.000      0.000    0.00248   22.37595           -1.28560       86.13216         9.259e-05 
  2686.750          69.030     -9.649    -74.132            6.646        19405.608      1.177      0.000      0.000    0.00243   22.27170           -1.30060       86.12074         9.453e-05 
  2687.750          68.879     -9.645    -74.072            6.621        19412.169      1.177      0.000      0.000    0.00238   22.16637           -1.31615       86.10937         9.652e-05 
  2688.750          68.726     -9.641    -74.013            6.595        19418.704      1.177      0.000      0.000    0.00233   22.05996           -1.33225       86.09803         9.857e-05 
  2689.750          68.572     -9.637    -73.954            6.569        19425.213      1.177      0.000      0.000    0.00228   21.95245           -1.34891       86.08674         1.007e-04 
  2690.750          68.417     -9.633    -73.895            6.542        19431.697      1.177      0.000      0.000    0.00223   21.84381           -1.36615       86.07549         1.028e-04 
  2691.750          68.260     -9.629    -73.836            6.515        19438.155      1.177      0.000      0.000    0.00218   21.73404           -1.38397       86.06429         1.051e-04 
  2692.750          68.102     -9.625    -73.778            6.488        19444.585      1.177      0.000      0.000    0.00214   21.62311           -1.40239       86.05313         1.074e-04 
  2693.750          67.943     -9.621    -73.720            6.460        19450.989      1.177      0.000      0.000    0.00209   21.51102           -1.42141       86.04201         1.097e-04 
  2694.750          67.782     -9.617    -73.662            6.432        19457.365      1.177      0.000      0.000    0.00204   21.39774           -1.44106       86.03094         1.122e-04 
  2695.750          67.619     -9.613    -73.604            6.404        19463.714      1.177      0.000      0.000    0.00200   21.28326           -1.46133       86.01991         1.147e-04 
  2696.750          67.455     -9.609    -73.546            6.375        19470.034      1.177      0.000      0.000    0.00196   21.16756           -1.48224       86.00893         1.172e-04 
  2697.750          67.289     -9.605    -73.489            6.346        19476.326      1.177      0.000      0.000    0.00191   21.05063           -1.50381       85.99800         1.199e-04 
  2698.750          67.122     -9.601    -73.432            6.317        19482.589      1.177      0.000      0.000    0.00187   20.93244           -1.52604       85.98711         1.226e-04 
  2699.750          66.953     -9.597    -73.376            6.287        19488.822      1.177      0.000      0.000    0.00183   20.81299           -1.54895       85.97627         1.255e-04 
  2700.750          66.782     -9.593    -73.319            6.256        19495.026      1.177      0.000      0.000    0.00179   20.69225           -1.57255       85.96548         1.284e-04 
  2701.750          66.609     -9.589    -73.263            6.226        19501.200      1.177      0.000      0.000    0.00175   20.57021           -1.59686       85.95473         1.314e-04 
  2702.750          66.435     -9.585    -73.207            6.195        19507.343      1.177      0.000      0.000    0.00171   20.44684           -1.62189       85.94404         1.345e-04 
  2703.750          66.259     -9.582    -73.152            6.163        19513.456      1.177      0.000      0.000    0.00167   20.32214           -1.64765       85.93339         1.377e-04 
  2704.750          66.080     -9.578    -73.097            6.130        19519.536      1.177      0.000      0.000    0.00163   20.19293           -1.67418       85.92278         1.410e-04 
  2705.750          65.900     -9.574    -73.042            6.095        19525.583      1.177      0.000      0.000    0.00159   20.05676           -1.70153       85.91223         1.444e-04 
  2706.750          65.719     -9.570    -72.987            6.057        19531.594      1.177      0.000      0.000    0.00155   19.91278           -1.72975       85.90174         1.480e-04 
  2707.750          65.535     -9.566    -72.933            6.016        19537.566      1.177      0.000      0.000    0.00151   19.76021           -1.75892       85.89129         1.516e-04 
  2708.750          65.349     -9.562    -72.879            5.973        19543.497      1.177      0.000      0.000    0.00148   19.59819           -1.78911       85.88091         1.554e-04 
  2709.750          65.162     -9.558    -72.825            5.926        19549.383      1.177      0.000      0.000    0.00144   19.42573           -1.82042       85.87059         1.593e-04 
  2710.750          64.973     -9.555    -72.772            5.876        19555.221      1.177      0.000      0.000    0.00140   19.24172           -1.85294       85.86033         1.633e-04 
  2711.750          64.782     -9.551    -72.720            5.822        19561.008      1.177      0.000      0.000    0.00137   19.04489           -1.88677       85.85015         1.674e-04 
  2712.750          64.589     -9.547    -72.668            5.763        19566.739      1.177      0.000      0.000    0.00134   18.83379           -1.92206       85.84003         1.717e-04 
  2713.750          64.395     -9.543    -72.616            5.699        19572.409      1.177      0.000      0.000    0.00130   18.60675           -1.95894       85.83000         1.761e-04 
  2714.750          64.200     -9.540    -72.565            5.629        19578.013      1.177      0.000      0.000    0.00127   18.36187           -1.99758       85.82005         1.807e-04 
  2715.750          64.003     -9.536    -72.515            5.553        19583.545      1.177      0.000      0.000    0.00124   18.09697           -2.03816       85.81018         1.854e-04 
  2716.750          63.805     -9.532    -72.465            5.470        19588.998      1.177      0.000      0.000    0.00121   17.80954           -2.08092       85.80041         1.902e-04 
  2717.750          63.606     -9.529    -72.417            5.379        19594.365      1.177      0.000      0.000    0.00117   17.49675           -2.12612       85.79074         1.952e-04 
  2718.750          63.406     -9.525    -72.369            5.279        19599.637      1.177      0.000      0.000    0.00114   17.15538           -2.17406       85.78117         2.003e-04 
