#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.BEG1.9be9abc7-df7e-49fe-9875-83ac0efa312c_Trajectory.txt
# RunID         : sara
# ObjectID      : 9be9abc7-df7e-49fe-9875-83ac0efa312c
# ObjectName    : BEG1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      2.996      0.000      0.000    0.05092   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      2.995      0.000      0.000    0.05087   26.77744           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.330        17955.936      2.992      0.000      0.000    0.05065   26.77565           -0.48473       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.329        17963.165      2.984      0.000      0.000    0.05013   26.77150           -0.48596       88.69533         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.328        17970.393      2.976      0.000      0.000    0.04958   26.76701           -0.48722       88.68212         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.326        17977.620      2.968      0.000      0.000    0.04903   26.76246           -0.48850       88.66891         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.325        17984.846      2.960      0.000      0.000    0.04849   26.75786           -0.48980       88.65570         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.324        17992.070      2.952      0.000      0.000    0.04795   26.75322           -0.49113       88.64250         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.323        17999.293      2.944      0.000      0.000    0.04742   26.74852           -0.49248       88.62931         5.382e-06 
  2489.650          87.373    -10.232    -86.879            7.321        18006.515      2.936      0.000      0.000    0.04690   26.74377           -0.49387       88.61611         5.443e-06 
  2490.650          87.309    -10.231    -86.813            7.320        18013.736      2.928      0.000      0.000    0.04637   26.73898           -0.49527       88.60292         5.505e-06 
  2491.650          87.246    -10.229    -86.747            7.319        18020.955      2.920      0.000      0.000    0.04585   26.73413           -0.49671       88.58974         5.567e-06 
  2492.650          87.182    -10.228    -86.681            7.317        18028.174      2.912      0.000      0.000    0.04534   26.72923           -0.49816       88.57656         5.630e-06 
  2493.650          87.119    -10.226    -86.615            7.316        18035.391      2.905      0.000      0.000    0.04483   26.72428           -0.49965       88.56338         5.694e-06 
  2494.650          87.055    -10.224    -86.550            7.315        18042.606      2.897      0.000      0.000    0.04432   26.71928           -0.50116       88.55021         5.759e-06 
  2495.650          86.991    -10.223    -86.484            7.313        18049.821      2.890      0.000      0.000    0.04382   26.71422           -0.50270       88.53704         5.825e-06 
  2496.650          86.926    -10.221    -86.418            7.312        18057.034      2.882      0.000      0.000    0.04333   26.70911           -0.50427       88.52388         5.892e-06 
  2497.650          86.862    -10.219    -86.352            7.310        18064.246      2.875      0.000      0.000    0.04283   26.70396           -0.50586       88.51072         5.960e-06 
  2498.650          86.797    -10.218    -86.286            7.309        18071.456      2.868      0.000      0.000    0.04234   26.69874           -0.50748       88.49756         6.029e-06 
  2499.650          86.733    -10.216    -86.221            7.308        18078.666      2.861      0.000      0.000    0.04186   26.69348           -0.50913       88.48441         6.099e-06 
  2500.650          86.668    -10.214    -86.155            7.306        18085.873      2.853      0.000      0.000    0.04138   26.68816           -0.51081       88.47127         6.170e-06 
  2501.650          86.602    -10.212    -86.089            7.305        18093.080      2.846      0.000      0.000    0.04090   26.68279           -0.51251       88.45813         6.242e-06 
  2502.650          86.537    -10.211    -86.023            7.303        18100.285      2.839      0.000      0.000    0.04043   26.67736           -0.51425       88.44499         6.315e-06 
  2503.650          86.471    -10.209    -85.958            7.302        18107.489      2.832      0.000      0.000    0.03996   26.67188           -0.51601       88.43186         6.389e-06 
  2504.650          86.405    -10.207    -85.892            7.300        18114.691      2.826      0.000      0.000    0.03950   26.66634           -0.51781       88.41873         6.464e-06 
  2505.650          86.339    -10.205    -85.826            7.299        18121.892      2.819      0.000      0.000    0.03903   26.66075           -0.51963       88.40561         6.540e-06 
  2506.650          86.273    -10.203    -85.760            7.297        18129.092      2.812      0.000      0.000    0.03858   26.65510           -0.52148       88.39249         6.618e-06 
  2507.650          86.206    -10.202    -85.695            7.296        18136.290      2.805      0.000      0.000    0.03812   26.64940           -0.52336       88.37938         6.697e-06 
  2508.650          86.140    -10.200    -85.629            7.294        18143.486      2.799      0.000      0.000    0.03767   26.64364           -0.52527       88.36627         6.777e-06 
  2509.650          86.073    -10.198    -85.564            7.293        18150.682      2.792      0.000      0.000    0.03723   26.63783           -0.52722       88.35317         6.859e-06 
  2510.650          86.005    -10.196    -85.498            7.291        18157.875      2.786      0.000      0.000    0.03678   26.63196           -0.52919       88.34007         6.941e-06 
  2511.650          85.938    -10.194    -85.432            7.289        18165.068      2.780      0.000      0.000    0.03637   26.61845           -0.53119       88.32698         7.021e-06 
  2512.650          85.870    -10.192    -85.367            7.288        18172.258      2.774      0.000      0.000    0.03596   26.60291           -0.53323       88.31389         7.100e-06 
  2513.650          85.802    -10.190    -85.301            7.286        18179.448      2.768      0.000      0.000    0.03555   26.58731           -0.53530       88.30081         7.182e-06 
  2514.650          85.734    -10.188    -85.235            7.285        18186.635      2.762      0.000      0.000    0.03515   26.57164           -0.53740       88.28773         7.264e-06 
  2515.650          85.666    -10.186    -85.170            7.283        18193.821      2.757      0.000      0.000    0.03475   26.55589           -0.53953       88.27466         7.347e-06 
  2516.650          85.597    -10.184    -85.104            7.281        18201.006      2.751      0.000      0.000    0.03436   26.54005           -0.54170       88.26159         7.432e-06 
  2517.650          85.528    -10.183    -85.039            7.280        18208.189      2.746      0.000      0.000    0.03396   26.52416           -0.54390       88.24853         7.518e-06 
  2518.650          85.459    -10.181    -84.973            7.278        18215.370      2.740      0.000      0.000    0.03357   26.50815           -0.54613       88.23547         7.605e-06 
  2519.650          85.389    -10.179    -84.908            7.276        18222.550      2.735      0.000      0.000    0.03319   26.49202           -0.54839       88.22242         7.694e-06 
