#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.BSP.0b78a548-49bc-4f2b-8b9f-999d24c804ae_Trajectory.txt
# RunID         : sara
# ObjectID      : 0b78a548-49bc-4f2b-8b9f-999d24c804ae
# ObjectName    : BSP
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      1.234      0.000      0.000    0.02883   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      1.233      0.000      0.000    0.02881   26.77754           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.330        17955.936      1.233      0.000      0.000    0.02868   26.77618           -0.48473       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.329        17963.166      1.231      0.000      0.000    0.02839   26.77303           -0.48595       88.69533         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.328        17970.394      1.229      0.000      0.000    0.02807   26.76962           -0.48720       88.68212         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.327        17977.622      1.227      0.000      0.000    0.02776   26.76615           -0.48846       88.66891         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.327        17984.849      1.226      0.000      0.000    0.02746   26.76264           -0.48974       88.65570         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.326        17992.075      1.224      0.000      0.000    0.02715   26.75908           -0.49104       88.64250         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.325        17999.299      1.222      0.000      0.000    0.02685   26.75548           -0.49236       88.62930         5.382e-06 
  2489.650          87.372    -10.232    -86.879            7.324        18006.524      1.220      0.000      0.000    0.02655   26.75183           -0.49370       88.61610         5.443e-06 
  2490.650          87.309    -10.231    -86.813            7.323        18013.747      1.219      0.000      0.000    0.02626   26.74813           -0.49506       88.60291         5.505e-06 
  2491.650          87.246    -10.229    -86.747            7.321        18020.969      1.217      0.000      0.000    0.02596   26.74438           -0.49644       88.58972         5.567e-06 
  2492.650          87.182    -10.228    -86.681            7.320        18028.190      1.216      0.000      0.000    0.02567   26.74059           -0.49784       88.57653         5.630e-06 
  2493.650          87.119    -10.226    -86.615            7.319        18035.410      1.214      0.000      0.000    0.02538   26.73675           -0.49926       88.56335         5.694e-06 
  2494.650          87.055    -10.224    -86.549            7.318        18042.630      1.212      0.000      0.000    0.02510   26.73286           -0.50071       88.55017         5.759e-06 
  2495.650          86.991    -10.223    -86.484            7.317        18049.848      1.211      0.000      0.000    0.02482   26.72893           -0.50217       88.53700         5.825e-06 
  2496.650          86.927    -10.221    -86.418            7.316        18057.065      1.209      0.000      0.000    0.02453   26.72494           -0.50366       88.52383         5.892e-06 
  2497.650          86.862    -10.219    -86.352            7.315        18064.281      1.208      0.000      0.000    0.02425   26.72090           -0.50516       88.51066         5.960e-06 
  2498.650          86.798    -10.218    -86.286            7.314        18071.497      1.207      0.000      0.000    0.02398   26.71682           -0.50669       88.49750         6.029e-06 
  2499.650          86.733    -10.216    -86.220            7.313        18078.711      1.205      0.000      0.000    0.02370   26.71268           -0.50824       88.48434         6.098e-06 
  2500.650          86.668    -10.214    -86.154            7.312        18085.924      1.204      0.000      0.000    0.02343   26.70849           -0.50982       88.47119         6.169e-06 
  2501.650          86.603    -10.212    -86.089            7.311        18093.136      1.203      0.000      0.000    0.02316   26.70426           -0.51141       88.45804         6.241e-06 
  2502.650          86.537    -10.211    -86.023            7.309        18100.348      1.201      0.000      0.000    0.02290   26.69997           -0.51303       88.44489         6.314e-06 
  2503.650          86.472    -10.209    -85.957            7.308        18107.558      1.200      0.000      0.000    0.02263   26.69563           -0.51467       88.43175         6.388e-06 
  2504.650          86.406    -10.207    -85.891            7.307        18114.767      1.199      0.000      0.000    0.02237   26.69124           -0.51633       88.41861         6.463e-06 
  2505.650          86.340    -10.205    -85.825            7.306        18121.975      1.198      0.000      0.000    0.02211   26.68680           -0.51802       88.40548         6.539e-06 
  2506.650          86.274    -10.203    -85.760            7.305        18129.181      1.196      0.000      0.000    0.02185   26.68231           -0.51973       88.39235         6.617e-06 
  2507.650          86.208    -10.202    -85.694            7.304        18136.387      1.195      0.000      0.000    0.02159   26.67776           -0.52147       88.37922         6.696e-06 
  2508.650          86.141    -10.200    -85.628            7.302        18143.592      1.194      0.000      0.000    0.02134   26.67317           -0.52323       88.36610         6.776e-06 
  2509.650          86.074    -10.198    -85.562            7.301        18150.795      1.193      0.000      0.000    0.02108   26.66852           -0.52501       88.35299         6.857e-06 
  2510.650          86.007    -10.196    -85.497            7.300        18157.997      1.192      0.000      0.000    0.02083   26.66381           -0.52682       88.33988         6.939e-06 
  2511.650          85.940    -10.194    -85.431            7.299        18165.198      1.191      0.000      0.000    0.02060   26.65175           -0.52865       88.32677         7.019e-06 
  2512.650          85.873    -10.192    -85.365            7.297        18172.398      1.190      0.000      0.000    0.02037   26.63740           -0.53051       88.31367         7.098e-06 
  2513.650          85.805    -10.190    -85.300            7.296        18179.597      1.189      0.000      0.000    0.02014   26.62301           -0.53240       88.30057         7.179e-06 
  2514.650          85.737    -10.188    -85.234            7.295        18186.794      1.188      0.000      0.000    0.01991   26.60854           -0.53431       88.28747         7.260e-06 
  2515.650          85.669    -10.186    -85.168            7.293        18193.990      1.187      0.000      0.000    0.01969   26.59400           -0.53624       88.27439         7.344e-06 
