#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.BatFloor.7f59d1ba-8c20-48f8-822b-0987db6bca9c_Trajectory.txt
# RunID         : sara
# ObjectID      : 7f59d1ba-8c20-48f8-822b-0987db6bca9c
# ObjectName    : BatFloor
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      6.664      0.000      0.000    0.00724   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      6.664      0.000      0.000    0.00723   26.77721           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.330        17955.936      6.664      0.000      0.000    0.00720   26.77435           -0.48473       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.328        17963.165      6.664      0.000      0.000    0.00712   26.76772           -0.48598       88.69533         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.326        17970.391      6.664      0.000      0.000    0.00705   26.76052           -0.48726       88.68212         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.324        17977.616      6.664      0.000      0.000    0.00697   26.75323           -0.48859       88.66892         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.322        17984.838      6.664      0.000      0.000    0.00689   26.74585           -0.48995       88.65572         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.320        17992.059      6.664      0.000      0.000    0.00682   26.73838           -0.49136       88.64252         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.318        17999.277      6.664      0.000      0.000    0.00674   26.73081           -0.49280       88.62933         5.382e-06 
  2489.650          87.373    -10.232    -86.879            7.316        18006.494      6.664      0.000      0.000    0.00667   26.72315           -0.49428       88.61615         5.443e-06 
  2490.650          87.309    -10.231    -86.813            7.313        18013.709      6.664      0.000      0.000    0.00659   26.71540           -0.49581       88.60297         5.505e-06 
  2491.650          87.246    -10.229    -86.748            7.311        18020.921      6.664      0.000      0.000    0.00652   26.70755           -0.49738       88.58979         5.567e-06 
  2492.650          87.182    -10.228    -86.682            7.309        18028.132      6.664      0.000      0.000    0.00644   26.69961           -0.49899       88.57662         5.630e-06 
  2493.650          87.119    -10.226    -86.616            7.307        18035.340      6.664      0.000      0.000    0.00637   26.69156           -0.50064       88.56346         5.694e-06 
  2494.650          87.055    -10.224    -86.550            7.305        18042.547      6.664      0.000      0.000    0.00630   26.68343           -0.50233       88.55030         5.759e-06 
  2495.650          86.991    -10.223    -86.484            7.302        18049.751      6.664      0.000      0.000    0.00623   26.67519           -0.50407       88.53715         5.825e-06 
  2496.650          86.926    -10.221    -86.419            7.300        18056.953      6.664      0.000      0.000    0.00616   26.66685           -0.50585       88.52401         5.892e-06 
  2497.650          86.862    -10.219    -86.353            7.298        18064.153      6.664      0.000      0.000    0.00609   26.65842           -0.50768       88.51087         5.960e-06 
  2498.650          86.797    -10.218    -86.287            7.295        18071.351      6.664      0.000      0.000    0.00602   26.64988           -0.50955       88.49773         6.029e-06 
  2499.650          86.732    -10.216    -86.222            7.293        18078.546      6.664      0.000      0.000    0.00595   26.64124           -0.51147       88.48461         6.099e-06 
  2500.650          86.667    -10.214    -86.156            7.291        18085.739      6.664      0.000      0.000    0.00588   26.63249           -0.51343       88.47148         6.170e-06 
  2501.650          86.601    -10.212    -86.090            7.288        18092.930      6.664      0.000      0.000    0.00581   26.62365           -0.51544       88.45837         6.243e-06 
  2502.650          86.536    -10.211    -86.025            7.286        18100.119      6.664      0.000      0.000    0.00575   26.61469           -0.51750       88.44526         6.316e-06 
  2503.650          86.470    -10.209    -85.959            7.283        18107.305      6.664      0.000      0.000    0.00568   26.60563           -0.51961       88.43216         6.390e-06 
  2504.650          86.403    -10.207    -85.894            7.281        18114.489      6.664      0.000      0.000    0.00561   26.59647           -0.52176       88.41906         6.466e-06 
  2505.650          86.337    -10.205    -85.828            7.278        18121.670      6.664      0.000      0.000    0.00555   26.58719           -0.52396       88.40597         6.543e-06 
  2506.650          86.270    -10.204    -85.763            7.276        18128.849      6.664      0.000      0.000    0.00548   26.57781           -0.52622       88.39288         6.621e-06 
  2507.650          86.203    -10.202    -85.697            7.273        18136.026      6.664      0.000      0.000    0.00542   26.56832           -0.52852       88.37980         6.701e-06 
  2508.650          86.136    -10.200    -85.632            7.271        18143.200      6.664      0.000      0.000    0.00535   26.55871           -0.53087       88.36673         6.781e-06 
  2509.650          86.069    -10.198    -85.566            7.268        18150.371      6.664      0.000      0.000    0.00529   26.54899           -0.53327       88.35367         6.863e-06 
  2510.650          86.001    -10.196    -85.501            7.265        18157.540      6.664      0.000      0.000    0.00522   26.53916           -0.53573       88.34061         6.947e-06 
  2511.650          85.933    -10.194    -85.436            7.263        18164.707      6.664      0.000      0.000    0.00516   26.52094           -0.53824       88.32756         7.027e-06 
  2512.650          85.864    -10.192    -85.370            7.260        18171.871      6.664      0.000      0.000    0.00511   26.50128           -0.54080       88.31451         7.107e-06 
  2513.650          85.796    -10.190    -85.305            7.257        18179.032      6.664      0.000      0.000    0.00505   26.48149           -0.54341       88.30148         7.189e-06 
  2514.650          85.727    -10.189    -85.240            7.254        18186.191      6.664      0.000      0.000    0.00499   26.46157           -0.54608       88.28844         7.273e-06 
  2515.650          85.657    -10.187    -85.174            7.252        18193.346      6.664      0.000      0.000    0.00493   26.44151           -0.54880       88.27542         7.357e-06 
  2516.650          85.588    -10.185    -85.109            7.249        18200.500      6.664      0.000      0.000    0.00488   26.42130           -0.55158       88.26240         7.443e-06 
  2517.650          85.518    -10.183    -85.044            7.246        18207.650      6.664      0.000      0.000    0.00482   26.40098           -0.55441       88.24939         7.530e-06 
  2518.650          85.448    -10.181    -84.979            7.243        18214.798      6.664      0.000      0.000    0.00476   26.38046           -0.55730       88.23639         7.619e-06 
  2519.650          85.377    -10.179    -84.913            7.240        18221.943      6.664      0.000      0.000    0.00471   26.35977           -0.56025       88.22340         7.709e-06 
