#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Battery1-Internal.092a8729-ea6f-4341-a697-bbcb2fedb72e_Trajectory.txt
# RunID         : sara
# ObjectID      : 092a8729-ea6f-4341-a697-bbcb2fedb72e
# ObjectName    : Battery1-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2606.650          78.606     -9.947    -79.196            7.240        18849.182      1.277      0.000      0.000    0.00654   25.45099           -0.71646       87.09644         2.297e-05 
  2606.750          78.597     -9.947    -79.189            7.240        18849.897      1.277      0.000      0.000    0.00653   25.44951           -0.71677       87.09517         2.300e-05 
  2607.200          78.556     -9.945    -79.160            7.240        18853.115      1.277      0.000      0.000    0.00649   25.44261           -0.71815       87.08946         2.313e-05 
  2608.200          78.465     -9.942    -79.095            7.238        18860.264      1.277      0.000      0.000    0.00641   25.42674           -0.72124       87.07678         2.344e-05 
  2609.200          78.374     -9.939    -79.029            7.236        18867.412      1.277      0.000      0.000    0.00632   25.40959           -0.72436       87.06410         2.377e-05 
  2610.200          78.282     -9.935    -78.964            7.235        18874.559      1.277      0.000      0.000    0.00623   25.39235           -0.72752       87.05143         2.411e-05 
  2611.200          78.190     -9.932    -78.899            7.233        18881.704      1.277      0.000      0.000    0.00614   25.37500           -0.73071       87.03877         2.446e-05 
  2612.200          78.098     -9.929    -78.834            7.231        18888.847      1.277      0.000      0.000    0.00605   25.35755           -0.73393       87.02611         2.481e-05 
  2613.200          78.005     -9.925    -78.769            7.229        18895.989      1.277      0.000      0.000    0.00597   25.33999           -0.73719       87.01346         2.517e-05 
  2614.200          77.912     -9.922    -78.704            7.228        18903.129      1.277      0.000      0.000    0.00588   25.32232           -0.74049       87.00082         2.554e-05 
